"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","120976","29.8","3","n/a","49.6","5","n/a","NaN","NaN","n/a"
"2003 - 02","120931","19.8","2","-33.3","39.7","4","-20.0","NaN","NaN","NaN.0"
"2003 - 03","120887","29.8","3","50.0","19.9","2","-50.0","NaN","NaN","NaN.0"
"2003 - 04","120842","9.9","1","-66.7","9.9","1","-50.0","NaN","NaN","NaN.0"
"2003 - 05","120797","29.8","3","200.0","49.7","5","400.0","NaN","NaN","NaN.0"
"2003 - 06","120753","29.8","3","0.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 07","120708","49.7","5","66.7","39.8","4","NaN.0","NaN","NaN","NaN.0"
"2003 - 08","120678","39.8","4","-20.0","39.8","4","0.0","NaN","NaN","NaN.0"
"2003 - 09","120649","9.9","1","-75.0","9.9","1","-75.0","NaN","NaN","NaN.0"
"2003 - 10","120619","79.6","8","700.0","79.6","8","700.0","NaN","NaN","NaN.0"
"2003 - 11","120590","39.8","4","-50.0","29.9","3","-62.5","NaN","NaN","NaN.0"
"2003 - 12","120560","29.9","3","-25.0","39.8","4","33.3","NaN","NaN","NaN.0"
"2004 - 01","120531","0","0","-100.0","10","1","-75.0","NaN","NaN","NaN.0"
"2004 - 02","120501","39.8","4","NaN.0","49.8","5","400.0","NaN","NaN","NaN.0"
"2004 - 03","120471","10","1","-75.0","29.9","3","-40.0","NaN","NaN","NaN.0"
"2004 - 04","120442","19.9","2","100.0","29.9","3","0.0","NaN","NaN","NaN.0"
"2004 - 05","120412","19.9","2","0.0","39.9","4","33.3","NaN","NaN","NaN.0"
"2004 - 06","120383","19.9","2","0.0","19.9","2","-50.0","NaN","NaN","NaN.0"
"2004 - 07","120353","69.8","7","250.0","59.8","6","200.0","NaN","NaN","NaN.0"
"2004 - 08","120347","29.9","3","-57.1","79.8","8","33.3","NaN","NaN","NaN.0"
"2004 - 09","120341","39.9","4","33.3","19.9","2","-75.0","NaN","NaN","NaN.0"
"2004 - 10","120335","19.9","2","-50.0","59.8","6","200.0","NaN","NaN","NaN.0"
"2004 - 11","120329","10","1","-50.0","49.9","5","-16.7","NaN","NaN","NaN.0"
