"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","131674","9.1","1","n/a","9.1","1","n/a","NaN","NaN","n/a"
"2003 - 02","131797","9.1","1","0.0","9.1","1","0.0","NaN","NaN","NaN.0"
"2003 - 03","131921","0","0","-100.0","9.1","1","0.0","NaN","NaN","NaN.0"
"2003 - 04","132045","18.2","2","NaN.0","27.3","3","200.0","NaN","NaN","NaN.0"
"2003 - 05","132169","9.1","1","-50.0","9.1","1","-66.7","NaN","NaN","NaN.0"
"2003 - 06","132293","0","0","-100.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 07","132417","18.1","2","NaN.0","9.1","1","NaN.0","NaN","NaN","NaN.0"
"2003 - 08","132545","45.3","5","150.0","27.2","3","200.0","NaN","NaN","NaN.0"
"2003 - 09","132672","27.1","3","-40.0","9","1","-66.7","NaN","NaN","NaN.0"
"2003 - 10","132800","18.1","2","-33.3","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 11","132927","9","1","-50.0","0","0","NaN.0","NaN","NaN","NaN.0"
"2003 - 12","133055","9","1","0.0","0","0","NaN.0","NaN","NaN","NaN.0"
"2004 - 01","133182","9","1","0.0","0","0","NaN.0","NaN","NaN","NaN.0"
"2004 - 02","133310","0","0","-100.0","0","0","NaN.0","NaN","NaN","NaN.0"
"2004 - 03","133437","18","2","NaN.0","9","1","NaN.0","NaN","NaN","NaN.0"
"2004 - 04","133565","35.9","4","100.0","9","1","0.0","NaN","NaN","NaN.0"
"2004 - 05","133692","26.9","3","-25.0","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 06","133820","17.9","2","-33.3","0","0","NaN.0","NaN","NaN","NaN.0"
"2004 - 07","133947","9","1","-50.0","9","1","NaN.0","NaN","NaN","NaN.0"
"2004 - 08","134097","26.8","3","200.0","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 09","134247","0","0","-100.0","0","0","NaN.0","NaN","NaN","NaN.0"
"2004 - 10","134397","17.9","2","NaN.0","26.8","3","NaN.0","NaN","NaN","NaN.0"
"2004 - 11","134547","53.5","6","200.0","8.9","1","-66.7","NaN","NaN","NaN.0"
"2004 - 12","134697","44.5","5","-16.7","8.9","1","0.0","NaN","NaN","NaN.0"
"2005 - 01","134848","17.8","2","-60.0","0","0","-100.0","0","0","NaN.0"
"2005 - 02","134998","17.8","2","0.0","0","0","NaN.0","17.8","2","NaN.0"
"2005 - 03","135148","17.8","2","0.0","8.9","1","NaN.0","8.9","1","-50.0"
"2005 - 04","135298","0","0","-100.0","0","0","-100.0","0","0","-100.0"
"2005 - 05","135448","17.7","2","NaN.0","8.9","1","NaN.0","0","0","NaN.0"
"2005 - 06","135598","17.7","2","0.0","0","0","-100.0","17.7","2","NaN.0"
"2005 - 07","135748","35.4","4","100.0","8.8","1","NaN.0","0","0","-100.0"
"2005 - 08","135836","35.3","4","0.0","26.5","3","200.0","0","0","NaN.0"
"2005 - 09","135925","8.8","1","-75.0","8.8","1","-66.7","8.8","1","NaN.0"
"2005 - 10","136013","8.8","1","0.0","8.8","1","0.0","8.8","1","0.0"
"2005 - 11","136101","35.3","4","300.0","17.6","2","100.0","0","0","-100.0"
"2005 - 12","136189","35.2","4","0.0","0","0","-100.0","8.8","1","NaN.0"
"2006 - 01","136278","35.2","4","0.0","26.4","3","NaN.0","0","0","-100.0"
"2006 - 02","136366","8.8","1","-75.0","8.8","1","-66.7","8.8","1","NaN.0"
"2006 - 03","136454","8.8","1","0.0","17.6","2","100.0","0","0","-100.0"
"2006 - 04","136542","52.7","6","500.0","17.6","2","0.0","0","0","NaN.0"
"2006 - 05","136631","26.3","3","-50.0","0","0","-100.0","0","0","NaN.0"
"2006 - 06","136719","8.8","1","-66.7","0","0","NaN.0","0","0","NaN.0"
"2006 - 07","136807","43.9","5","400.0","17.5","2","NaN.0","0","0","NaN.0"
"2006 - 08","136855","8.8","1","-80.0","17.5","2","0.0","8.8","1","NaN.0"
"2006 - 09","136903","17.5","2","100.0","0","0","-100.0","17.5","2","100.0"
"2006 - 10","136950","17.5","2","0.0","0","0","NaN.0","0","0","-100.0"
"2006 - 11","136998","35","4","100.0","0","0","NaN.0","8.8","1","NaN.0"
"2006 - 12","137046","35","4","0.0","8.8","1","NaN.0","8.8","1","0.0"
"2007 - 01","137094","52.5","6","50.0","17.5","2","100.0","0","0","-100.0"
"2007 - 02","137141","35","4","-33.3","0","0","-100.0","0","0","NaN.0"
"2007 - 03","137189","26.2","3","-25.0","8.7","1","NaN.0","8.7","1","NaN.0"
"2007 - 04","137237","35","4","33.3","17.5","2","100.0","0","0","-100.0"
"2007 - 05","137285","78.7","9","125.0","8.7","1","-50.0","0","0","NaN.0"
"2007 - 06","137332","17.5","2","-77.8","8.7","1","0.0","0","0","NaN.0"
"2007 - 07","137380","69.9","8","300.0","8.7","1","0.0","0","0","NaN.0"
"2007 - 08","137450","17.5","2","-75.0","8.7","1","0.0","17.5","2","NaN.0"
"2007 - 09","137520","8.7","1","-50.0","17.5","2","100.0","0","0","-100.0"
"2007 - 10","137590","0","0","-100.0","8.7","1","-50.0","17.4","2","NaN.0"
"2007 - 11","137660","17.4","2","NaN.0","17.4","2","100.0","8.7","1","-50.0"
"2007 - 12","137730","34.9","4","100.0","17.4","2","0.0","0","0","-100.0"
"2008 - 01","137801","52.2","6","50.0","17.4","2","0.0","26.1","3","NaN.0"
"2008 - 02","137871","52.2","6","0.0","8.7","1","-50.0","0","0","-100.0"
"2008 - 03","137941","26.1","3","-50.0","0","0","-100.0","8.7","1","NaN.0"
"2008 - 04","138011","17.4","2","-33.3","17.4","2","NaN.0","8.7","1","0.0"
"2008 - 05","138081","60.8","7","250.0","26.1","3","50.0","0","0","-100.0"
"2008 - 06","138151","17.4","2","-71.4","8.7","1","-66.7","8.7","1","NaN.0"
"2008 - 07","138221","78.1","9","350.0","26","3","200.0","0","0","-100.0"
"2008 - 08","138298","8.7","1","-88.9","0","0","-100.0","17.4","2","NaN.0"
"2008 - 09","138375","17.3","2","100.0","0","0","NaN.0","8.7","1","-50.0"
"2008 - 10","138453","43.3","5","150.0","8.7","1","NaN.0","0","0","-100.0"
"2008 - 11","138530","34.6","4","-20.0","0","0","-100.0","8.7","1","NaN.0"
"2008 - 12","138607","17.3","2","-50.0","17.3","2","NaN.0","0","0","-100.0"
"2009 - 01","138684","34.6","4","100.0","17.3","2","0.0","8.7","1","NaN.0"
"2009 - 02","138761","8.6","1","-75.0","8.6","1","-50.0","0","0","-100.0"
"2009 - 03","138838","17.3","2","100.0","17.3","2","100.0","0","0","NaN.0"
"2009 - 04","138916","51.8","6","200.0","17.3","2","0.0","8.6","1","NaN.0"
"2009 - 05","138993","86.3","10","66.7","0","0","-100.0","0","0","-100.0"
"2009 - 06","139070","34.5","4","-60.0","25.9","3","NaN.0","0","0","NaN.0"
"2009 - 07","139147","51.7","6","50.0","25.9","3","0.0","8.6","1","NaN.0"
"2009 - 08","139220","25.9","3","-50.0","25.9","3","0.0","0","0","-100.0"
"2009 - 09","139294","43.1","5","66.7","8.6","1","-66.7","8.6","1","NaN.0"
"2009 - 10","139367","34.4","4","-20.0","0","0","-100.0","0","0","-100.0"
"2009 - 11","139440","25.8","3","-25.0","25.8","3","NaN.0","0","0","NaN.0"
"2009 - 12","139514","43","5","66.7","8.6","1","-66.7","0","0","NaN.0"
"2010 - 01","139587","8.6","1","-80.0","8.6","1","0.0","8.6","1","NaN.0"
"2010 - 02","139660","17.2","2","100.0","8.6","1","0.0","8.6","1","0.0"
"2010 - 03","139734","42.9","5","150.0","8.6","1","0.0","0","0","-100.0"
"2010 - 04","139807","17.2","2","-60.0","17.2","2","100.0","0","0","NaN.0"
"2010 - 05","139880","68.6","8","300.0","77.2","9","350.0","0","0","NaN.0"
"2010 - 06","139954","60","7","-12.5","8.6","1","-88.9","0","0","NaN.0"
"2010 - 07","140027","34.3","4","-42.9","8.6","1","0.0","0","0","NaN.0"
"2010 - 08","140111","42.8","5","25.0","34.3","4","300.0","8.6","1","NaN.0"
"2010 - 09","140195","42.8","5","0.0","25.7","3","-25.0","0","0","-100.0"
"2010 - 10","140279","34.2","4","-20.0","8.6","1","-66.7","8.6","1","NaN.0"
"2010 - 11","140363","8.5","1","-75.0","17.1","2","100.0","8.5","1","0.0"
"2010 - 12","140447","34.2","4","300.0","25.6","3","50.0","8.5","1","0.0"
"2011 - 01","140531","59.8","7","75.0","34.2","4","33.3","0","0","-100.0"
"2011 - 02","140614","51.2","6","-14.3","17.1","2","-50.0","8.5","1","NaN.0"
"2011 - 03","140698","17.1","2","-66.7","0","0","-100.0","17.1","2","100.0"
"2011 - 04","140782","34.1","4","100.0","17","2","NaN.0","0","0","-100.0"
"2011 - 05","140866","8.5","1","-75.0","0","0","-100.0","0","0","NaN.0"
"2011 - 06","140950","51.1","6","500.0","8.5","1","NaN.0","8.5","1","NaN.0"
"2011 - 07","141034","17","2","-66.7","17","2","100.0","8.5","1","0.0"
"2011 - 08","141125","42.5","5","150.0","8.5","1","-50.0","0","0","-100.0"
"2011 - 09","141217","17","2","-60.0","0","0","-100.0","25.5","3","NaN.0"
"2011 - 10","141308","34","4","100.0","42.5","5","NaN.0","8.5","1","-66.7"
"2011 - 11","141399","0","0","-100.0","0","0","-100.0","8.5","1","0.0"
"2011 - 12","141490","17","2","NaN.0","8.5","1","NaN.0","0","0","-100.0"
"2012 - 01","141582","50.9","6","200.0","42.4","5","400.0","8.5","1","NaN.0"
"2012 - 02","141673","42.4","5","-16.7","8.5","1","-80.0","0","0","-100.0"
"2012 - 03","141764","8.5","1","-80.0","8.5","1","0.0","0","0","NaN.0"
"2012 - 04","141855","42.3","5","400.0","0","0","-100.0","0","0","NaN.0"
"2012 - 05","141947","33.8","4","-20.0","16.9","2","NaN.0","8.5","1","NaN.0"
"2012 - 06","142038","33.8","4","0.0","42.2","5","150.0","8.4","1","0.0"
"2012 - 07","142129","16.9","2","-50.0","42.2","5","0.0","16.9","2","100.0"
"2012 - 08","142241","42.2","5","150.0","25.3","3","-40.0","0","0","-100.0"
"2012 - 09","142353","42.1","5","0.0","8.4","1","-66.7","8.4","1","NaN.0"
"2012 - 10","142465","25.3","3","-40.0","16.8","2","100.0","16.8","2","100.0"
"2012 - 11","142577","16.8","2","-33.3","8.4","1","-50.0","0","0","-100.0"
"2012 - 12","142689","25.2","3","50.0","25.2","3","200.0","0","0","NaN.0"
"2013 - 01","142802","25.2","3","0.0","0","0","-100.0","16.8","2","NaN.0"
"2013 - 02","142914","16.8","2","-33.3","8.4","1","NaN.0","8.4","1","-50.0"
"2013 - 03","143026","25.2","3","50.0","0","0","-100.0","0","0","-100.0"
"2013 - 04","143138","33.5","4","33.3","33.5","4","NaN.0","8.4","1","NaN.0"
"2013 - 05","143250","33.5","4","0.0","16.8","2","-50.0","0","0","-100.0"
"2013 - 06","143362","50.2","6","50.0","33.5","4","100.0","8.4","1","NaN.0"
"2013 - 07","143474","33.5","4","-33.3","8.4","1","-75.0","8.4","1","0.0"
"2013 - 08","143560","16.7","2","-50.0","8.4","1","0.0","0","0","-100.0"
"2013 - 09","143646","33.4","4","100.0","16.7","2","100.0","16.7","2","NaN.0"
"2013 - 10","143732","58.4","7","75.0","50.1","6","200.0","8.3","1","-50.0"
"2013 - 11","143818","25","3","-57.1","16.7","2","-66.7","8.3","1","0.0"
"2013 - 12","143904","41.7","5","66.7","8.3","1","-50.0","0","0","-100.0"
"2014 - 01","143990","16.7","2","-60.0","0","0","-100.0","0","0","NaN.0"
"2014 - 02","144076","41.6","5","150.0","8.3","1","NaN.0","8.3","1","NaN.0"
"2014 - 03","144162","16.6","2","-60.0","8.3","1","0.0","0","0","-100.0"
"2014 - 04","144248","49.9","6","200.0","8.3","1","0.0","8.3","1","NaN.0"
"2014 - 05","144334","33.3","4","-33.3","8.3","1","0.0","8.3","1","0.0"
"2014 - 06","144420","58.2","7","75.0","33.2","4","300.0","8.3","1","0.0"
"2014 - 07","144506","49.8","6","-14.3","16.6","2","-50.0","0","0","-100.0"
"2014 - 08","144606","24.9","3","-50.0","8.3","1","-50.0","8.3","1","NaN.0"
"2014 - 09","144706","58","7","133.3","16.6","2","100.0","8.3","1","0.0"
"2014 - 10","144806","33.1","4","-42.9","41.4","5","150.0","0","0","-100.0"
"2014 - 11","144905","107.7","13","225.0","49.7","6","20.0","0","0","NaN.0"
"2014 - 12","145005","49.7","6","-53.8","0","0","-100.0","0","0","NaN.0"
"2015 - 01","145105","41.3","5","-16.7","8.3","1","NaN.0","0","0","NaN.0"
"2015 - 02","145205","24.8","3","-40.0","16.5","2","100.0","0","0","NaN.0"
"2015 - 03","145305","49.6","6","100.0","16.5","2","0.0","16.5","2","NaN.0"
"2015 - 04","145405","24.8","3","-50.0","33","4","100.0","24.8","3","50.0"
"2015 - 05","145504","82.5","10","233.3","8.2","1","-75.0","0","0","-100.0"
"2015 - 06","145604","82.4","10","0.0","49.4","6","500.0","8.2","1","NaN.0"
"2015 - 07","145704","74.1","9","-10.0","16.5","2","-66.7","0","0","-100.0"
"2015 - 08","145831","41.1","5","-44.4","0","0","-100.0","24.7","3","NaN.0"
"2015 - 09","145959","32.9","4","-20.0","16.4","2","NaN.0","0","0","-100.0"
"2015 - 10","146086","24.6","3","-25.0","0","0","-100.0","0","0","NaN.0"
