"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","111585","21.5","2","n/a","0","0","n/a","NaN","NaN","n/a"
"2003 - 02","111593","0","0","-100.0","0","0","NaN.0","NaN","NaN","NaN.0"
"2003 - 03","111602","0","0","NaN.0","43","4","NaN.0","NaN","NaN","NaN.0"
"2003 - 04","111611","10.8","1","NaN.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 05","111620","0","0","-100.0","0","0","NaN.0","NaN","NaN","NaN.0"
"2003 - 06","111629","0","0","NaN.0","21.5","2","NaN.0","NaN","NaN","NaN.0"
"2003 - 07","111638","43","4","NaN.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 08","111631","32.2","3","-25.0","32.2","3","NaN.0","NaN","NaN","NaN.0"
"2003 - 09","111624","0","0","-100.0","32.3","3","0.0","NaN","NaN","NaN.0"
"2003 - 10","111617","21.5","2","NaN.0","21.5","2","-33.3","NaN","NaN","NaN.0"
"2003 - 11","111610","43","4","100.0","21.5","2","0.0","NaN","NaN","NaN.0"
"2003 - 12","111603","32.3","3","-25.0","32.3","3","50.0","NaN","NaN","NaN.0"
"2004 - 01","111596","10.8","1","-66.7","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 02","111589","21.5","2","100.0","10.8","1","NaN.0","NaN","NaN","NaN.0"
"2004 - 03","111582","10.8","1","-50.0","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 04","111575","10.8","1","0.0","10.8","1","NaN.0","NaN","NaN","NaN.0"
"2004 - 05","111568","10.8","1","0.0","10.8","1","0.0","NaN","NaN","NaN.0"
"2004 - 06","111561","10.8","1","0.0","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 07","111554","10.8","1","0.0","10.8","1","NaN.0","NaN","NaN","NaN.0"
"2004 - 08","111605","10.8","1","0.0","10.8","1","0.0","NaN","NaN","NaN.0"
"2004 - 09","111655","0","0","-100.0","10.7","1","0.0","NaN","NaN","NaN.0"
"2004 - 10","111706","0","0","NaN.0","10.7","1","0.0","NaN","NaN","NaN.0"
"2004 - 11","111756","0","0","NaN.0","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 12","111807","0","0","NaN.0","0","0","NaN.0","NaN","NaN","NaN.0"
"2005 - 01","111857","21.5","2","NaN.0","10.7","1","NaN.0","10.7","1","NaN.0"
"2005 - 02","111908","21.4","2","0.0","21.4","2","100.0","0","0","-100.0"
"2005 - 03","111958","21.4","2","0.0","0","0","-100.0","0","0","NaN.0"
"2005 - 04","112009","21.4","2","0.0","42.9","4","NaN.0","10.7","1","NaN.0"
"2005 - 05","112059","32.1","3","50.0","21.4","2","-50.0","10.7","1","0.0"
"2005 - 06","112110","21.4","2","-33.3","10.7","1","-50.0","10.7","1","0.0"
"2005 - 07","112160","21.4","2","0.0","0","0","-100.0","0","0","-100.0"
