"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","516814","11.6","5","n/a","13.9","6","n/a","NaN","NaN","n/a"
"2003 - 02","517137","16.2","7","40.0","9.3","4","-33.3","NaN","NaN","NaN.0"
"2003 - 03","517460","11.6","5","-28.6","7","3","-25.0","NaN","NaN","NaN.0"
"2003 - 04","517783","27.8","12","140.0","13.9","6","100.0","NaN","NaN","NaN.0"
"2003 - 05","518105","20.8","9","-25.0","13.9","6","0.0","NaN","NaN","NaN.0"
"2003 - 06","518428","30.1","13","44.4","13.9","6","0.0","NaN","NaN","NaN.0"
"2003 - 07","518751","25.4","11","-15.4","6.9","3","-50.0","NaN","NaN","NaN.0"
"2003 - 08","518938","32.4","14","27.3","18.5","8","166.7","NaN","NaN","NaN.0"
"2003 - 09","519125","37","16","14.3","18.5","8","0.0","NaN","NaN","NaN.0"
"2003 - 10","519311","30","13","-18.7","6.9","3","-62.5","NaN","NaN","NaN.0"
"2003 - 11","519498","27.7","12","-7.7","11.5","5","66.7","NaN","NaN","NaN.0"
"2003 - 12","519685","18.5","8","-33.3","20.8","9","80.0","NaN","NaN","NaN.0"
"2004 - 01","519872","20.8","9","12.5","11.5","5","-44.4","NaN","NaN","NaN.0"
"2004 - 02","520058","18.5","8","-11.1","16.2","7","40.0","NaN","NaN","NaN.0"
"2004 - 03","520245","30","13","62.5","4.6","2","-71.4","NaN","NaN","NaN.0"
"2004 - 04","520432","25.4","11","-15.4","13.8","6","200.0","NaN","NaN","NaN.0"
"2004 - 05","520619","30","13","18.2","13.8","6","0.0","NaN","NaN","NaN.0"
"2004 - 06","520805","48.4","21","61.5","16.1","7","16.7","NaN","NaN","NaN.0"
"2004 - 07","520992","29.9","13","-38.1","23","10","42.9","NaN","NaN","NaN.0"
"2004 - 08","521115","43.8","19","46.2","11.5","5","-50.0","NaN","NaN","NaN.0"
"2004 - 09","521238","25.3","11","-42.1","9.2","4","-20.0","NaN","NaN","NaN.0"
"2004 - 10","521361","23","10","-9.1","4.6","2","-50.0","NaN","NaN","NaN.0"
"2004 - 11","521484","27.6","12","20.0","18.4","8","300.0","NaN","NaN","NaN.0"
"2004 - 12","521607","13.8","6","-50.0","2.3","1","-87.5","NaN","NaN","NaN.0"
"2005 - 01","521731","25.3","11","83.3","4.6","2","100.0","4.6","2","NaN.0"
"2005 - 02","521854","34.5","15","36.4","25.3","11","450.0","4.6","2","0.0"
