"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","544320","19.8","9","n/a","8.8","4","n/a","NaN","NaN","n/a"
"2003 - 02","545355","22","10","11.1","13.2","6","50.0","NaN","NaN","NaN.0"
"2003 - 03","546389","41.7","19","90.0","17.6","8","33.3","NaN","NaN","NaN.0"
"2003 - 04","547424","17.5","8","-57.9","11","5","-37.5","NaN","NaN","NaN.0"
"2003 - 05","548458","32.8","15","87.5","6.6","3","-40.0","NaN","NaN","NaN.0"
"2003 - 06","549493","39.3","18","20.0","15.3","7","133.3","NaN","NaN","NaN.0"
"2003 - 07","550527","21.8","10","-44.4","2.2","1","-85.7","NaN","NaN","NaN.0"
"2003 - 08","551531","10.9","5","-50.0","8.7","4","300.0","NaN","NaN","NaN.0"
"2003 - 09","552535","15.2","7","40.0","10.9","5","25.0","NaN","NaN","NaN.0"
"2003 - 10","553539","21.7","10","42.9","10.8","5","0.0","NaN","NaN","NaN.0"
"2003 - 11","554542","32.5","15","50.0","13","6","20.0","NaN","NaN","NaN.0"
"2003 - 12","555546","25.9","12","-20.0","10.8","5","-16.7","NaN","NaN","NaN.0"
"2004 - 01","556550","25.9","12","0.0","19.4","9","80.0","NaN","NaN","NaN.0"
"2004 - 02","557554","19.4","9","-25.0","4.3","2","-77.8","NaN","NaN","NaN.0"
"2004 - 03","558558","25.8","12","33.3","19.3","9","350.0","NaN","NaN","NaN.0"
"2004 - 04","559562","27.9","13","8.3","15","7","-22.2","NaN","NaN","NaN.0"
"2004 - 05","560565","27.8","13","0.0","8.6","4","-42.9","NaN","NaN","NaN.0"
"2004 - 06","561569","32.1","15","15.4","19.2","9","125.0","NaN","NaN","NaN.0"
"2004 - 07","562573","8.5","4","-73.3","4.3","2","-77.8","NaN","NaN","NaN.0"
"2004 - 08","563499","21.3","10","150.0","17","8","300.0","NaN","NaN","NaN.0"
"2004 - 09","564426","27.6","13","30.0","12.8","6","-25.0","NaN","NaN","NaN.0"
"2004 - 10","565352","17","8","-38.5","8.5","4","-33.3","NaN","NaN","NaN.0"
"2004 - 11","566278","40.3","19","137.5","17","8","100.0","NaN","NaN","NaN.0"
"2004 - 12","567204","19","9","-52.6","10.6","5","-37.5","NaN","NaN","NaN.0"
"2005 - 01","568131","29.6","14","55.6","21.1","10","100.0","8.4","4","NaN.0"
"2005 - 02","569057","14.8","7","-50.0","14.8","7","-30.0","4.2","2","-50.0"
"2005 - 03","569983","23.2","11","57.1","4.2","2","-71.4","4.2","2","0.0"
"2005 - 04","570909","18.9","9","-18.2","12.6","6","200.0","0","0","-100.0"
"2005 - 05","571836","18.9","9","0.0","16.8","8","33.3","4.2","2","NaN.0"
"2005 - 06","572762","23","11","22.2","14.7","7","-12.5","2.1","1","-50.0"
"2005 - 07","573688","33.5","16","45.5","18.8","9","28.6","4.2","2","100.0"
"2005 - 08","574569","14.6","7","-56.2","6.3","3","-66.7","0","0","-100.0"
"2005 - 09","575449","25","12","71.4","18.8","9","200.0","2.1","1","NaN.0"
"2005 - 10","576330","20.8","10","-16.7","6.2","3","-66.7","2.1","1","0.0"
"2005 - 11","577210","18.7","9","-10.0","2.1","1","-66.7","2.1","1","0.0"
"2005 - 12","578091","18.7","9","0.0","12.5","6","500.0","2.1","1","0.0"
"2006 - 01","578972","41.5","20","122.2","14.5","7","16.7","2.1","1","0.0"
"2006 - 02","579852","29","14","-30.0","8.3","4","-42.9","2.1","1","0.0"
"2006 - 03","580733","28.9","14","0.0","8.3","4","0.0","0","0","-100.0"
"2006 - 04","581613","26.8","13","-7.1","10.3","5","25.0","0","0","NaN.0"
"2006 - 05","582494","20.6","10","-23.1","14.4","7","40.0","2.1","1","NaN.0"
"2006 - 06","583374","22.6","11","10.0","10.3","5","-28.6","6.2","3","200.0"
"2006 - 07","584255","26.7","13","18.2","6.2","3","-40.0","2.1","1","-66.7"
"2006 - 08","585056","10.3","5","-61.5","12.3","6","100.0","4.1","2","100.0"
"2006 - 09","585858","10.2","5","0.0","8.2","4","-33.3","2","1","-50.0"
"2006 - 10","586659","28.6","14","180.0","12.3","6","50.0","6.1","3","200.0"
"2006 - 11","587460","12.3","6","-57.1","4.1","2","-66.7","6.1","3","0.0"
"2006 - 12","588261","22.4","11","83.3","10.2","5","150.0","8.2","4","33.3"
"2007 - 01","589063","20.4","10","-9.1","4.1","2","-60.0","4.1","2","-50.0"
"2007 - 02","589864","20.3","10","0.0","2","1","-50.0","2","1","-50.0"
"2007 - 03","590665","16.3","8","-20.0","8.1","4","300.0","2","1","0.0"
"2007 - 04","591466","18.3","9","12.5","24.3","12","200.0","2","1","0.0"
"2007 - 05","592268","18.2","9","0.0","6.1","3","-75.0","2","1","0.0"
"2007 - 06","593069","12.1","6","-33.3","10.1","5","66.7","2","1","0.0"
"2007 - 07","593870","16.2","8","33.3","4","2","-60.0","0","0","-100.0"
"2007 - 08","594599","26.2","13","62.5","10.1","5","150.0","4","2","NaN.0"
"2007 - 09","595329","22.2","11","-15.4","6","3","-40.0","2","1","-50.0"
"2007 - 10","596058","16.1","8","-27.3","10.1","5","66.7","10.1","5","400.0"
"2007 - 11","596787","24.1","12","50.0","14.1","7","40.0","0","0","-100.0"
"2007 - 12","597516","16.1","8","-33.3","12","6","-14.3","8","4","NaN.0"
"2008 - 01","598246","10","5","-37.5","6","3","-50.0","4","2","-50.0"
"2008 - 02","598975","12","6","20.0","16","8","166.7","0","0","-100.0"
"2008 - 03","599704","22","11","83.3","20","10","25.0","0","0","NaN.0"
"2008 - 04","600433","22","11","0.0","2","1","-90.0","2","1","NaN.0"
"2008 - 05","601163","25.9","13","18.2","6","3","200.0","2","1","0.0"
"2008 - 06","601892","21.9","11","-15.4","10","5","66.7","0","0","-100.0"
"2008 - 07","602621","21.9","11","0.0","10","5","0.0","6","3","NaN.0"
"2008 - 08","603237","9.9","5","-54.5","6","3","-40.0","6","3","0.0"
"2008 - 09","603854","17.9","9","80.0","11.9","6","100.0","2","1","-66.7"
"2008 - 10","604470","17.9","9","0.0","6","3","-50.0","0","0","-100.0"
"2008 - 11","605087","29.7","15","66.7","11.9","6","100.0","2","1","NaN.0"
"2008 - 12","605703","13.9","7","-53.3","2","1","-83.3","2","1","0.0"
"2009 - 01","606320","27.7","14","100.0","9.9","5","400.0","2","1","0.0"
"2009 - 02","606936","21.7","11","-21.4","11.9","6","20.0","0","0","-100.0"
"2009 - 03","607552","27.7","14","27.3","15.8","8","33.3","9.9","5","NaN.0"
"2009 - 04","608169","23.7","12","-14.3","9.9","5","-37.5","0","0","-100.0"
"2009 - 05","608785","33.5","17","41.7","9.9","5","0.0","5.9","3","NaN.0"
"2009 - 06","609402","27.6","14","-17.6","5.9","3","-40.0","9.8","5","66.7"
"2009 - 07","610018","27.5","14","0.0","5.9","3","0.0","3.9","2","-60.0"
"2009 - 08","610771","25.5","13","-7.1","7.9","4","33.3","2","1","-50.0"
"2009 - 09","611524","33.4","17","30.8","9.8","5","25.0","5.9","3","200.0"
"2009 - 10","612277","31.4","16","-5.9","15.7","8","60.0","5.9","3","0.0"
