"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","196934","12.2","2","n/a","0","0","n/a","NaN","NaN","n/a"
"2003 - 02","197081","0","0","-100.0","6.1","1","NaN.0","NaN","NaN","NaN.0"
"2003 - 03","197228","24.3","4","NaN.0","6.1","1","0.0","NaN","NaN","NaN.0"
"2003 - 04","197375","24.3","4","0.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 05","197523","6.1","1","-75.0","12.2","2","NaN.0","NaN","NaN","NaN.0"
"2003 - 06","197670","6.1","1","0.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 07","197817","18.2","3","200.0","0","0","NaN.0","NaN","NaN","NaN.0"
"2003 - 08","197890","24.3","4","33.3","6.1","1","NaN.0","NaN","NaN","NaN.0"
"2003 - 09","197963","48.5","8","100.0","12.1","2","100.0","NaN","NaN","NaN.0"
"2003 - 10","198037","24.2","4","-50.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 11","198110","30.3","5","25.0","18.2","3","NaN.0","NaN","NaN","NaN.0"
"2003 - 12","198183","30.3","5","0.0","6.1","1","-66.7","NaN","NaN","NaN.0"
"2004 - 01","198256","24.2","4","-20.0","12.1","2","100.0","NaN","NaN","NaN.0"
"2004 - 02","198329","30.3","5","25.0","6.1","1","-50.0","NaN","NaN","NaN.0"
"2004 - 03","198402","6","1","-80.0","6","1","0.0","NaN","NaN","NaN.0"
"2004 - 04","198476","24.2","4","300.0","12.1","2","100.0","NaN","NaN","NaN.0"
"2004 - 05","198549","42.3","7","75.0","6","1","-50.0","NaN","NaN","NaN.0"
"2004 - 06","198622","30.2","5","-28.6","18.1","3","200.0","NaN","NaN","NaN.0"
"2004 - 07","198695","24.2","4","-20.0","12.1","2","-33.3","NaN","NaN","NaN.0"
"2004 - 08","198705","18.1","3","-25.0","12.1","2","0.0","NaN","NaN","NaN.0"
"2004 - 09","198714","18.1","3","0.0","12.1","2","0.0","NaN","NaN","NaN.0"
"2004 - 10","198724","12.1","2","-33.3","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 11","198733","0","0","-100.0","0","0","NaN.0","NaN","NaN","NaN.0"
"2004 - 12","198743","24.2","4","NaN.0","0","0","NaN.0","NaN","NaN","NaN.0"
"2005 - 01","198752","6","1","-75.0","0","0","NaN.0","0","0","NaN.0"
