"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","160841","7.5","1","n/a","22.4","3","n/a","NaN","NaN","n/a"
"2003 - 02","160948","7.5","1","0.0","7.5","1","-66.7","NaN","NaN","NaN.0"
"2003 - 03","161054","14.9","2","100.0","7.5","1","0.0","NaN","NaN","NaN.0"
"2003 - 04","161161","7.4","1","-50.0","22.3","3","200.0","NaN","NaN","NaN.0"
"2003 - 05","161268","14.9","2","100.0","14.9","2","-33.3","NaN","NaN","NaN.0"
"2003 - 06","161374","14.9","2","0.0","22.3","3","50.0","NaN","NaN","NaN.0"
"2003 - 07","161481","7.4","1","-50.0","7.4","1","-66.7","NaN","NaN","NaN.0"
"2003 - 08","161549","14.9","2","100.0","37.1","5","400.0","NaN","NaN","NaN.0"
"2003 - 09","161617","29.7","4","100.0","14.8","2","-60.0","NaN","NaN","NaN.0"
"2003 - 10","161684","0","0","-100.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 11","161752","29.7","4","NaN.0","51.9","7","NaN.0","NaN","NaN","NaN.0"
"2003 - 12","161820","14.8","2","-50.0","29.7","4","-42.9","NaN","NaN","NaN.0"
"2004 - 01","161888","37.1","5","150.0","22.2","3","-25.0","NaN","NaN","NaN.0"
"2004 - 02","161955","0","0","-100.0","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 03","162023","37","5","NaN.0","22.2","3","NaN.0","NaN","NaN","NaN.0"
"2004 - 04","162091","7.4","1","-80.0","44.4","6","100.0","NaN","NaN","NaN.0"
"2004 - 05","162159","7.4","1","0.0","14.8","2","-66.7","NaN","NaN","NaN.0"
"2004 - 06","162226","7.4","1","0.0","14.8","2","0.0","NaN","NaN","NaN.0"
"2004 - 07","162294","14.8","2","100.0","37","5","150.0","NaN","NaN","NaN.0"
"2004 - 08","162305","37","5","150.0","22.2","3","-40.0","NaN","NaN","NaN.0"
"2004 - 09","162315","29.6","4","-20.0","7.4","1","-66.7","NaN","NaN","NaN.0"
"2004 - 10","162326","29.6","4","0.0","37","5","400.0","NaN","NaN","NaN.0"
