"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","109596","10.9","1","n/a","10.9","1","n/a","NaN","NaN","n/a"
"2003 - 02","109642","10.9","1","0.0","10.9","1","0.0","NaN","NaN","NaN.0"
"2003 - 03","109689","10.9","1","0.0","10.9","1","0.0","NaN","NaN","NaN.0"
"2003 - 04","109735","10.9","1","0.0","10.9","1","0.0","NaN","NaN","NaN.0"
"2003 - 05","109781","21.9","2","100.0","43.7","4","300.0","NaN","NaN","NaN.0"
"2003 - 06","109828","65.6","6","200.0","32.8","3","-25.0","NaN","NaN","NaN.0"
"2003 - 07","109874","0","0","-100.0","32.8","3","0.0","NaN","NaN","NaN.0"
"2003 - 08","109930","21.8","2","NaN.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 09","109985","10.9","1","-50.0","21.8","2","NaN.0","NaN","NaN","NaN.0"
"2003 - 10","110041","10.9","1","0.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 11","110097","21.8","2","100.0","10.9","1","NaN.0","NaN","NaN","NaN.0"
"2003 - 12","110152","43.6","4","100.0","21.8","2","100.0","NaN","NaN","NaN.0"
"2004 - 01","110208","43.6","4","0.0","54.4","5","150.0","NaN","NaN","NaN.0"
"2004 - 02","110264","10.9","1","-75.0","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 03","110319","21.8","2","100.0","10.9","1","NaN.0","NaN","NaN","NaN.0"
"2004 - 04","110375","21.7","2","0.0","43.5","4","300.0","NaN","NaN","NaN.0"
"2004 - 05","110431","0","0","-100.0","32.6","3","-25.0","NaN","NaN","NaN.0"
"2004 - 06","110486","32.6","3","NaN.0","21.7","2","-33.3","NaN","NaN","NaN.0"
"2004 - 07","110542","10.9","1","-66.7","0","0","-100.0","NaN","NaN","NaN.0"
