"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","171236","21","3","n/a","0","0","n/a","NaN","NaN","n/a"
"2003 - 02","171447","0","0","-100.0","7","1","NaN.0","NaN","NaN","NaN.0"
"2003 - 03","171657","21","3","NaN.0","7","1","0.0","NaN","NaN","NaN.0"
"2003 - 04","171868","20.9","3","0.0","14","2","100.0","NaN","NaN","NaN.0"
"2003 - 05","172078","34.9","5","66.7","13.9","2","0.0","NaN","NaN","NaN.0"
"2003 - 06","172289","13.9","2","-60.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 07","172499","34.8","5","150.0","0","0","NaN.0","NaN","NaN","NaN.0"
"2003 - 08","172652","27.8","4","-20.0","20.9","3","NaN.0","NaN","NaN","NaN.0"
"2003 - 09","172805","6.9","1","-75.0","6.9","1","-66.7","NaN","NaN","NaN.0"
"2003 - 10","172958","48.6","7","600.0","6.9","1","0.0","NaN","NaN","NaN.0"
"2003 - 11","173111","41.6","6","-14.3","13.9","2","100.0","NaN","NaN","NaN.0"
"2003 - 12","173264","34.6","5","-16.7","34.6","5","150.0","NaN","NaN","NaN.0"
"2004 - 01","173418","20.8","3","-40.0","6.9","1","-80.0","NaN","NaN","NaN.0"
"2004 - 02","173571","48.4","7","133.3","13.8","2","100.0","NaN","NaN","NaN.0"
"2004 - 03","173724","6.9","1","-85.7","6.9","1","-50.0","NaN","NaN","NaN.0"
"2004 - 04","173877","34.5","5","400.0","6.9","1","0.0","NaN","NaN","NaN.0"
"2004 - 05","174030","13.8","2","-60.0","6.9","1","0.0","NaN","NaN","NaN.0"
"2004 - 06","174183","20.7","3","50.0","27.6","4","300.0","NaN","NaN","NaN.0"
"2004 - 07","174336","20.6","3","0.0","6.9","1","-75.0","NaN","NaN","NaN.0"
"2004 - 08","174478","34.4","5","66.7","6.9","1","0.0","NaN","NaN","NaN.0"
"2004 - 09","174620","48.1","7","40.0","20.6","3","200.0","NaN","NaN","NaN.0"
"2004 - 10","174763","20.6","3","-57.1","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 11","174905","20.6","3","0.0","20.6","3","NaN.0","NaN","NaN","NaN.0"
"2004 - 12","175047","20.6","3","0.0","6.9","1","-66.7","NaN","NaN","NaN.0"
"2005 - 01","175189","6.8","1","-66.7","6.8","1","0.0","0","0","NaN.0"
"2005 - 02","175331","20.5","3","200.0","6.8","1","0.0","6.8","1","NaN.0"
"2005 - 03","175473","41","6","100.0","27.4","4","300.0","6.8","1","0.0"
"2005 - 04","175616","13.7","2","-66.7","6.8","1","-75.0","0","0","-100.0"
"2005 - 05","175758","6.8","1","-50.0","0","0","-100.0","0","0","NaN.0"
"2005 - 06","175900","54.6","8","700.0","27.3","4","NaN.0","6.8","1","NaN.0"
"2005 - 07","176042","20.4","3","-62.5","20.4","3","-25.0","6.8","1","0.0"
"2005 - 08","176116","6.8","1","-66.7","6.8","1","-66.7","0","0","-100.0"
"2005 - 09","176191","0","0","-100.0","0","0","-100.0","0","0","NaN.0"
"2005 - 10","176265","40.8","6","NaN.0","0","0","NaN.0","0","0","NaN.0"
"2005 - 11","176340","20.4","3","-50.0","6.8","1","NaN.0","0","0","NaN.0"
"2005 - 12","176414","47.6","7","133.3","0","0","-100.0","6.8","1","NaN.0"
"2006 - 01","176489","34","5","-28.6","13.6","2","NaN.0","0","0","-100.0"
"2006 - 02","176563","0","0","-100.0","6.8","1","-50.0","0","0","NaN.0"
"2006 - 03","176637","40.8","6","NaN.0","6.8","1","0.0","0","0","NaN.0"
"2006 - 04","176712","27.2","4","-33.3","6.8","1","0.0","0","0","NaN.0"
"2006 - 05","176786","6.8","1","-75.0","0","0","-100.0","0","0","NaN.0"
"2006 - 06","176861","13.6","2","100.0","0","0","NaN.0","13.6","2","NaN.0"
"2006 - 07","176935","47.5","7","250.0","0","0","NaN.0","0","0","-100.0"
