"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","409518","5.9","2","n/a","5.9","2","n/a","NaN","NaN","n/a"
"2003 - 02","410562","8.8","3","50.0","11.7","4","100.0","NaN","NaN","NaN.0"
"2003 - 03","411606","17.5","6","100.0","17.5","6","50.0","NaN","NaN","NaN.0"
"2003 - 04","412650","8.7","3","-50.0","11.6","4","-33.3","NaN","NaN","NaN.0"
"2003 - 05","413693","5.8","2","-33.3","2.9","1","-75.0","NaN","NaN","NaN.0"
"2003 - 06","414737","14.5","5","150.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 07","415781","11.5","4","-20.0","14.4","5","NaN.0","NaN","NaN","NaN.0"
"2003 - 08","416997","11.5","4","0.0","11.5","4","-20.0","NaN","NaN","NaN.0"
"2003 - 09","418212","8.6","3","-25.0","20.1","7","75.0","NaN","NaN","NaN.0"
"2003 - 10","419428","11.4","4","33.3","8.6","3","-57.1","NaN","NaN","NaN.0"
"2003 - 11","420644","14.3","5","25.0","8.6","3","0.0","NaN","NaN","NaN.0"
"2003 - 12","421859","2.8","1","-80.0","8.5","3","0.0","NaN","NaN","NaN.0"
"2004 - 01","423075","11.3","4","300.0","2.8","1","-66.7","NaN","NaN","NaN.0"
"2004 - 02","424291","8.5","3","-25.0","11.3","4","300.0","NaN","NaN","NaN.0"
"2004 - 03","425506","5.6","2","-33.3","2.8","1","-75.0","NaN","NaN","NaN.0"
"2004 - 04","426722","5.6","2","0.0","5.6","2","100.0","NaN","NaN","NaN.0"
"2004 - 05","427938","11.2","4","100.0","19.6","7","250.0","NaN","NaN","NaN.0"
"2004 - 06","429153","0","0","-100.0","2.8","1","-85.7","NaN","NaN","NaN.0"
"2004 - 07","430369","8.4","3","NaN.0","5.6","2","100.0","NaN","NaN","NaN.0"
"2004 - 08","431523","13.9","5","66.7","11.1","4","100.0","NaN","NaN","NaN.0"
"2004 - 09","432677","2.8","1","-80.0","13.9","5","25.0","NaN","NaN","NaN.0"
"2004 - 10","433831","11.1","4","300.0","8.3","3","-40.0","NaN","NaN","NaN.0"
"2004 - 11","434985","13.8","5","25.0","5.5","2","-33.3","NaN","NaN","NaN.0"
"2004 - 12","436139","22","8","60.0","11","4","100.0","NaN","NaN","NaN.0"
"2005 - 01","437294","11","4","-50.0","8.2","3","-25.0","5.5","2","NaN.0"
"2005 - 02","438448","19.2","7","75.0","8.2","3","0.0","0","0","-100.0"
"2005 - 03","439602","8.2","3","-57.1","5.5","2","-33.3","0","0","NaN.0"
"2005 - 04","440756","2.7","1","-66.7","2.7","1","-50.0","0","0","NaN.0"
"2005 - 05","441910","5.4","2","100.0","5.4","2","100.0","5.4","2","NaN.0"
"2005 - 06","443064","13.5","5","150.0","13.5","5","150.0","0","0","-100.0"
"2005 - 07","444218","0","0","-100.0","5.4","2","-60.0","2.7","1","NaN.0"
"2005 - 08","445343","2.7","1","NaN.0","0","0","-100.0","0","0","-100.0"
"2005 - 09","446469","5.4","2","100.0","5.4","2","NaN.0","0","0","NaN.0"
"2005 - 10","447594","5.4","2","0.0","8","3","50.0","5.4","2","NaN.0"
"2005 - 11","448719","5.3","2","0.0","13.4","5","66.7","2.7","1","-50.0"
"2005 - 12","449844","24","9","350.0","13.3","5","0.0","2.7","1","0.0"
"2006 - 01","450970","13.3","5","-44.4","18.6","7","40.0","2.7","1","0.0"
"2006 - 02","452095","13.3","5","0.0","13.3","5","-28.6","0","0","-100.0"
"2006 - 03","453220","10.6","4","-20.0","7.9","3","-40.0","2.6","1","NaN.0"
"2006 - 04","454345","7.9","3","-25.0","2.6","1","-66.7","0","0","-100.0"
"2006 - 05","455471","7.9","3","0.0","10.5","4","300.0","7.9","3","NaN.0"
"2006 - 06","456596","7.9","3","0.0","7.9","3","-25.0","7.9","3","0.0"
"2006 - 07","457721","13.1","5","66.7","7.9","3","0.0","0","0","-100.0"
"2006 - 08","458590","13.1","5","0.0","13.1","5","66.7","2.6","1","NaN.0"
"2006 - 09","459458","0","0","-100.0","18.3","7","40.0","0","0","-100.0"
"2006 - 10","460327","15.6","6","NaN.0","18.2","7","0.0","2.6","1","NaN.0"
"2006 - 11","461195","26","10","66.7","13","5","-28.6","0","0","-100.0"
"2006 - 12","462064","2.6","1","-90.0","5.2","2","-60.0","0","0","NaN.0"
"2007 - 01","462932","18.1","7","600.0","0","0","-100.0","2.6","1","NaN.0"
"2007 - 02","463801","7.8","3","-57.1","5.2","2","NaN.0","0","0","-100.0"
"2007 - 03","464669","7.7","3","0.0","2.6","1","-50.0","0","0","NaN.0"
"2007 - 04","465538","15.5","6","100.0","0","0","-100.0","0","0","NaN.0"
"2007 - 05","466406","0","0","-100.0","5.1","2","NaN.0","2.6","1","NaN.0"
"2007 - 06","467275","36","14","NaN.0","15.4","6","200.0","5.1","2","100.0"
"2007 - 07","468143","7.7","3","-78.6","10.3","4","-33.3","2.6","1","-50.0"
"2007 - 08","469131","12.8","5","66.7","12.8","5","25.0","2.6","1","0.0"
"2007 - 09","470119","20.4","8","60.0","7.7","3","-40.0","0","0","-100.0"
"2007 - 10","471107","7.6","3","-62.5","2.5","1","-66.7","0","0","NaN.0"
"2007 - 11","472095","2.5","1","-66.7","2.5","1","0.0","0","0","NaN.0"
"2007 - 12","473083","12.7","5","400.0","7.6","3","200.0","2.5","1","NaN.0"
"2008 - 01","474071","12.7","5","0.0","10.1","4","33.3","0","0","-100.0"
"2008 - 02","475058","17.7","7","40.0","5.1","2","-50.0","5.1","2","NaN.0"
"2008 - 03","476046","7.6","3","-57.1","5","2","0.0","2.5","1","-50.0"
"2008 - 04","477034","12.6","5","66.7","12.6","5","150.0","2.5","1","0.0"
"2008 - 05","478022","22.6","9","80.0","15.1","6","20.0","2.5","1","0.0"
"2008 - 06","479010","12.5","5","-44.4","0","0","-100.0","2.5","1","0.0"
"2008 - 07","479998","17.5","7","40.0","5","2","NaN.0","0","0","-100.0"
"2008 - 08","481133","22.4","9","28.6","5","2","0.0","0","0","NaN.0"
"2008 - 09","482269","10","4","-55.6","2.5","1","-50.0","2.5","1","NaN.0"
"2008 - 10","483404","22.3","9","125.0","12.4","5","400.0","5","2","100.0"
"2008 - 11","484540","19.8","8","-11.1","9.9","4","-20.0","2.5","1","-50.0"
"2008 - 12","485675","12.4","5","-37.5","12.4","5","25.0","0","0","-100.0"
"2009 - 01","486811","7.4","3","-40.0","12.3","5","0.0","2.5","1","NaN.0"
"2009 - 02","487946","12.3","5","66.7","4.9","2","-60.0","2.5","1","0.0"
"2009 - 03","489081","12.3","5","0.0","4.9","2","0.0","2.5","1","0.0"
"2009 - 04","490217","14.7","6","20.0","7.3","3","50.0","0","0","-100.0"
"2009 - 05","491352","4.9","2","-66.7","2.4","1","-66.7","0","0","NaN.0"
"2009 - 06","492488","26.8","11","450.0","0","0","-100.0","7.3","3","NaN.0"
"2009 - 07","493623","9.7","4","-63.6","12.2","5","NaN.0","2.4","1","-66.7"
"2009 - 08","494714","12.1","5","25.0","2.4","1","-80.0","2.4","1","0.0"
"2009 - 09","495806","12.1","5","0.0","9.7","4","300.0","7.3","3","200.0"
"2009 - 10","496897","7.2","3","-40.0","2.4","1","-75.0","4.8","2","-33.3"
"2009 - 11","497988","12","5","66.7","7.2","3","200.0","7.2","3","50.0"
"2009 - 12","499079","24","10","100.0","7.2","3","0.0","0","0","-100.0"
"2010 - 01","500171","12","5","-50.0","0","0","-100.0","0","0","NaN.0"
"2010 - 02","501262","26.3","11","120.0","2.4","1","NaN.0","4.8","2","NaN.0"
"2010 - 03","502353","19.1","8","-27.3","9.6","4","300.0","2.4","1","-50.0"
"2010 - 04","503444","23.8","10","25.0","11.9","5","25.0","0","0","-100.0"
"2010 - 05","504536","16.6","7","-30.0","14.3","6","20.0","4.8","2","NaN.0"
"2010 - 06","505627","2.4","1","-85.7","2.4","1","-83.3","2.4","1","-50.0"
"2010 - 07","506718","21.3","9","800.0","11.8","5","400.0","2.4","1","0.0"
"2010 - 08","507588","7.1","3","-66.7","7.1","3","-40.0","4.7","2","100.0"
"2010 - 09","508458","14.2","6","100.0","4.7","2","-33.3","4.7","2","0.0"
"2010 - 10","509328","16.5","7","16.7","11.8","5","150.0","2.4","1","-50.0"
"2010 - 11","510198","11.8","5","-28.6","4.7","2","-60.0","4.7","2","100.0"
"2010 - 12","511068","7","3","-40.0","2.3","1","-50.0","0","0","-100.0"
"2011 - 01","511939","11.7","5","66.7","7","3","200.0","4.7","2","NaN.0"
