"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","159846","7.5","1","n/a","7.5","1","n/a","NaN","NaN","n/a"
"2003 - 02","159891","30","4","300.0","22.5","3","200.0","NaN","NaN","NaN.0"
"2003 - 03","159937","30","4","0.0","15","2","-33.3","NaN","NaN","NaN.0"
"2003 - 04","159982","15","2","-50.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 05","160028","22.5","3","50.0","15","2","NaN.0","NaN","NaN","NaN.0"
"2003 - 06","160073","30","4","33.3","37.5","5","150.0","NaN","NaN","NaN.0"
"2003 - 07","160119","7.5","1","-75.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 08","160221","15","2","100.0","7.5","1","NaN.0","NaN","NaN","NaN.0"
"2003 - 09","160322","15","2","0.0","15","2","100.0","NaN","NaN","NaN.0"
"2003 - 10","160424","15","2","0.0","15","2","0.0","NaN","NaN","NaN.0"
"2003 - 11","160526","44.9","6","200.0","22.4","3","50.0","NaN","NaN","NaN.0"
"2003 - 12","160627","59.8","8","33.3","22.4","3","0.0","NaN","NaN","NaN.0"
"2004 - 01","160729","29.9","4","-50.0","14.9","2","-33.3","NaN","NaN","NaN.0"
"2004 - 02","160831","29.8","4","0.0","52.2","7","250.0","NaN","NaN","NaN.0"
"2004 - 03","160932","29.8","4","0.0","7.5","1","-85.7","NaN","NaN","NaN.0"
"2004 - 04","161034","0","0","-100.0","22.4","3","200.0","NaN","NaN","NaN.0"
"2004 - 05","161136","37.2","5","NaN.0","14.9","2","-33.3","NaN","NaN","NaN.0"
"2004 - 06","161237","0","0","-100.0","14.9","2","0.0","NaN","NaN","NaN.0"
"2004 - 07","161339","29.8","4","NaN.0","22.3","3","50.0","NaN","NaN","NaN.0"
"2004 - 08","161418","14.9","2","-50.0","14.9","2","-33.3","NaN","NaN","NaN.0"
"2004 - 09","161497","22.3","3","50.0","14.9","2","0.0","NaN","NaN","NaN.0"
"2004 - 10","161577","22.3","3","0.0","29.7","4","100.0","NaN","NaN","NaN.0"
"2004 - 11","161656","7.4","1","-66.7","14.8","2","-50.0","NaN","NaN","NaN.0"
"2004 - 12","161735","22.3","3","200.0","14.8","2","0.0","NaN","NaN","NaN.0"
"2005 - 01","161814","22.2","3","0.0","14.8","2","0.0","0","0","NaN.0"
"2005 - 02","161893","14.8","2","-33.3","14.8","2","0.0","0","0","NaN.0"
"2005 - 03","161972","14.8","2","0.0","37","5","150.0","7.4","1","NaN.0"
"2005 - 04","162052","7.4","1","-50.0","29.6","4","-20.0","0","0","-100.0"
"2005 - 05","162131","22.2","3","200.0","14.8","2","-50.0","0","0","NaN.0"
"2005 - 06","162210","29.6","4","33.3","14.8","2","0.0","0","0","NaN.0"
"2005 - 07","162289","37","5","25.0","51.8","7","250.0","0","0","NaN.0"
"2005 - 08","162333","37","5","0.0","7.4","1","-85.7","7.4","1","NaN.0"
"2005 - 09","162376","14.8","2","-60.0","14.8","2","100.0","7.4","1","0.0"
"2005 - 10","162420","22.2","3","50.0","22.2","3","50.0","7.4","1","0.0"
"2005 - 11","162463","36.9","5","66.7","36.9","5","66.7","0","0","-100.0"
"2005 - 12","162507","14.8","2","-60.0","29.5","4","-20.0","14.8","2","NaN.0"
"2006 - 01","162551","29.5","4","100.0","7.4","1","-75.0","14.8","2","0.0"
"2006 - 02","162594","36.9","5","25.0","7.4","1","0.0","0","0","-100.0"
"2006 - 03","162638","29.5","4","-20.0","7.4","1","0.0","14.8","2","NaN.0"
"2006 - 04","162681","14.8","2","-50.0","14.8","2","100.0","0","0","-100.0"
"2006 - 05","162725","22.1","3","50.0","14.7","2","0.0","7.4","1","NaN.0"
"2006 - 06","162768","29.5","4","33.3","14.7","2","0.0","0","0","-100.0"
"2006 - 07","162812","14.7","2","-50.0","7.4","1","-50.0","14.7","2","NaN.0"
"2006 - 08","162856","14.7","2","0.0","14.7","2","100.0","0","0","-100.0"
"2006 - 09","162900","14.7","2","0.0","14.7","2","0.0","0","0","NaN.0"
"2006 - 10","162945","58.9","8","300.0","22.1","3","50.0","0","0","NaN.0"
"2006 - 11","162989","22.1","3","-62.5","22.1","3","0.0","0","0","NaN.0"
"2006 - 12","163033","36.8","5","66.7","14.7","2","-33.3","14.7","2","NaN.0"
"2007 - 01","163077","29.4","4","-20.0","14.7","2","0.0","0","0","-100.0"
"2007 - 02","163121","29.4","4","0.0","22.1","3","50.0","0","0","NaN.0"
"2007 - 03","163165","14.7","2","-50.0","7.4","1","-66.7","0","0","NaN.0"
"2007 - 04","163210","44.1","6","200.0","14.7","2","100.0","0","0","NaN.0"
"2007 - 05","163254","44.1","6","0.0","44.1","6","200.0","7.4","1","NaN.0"
"2007 - 06","163298","14.7","2","-66.7","14.7","2","-66.7","0","0","-100.0"
"2007 - 07","163342","0","0","-100.0","0","0","-100.0","7.3","1","NaN.0"
"2007 - 08","163362","22","3","NaN.0","22","3","NaN.0","0","0","-100.0"
