"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","138883","8.6","1","n/a","17.3","2","n/a","NaN","NaN","n/a"
"2003 - 02","138908","25.9","3","200.0","25.9","3","50.0","NaN","NaN","NaN.0"
"2003 - 03","138933","43.2","5","66.7","17.3","2","-33.3","NaN","NaN","NaN.0"
"2003 - 04","138958","43.2","5","0.0","8.6","1","-50.0","NaN","NaN","NaN.0"
"2003 - 05","138984","8.6","1","-80.0","17.3","2","100.0","NaN","NaN","NaN.0"
"2003 - 06","139009","34.5","4","300.0","17.3","2","0.0","NaN","NaN","NaN.0"
"2003 - 07","139034","8.6","1","-75.0","25.9","3","50.0","NaN","NaN","NaN.0"
"2003 - 08","139023","69.1","8","700.0","34.5","4","33.3","NaN","NaN","NaN.0"
"2003 - 09","139011","8.6","1","-87.5","17.3","2","-50.0","NaN","NaN","NaN.0"
"2003 - 10","139000","43.2","5","400.0","25.9","3","50.0","NaN","NaN","NaN.0"
"2003 - 11","138988","8.6","1","-80.0","25.9","3","0.0","NaN","NaN","NaN.0"
"2003 - 12","138977","8.6","1","0.0","17.3","2","-33.3","NaN","NaN","NaN.0"
"2004 - 01","138965","8.6","1","0.0","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 02","138954","17.3","2","100.0","8.6","1","NaN.0","NaN","NaN","NaN.0"
"2004 - 03","138942","34.5","4","100.0","25.9","3","200.0","NaN","NaN","NaN.0"
"2004 - 04","138931","8.6","1","-75.0","34.5","4","33.3","NaN","NaN","NaN.0"
"2004 - 05","138919","25.9","3","200.0","25.9","3","-25.0","NaN","NaN","NaN.0"
"2004 - 06","138908","8.6","1","-66.7","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 07","138896","17.3","2","100.0","51.8","6","NaN.0","NaN","NaN","NaN.0"
"2004 - 08","138869","17.3","2","0.0","17.3","2","-66.7","NaN","NaN","NaN.0"
"2004 - 09","138843","17.3","2","0.0","34.6","4","100.0","NaN","NaN","NaN.0"
"2004 - 10","138816","25.9","3","50.0","25.9","3","-25.0","NaN","NaN","NaN.0"
"2004 - 11","138790","25.9","3","0.0","17.3","2","-33.3","NaN","NaN","NaN.0"
"2004 - 12","138763","43.2","5","66.7","34.6","4","100.0","NaN","NaN","NaN.0"
"2005 - 01","138737","43.2","5","0.0","34.6","4","0.0","8.6","1","NaN.0"
"2005 - 02","138710","8.7","1","-80.0","17.3","2","-50.0","0","0","-100.0"
"2005 - 03","138683","26","3","200.0","0","0","-100.0","0","0","NaN.0"
"2005 - 04","138657","17.3","2","-33.3","8.7","1","NaN.0","8.7","1","NaN.0"
"2005 - 05","138630","17.3","2","0.0","26","3","200.0","0","0","-100.0"
"2005 - 06","138604","8.7","1","-50.0","0","0","-100.0","0","0","NaN.0"
"2005 - 07","138577","34.6","4","300.0","8.7","1","NaN.0","0","0","NaN.0"
"2005 - 08","138557","0","0","-100.0","17.3","2","100.0","0","0","NaN.0"
"2005 - 09","138537","43.3","5","NaN.0","26","3","50.0","8.7","1","NaN.0"
"2005 - 10","138518","8.7","1","-80.0","0","0","-100.0","0","0","-100.0"
"2005 - 11","138498","8.7","1","0.0","17.3","2","NaN.0","0","0","NaN.0"
"2005 - 12","138478","26","3","200.0","8.7","1","-50.0","0","0","NaN.0"
"2006 - 01","138458","8.7","1","-66.7","0","0","-100.0","0","0","NaN.0"
"2006 - 02","138438","8.7","1","0.0","8.7","1","NaN.0","0","0","NaN.0"
"2006 - 03","138418","17.3","2","100.0","8.7","1","0.0","0","0","NaN.0"
"2006 - 04","138399","8.7","1","-50.0","8.7","1","0.0","0","0","NaN.0"
"2006 - 05","138379","26","3","200.0","17.3","2","100.0","0","0","NaN.0"
"2006 - 06","138359","17.3","2","-33.3","8.7","1","-50.0","0","0","NaN.0"
"2006 - 07","138339","34.7","4","100.0","26","3","200.0","0","0","NaN.0"
"2006 - 08","138315","8.7","1","-75.0","17.4","2","-33.3","0","0","NaN.0"
"2006 - 09","138291","8.7","1","0.0","26","3","50.0","0","0","NaN.0"
"2006 - 10","138268","17.4","2","100.0","17.4","2","-33.3","0","0","NaN.0"
"2006 - 11","138244","17.4","2","0.0","34.7","4","100.0","0","0","NaN.0"
"2006 - 12","138220","17.4","2","0.0","34.7","4","0.0","0","0","NaN.0"
"2007 - 01","138196","26","3","50.0","26","3","-25.0","8.7","1","NaN.0"
"2007 - 02","138172","8.7","1","-66.7","0","0","-100.0","17.4","2","100.0"
"2007 - 03","138148","34.7","4","300.0","26.1","3","NaN.0","0","0","-100.0"
"2007 - 04","138125","17.4","2","-50.0","17.4","2","-33.3","0","0","NaN.0"
"2007 - 05","138101","0","0","-100.0","0","0","-100.0","8.7","1","NaN.0"
"2007 - 06","138077","8.7","1","NaN.0","8.7","1","NaN.0","0","0","-100.0"
"2007 - 07","138053","17.4","2","100.0","17.4","2","100.0","0","0","NaN.0"
"2007 - 08","138044","43.5","5","150.0","52.2","6","200.0","0","0","NaN.0"
"2007 - 09","138035","17.4","2","-60.0","26.1","3","-50.0","0","0","NaN.0"
"2007 - 10","138025","60.9","7","250.0","8.7","1","-66.7","8.7","1","NaN.0"
"2007 - 11","138016","17.4","2","-71.4","0","0","-100.0","0","0","-100.0"
"2007 - 12","138007","17.4","2","0.0","0","0","NaN.0","8.7","1","NaN.0"
"2008 - 01","137998","0","0","-100.0","8.7","1","NaN.0","0","0","-100.0"
"2008 - 02","137988","0","0","NaN.0","26.1","3","200.0","0","0","NaN.0"
"2008 - 03","137979","8.7","1","NaN.0","17.4","2","-33.3","0","0","NaN.0"
"2008 - 04","137970","17.4","2","100.0","8.7","1","-50.0","0","0","NaN.0"
"2008 - 05","137961","26.1","3","50.0","0","0","-100.0","0","0","NaN.0"
"2008 - 06","137951","17.4","2","-33.3","0","0","NaN.0","0","0","NaN.0"
"2008 - 07","137942","60.9","7","250.0","8.7","1","NaN.0","0","0","NaN.0"
"2008 - 08","137953","8.7","1","-85.7","0","0","-100.0","0","0","NaN.0"
"2008 - 09","137964","34.8","4","300.0","17.4","2","NaN.0","0","0","NaN.0"
"2008 - 10","137975","26.1","3","-25.0","8.7","1","-50.0","0","0","NaN.0"
"2008 - 11","137985","34.8","4","33.3","17.4","2","100.0","8.7","1","NaN.0"
"2008 - 12","137996","17.4","2","-50.0","34.8","4","100.0","0","0","-100.0"
"2009 - 01","138007","8.7","1","-50.0","26.1","3","-25.0","0","0","NaN.0"
"2009 - 02","138018","26.1","3","200.0","8.7","1","-66.7","0","0","NaN.0"
