"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","188382","19.1","3","n/a","6.4","1","n/a","NaN","NaN","n/a"
"2003 - 02","188538","12.7","2","-33.3","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 03","188694","6.4","1","-50.0","12.7","2","NaN.0","NaN","NaN","NaN.0"
"2003 - 04","188850","38.1","6","500.0","12.7","2","0.0","NaN","NaN","NaN.0"
"2003 - 05","189005","38.1","6","0.0","19","3","50.0","NaN","NaN","NaN.0"
"2003 - 06","189161","31.7","5","-16.7","12.7","2","-33.3","NaN","NaN","NaN.0"
"2003 - 07","189317","12.7","2","-60.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 08","189411","31.7","5","150.0","6.3","1","NaN.0","NaN","NaN","NaN.0"
"2003 - 09","189504","12.7","2","-60.0","12.7","2","100.0","NaN","NaN","NaN.0"
"2003 - 10","189598","25.3","4","100.0","6.3","1","-50.0","NaN","NaN","NaN.0"
"2003 - 11","189691","44.3","7","75.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 12","189785","31.6","5","-28.6","12.6","2","NaN.0","NaN","NaN","NaN.0"
"2004 - 01","189879","25.3","4","-20.0","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 02","189972","37.9","6","50.0","19","3","NaN.0","NaN","NaN","NaN.0"
"2004 - 03","190066","25.3","4","-33.3","6.3","1","-66.7","NaN","NaN","NaN.0"
"2004 - 04","190159","12.6","2","-50.0","12.6","2","100.0","NaN","NaN","NaN.0"
"2004 - 05","190253","6.3","1","-50.0","6.3","1","-50.0","NaN","NaN","NaN.0"
"2004 - 06","190346","25.2","4","300.0","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 07","190440","25.2","4","0.0","12.6","2","NaN.0","NaN","NaN","NaN.0"
"2004 - 08","190482","44.1","7","75.0","6.3","1","-50.0","NaN","NaN","NaN.0"
"2004 - 09","190524","6.3","1","-85.7","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 10","190565","56.7","9","800.0","12.6","2","NaN.0","NaN","NaN","NaN.0"
"2004 - 11","190607","31.5","5","-44.4","6.3","1","-50.0","NaN","NaN","NaN.0"
"2004 - 12","190649","44.1","7","40.0","12.6","2","100.0","NaN","NaN","NaN.0"
"2005 - 01","190691","25.2","4","-42.9","25.2","4","100.0","0","0","NaN.0"
"2005 - 02","190732","50.3","8","100.0","25.2","4","0.0","25.2","4","NaN.0"
"2005 - 03","190774","44","7","-12.5","0","0","-100.0","12.6","2","-50.0"
"2005 - 04","190816","44","7","0.0","0","0","NaN.0","6.3","1","-50.0"
"2005 - 05","190858","18.9","3","-57.1","6.3","1","NaN.0","6.3","1","0.0"
"2005 - 06","190899","37.7","6","100.0","6.3","1","0.0","0","0","-100.0"
"2005 - 07","190941","31.4","5","-16.7","0","0","-100.0","0","0","NaN.0"
"2005 - 08","190961","6.3","1","-80.0","0","0","NaN.0","6.3","1","NaN.0"
"2005 - 09","190981","56.6","9","800.0","6.3","1","NaN.0","6.3","1","0.0"
"2005 - 10","191001","37.7","6","-33.3","6.3","1","0.0","6.3","1","0.0"
"2005 - 11","191021","75.4","12","100.0","25.1","4","300.0","0","0","-100.0"
"2005 - 12","191041","25.1","4","-66.7","6.3","1","-75.0","6.3","1","NaN.0"
"2006 - 01","191062","0","0","-100.0","0","0","-100.0","0","0","-100.0"
"2006 - 02","191082","12.6","2","NaN.0","0","0","NaN.0","0","0","NaN.0"
"2006 - 03","191102","0","0","-100.0","6.3","1","NaN.0","6.3","1","NaN.0"
"2006 - 04","191122","31.4","5","NaN.0","12.6","2","100.0","0","0","-100.0"
"2006 - 05","191142","6.3","1","-80.0","12.6","2","0.0","25.1","4","NaN.0"
"2006 - 06","191162","25.1","4","300.0","12.6","2","0.0","6.3","1","-75.0"
"2006 - 07","191182","18.8","3","-25.0","12.6","2","0.0","0","0","-100.0"
"2006 - 08","191204","6.3","1","-66.7","0","0","-100.0","0","0","NaN.0"
"2006 - 09","191225","56.5","9","800.0","25.1","4","NaN.0","6.3","1","NaN.0"
"2006 - 10","191247","43.9","7","-22.2","18.8","3","-25.0","6.3","1","0.0"
"2006 - 11","191269","37.6","6","-14.3","6.3","1","-66.7","0","0","-100.0"
"2006 - 12","191290","18.8","3","-50.0","6.3","1","0.0","6.3","1","NaN.0"
"2007 - 01","191312","25.1","4","33.3","6.3","1","0.0","0","0","-100.0"
"2007 - 02","191334","25.1","4","0.0","0","0","-100.0","0","0","NaN.0"
"2007 - 03","191355","50.2","8","100.0","0","0","NaN.0","0","0","NaN.0"
"2007 - 04","191377","18.8","3","-62.5","0","0","NaN.0","12.5","2","NaN.0"
"2007 - 05","191399","18.8","3","0.0","6.3","1","NaN.0","0","0","-100.0"
"2007 - 06","191420","43.9","7","133.3","6.3","1","0.0","0","0","NaN.0"
"2007 - 07","191442","18.8","3","-57.1","12.5","2","100.0","6.3","1","NaN.0"
"2007 - 08","191550","31.3","5","66.7","6.3","1","-50.0","12.5","2","100.0"
"2007 - 09","191659","31.3","5","0.0","18.8","3","200.0","6.3","1","-50.0"
"2007 - 10","191767","31.3","5","0.0","18.8","3","0.0","6.3","1","0.0"
"2007 - 11","191875","0","0","-100.0","6.3","1","-66.7","0","0","-100.0"
"2007 - 12","191984","25","4","NaN.0","6.3","1","0.0","18.8","3","NaN.0"
"2008 - 01","192092","25","4","0.0","12.5","2","100.0","12.5","2","-33.3"
"2008 - 02","192200","6.2","1","-75.0","0","0","-100.0","0","0","-100.0"
"2008 - 03","192309","25","4","300.0","12.5","2","NaN.0","6.2","1","NaN.0"
"2008 - 04","192417","31.2","5","25.0","6.2","1","-50.0","6.2","1","0.0"
"2008 - 05","192525","37.4","6","20.0","18.7","3","200.0","6.2","1","0.0"
