"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","132369","0","0","n/a","0","0","n/a","NaN","NaN","n/a"
"2003 - 02","132379","9.1","1","NaN.0","45.3","5","NaN.0","NaN","NaN","NaN.0"
"2003 - 03","132389","18.1","2","100.0","9.1","1","-80.0","NaN","NaN","NaN.0"
"2003 - 04","132399","36.3","4","100.0","9.1","1","0.0","NaN","NaN","NaN.0"
"2003 - 05","132409","0","0","-100.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 06","132419","27.2","3","NaN.0","9.1","1","NaN.0","NaN","NaN","NaN.0"
"2003 - 07","132429","18.1","2","-33.3","36.2","4","300.0","NaN","NaN","NaN.0"
"2003 - 08","132435","27.2","3","50.0","9.1","1","-75.0","NaN","NaN","NaN.0"
"2003 - 09","132441","18.1","2","-33.3","9.1","1","0.0","NaN","NaN","NaN.0"
"2003 - 10","132447","18.1","2","0.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 11","132453","45.3","5","150.0","27.2","3","NaN.0","NaN","NaN","NaN.0"
"2003 - 12","132459","9.1","1","-80.0","9.1","1","-66.7","NaN","NaN","NaN.0"
"2004 - 01","132465","27.2","3","200.0","9.1","1","0.0","NaN","NaN","NaN.0"
"2004 - 02","132470","27.2","3","0.0","36.2","4","300.0","NaN","NaN","NaN.0"
"2004 - 03","132476","18.1","2","-33.3","9.1","1","-75.0","NaN","NaN","NaN.0"
"2004 - 04","132482","9.1","1","-50.0","9.1","1","0.0","NaN","NaN","NaN.0"
"2004 - 05","132488","9.1","1","0.0","18.1","2","100.0","NaN","NaN","NaN.0"
"2004 - 06","132494","9.1","1","0.0","18.1","2","0.0","NaN","NaN","NaN.0"
"2004 - 07","132500","0","0","-100.0","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 08","132502","18.1","2","NaN.0","27.2","3","NaN.0","NaN","NaN","NaN.0"
"2004 - 09","132503","18.1","2","0.0","27.2","3","0.0","NaN","NaN","NaN.0"
"2004 - 10","132505","27.2","3","50.0","27.2","3","0.0","NaN","NaN","NaN.0"
"2004 - 11","132506","18.1","2","-33.3","9.1","1","-66.7","NaN","NaN","NaN.0"
"2004 - 12","132508","36.2","4","100.0","9.1","1","0.0","NaN","NaN","NaN.0"
"2005 - 01","132510","18.1","2","-50.0","9.1","1","0.0","0","0","NaN.0"
"2005 - 02","132511","9.1","1","-50.0","9.1","1","0.0","9.1","1","NaN.0"
"2005 - 03","132513","0","0","-100.0","18.1","2","100.0","9.1","1","0.0"
"2005 - 04","132514","45.3","5","NaN.0","27.2","3","50.0","0","0","-100.0"
"2005 - 05","132516","27.2","3","-40.0","36.2","4","33.3","0","0","NaN.0"
"2005 - 06","132517","0","0","-100.0","9.1","1","-75.0","9.1","1","NaN.0"
"2005 - 07","132519","0","0","NaN.0","0","0","-100.0","9.1","1","0.0"
"2005 - 08","132523","36.2","4","NaN.0","18.1","2","NaN.0","9.1","1","0.0"
"2005 - 09","132526","45.3","5","25.0","36.2","4","100.0","0","0","-100.0"
"2005 - 10","132530","27.2","3","-40.0","0","0","-100.0","0","0","NaN.0"
"2005 - 11","132534","9.1","1","-66.7","0","0","NaN.0","9.1","1","NaN.0"
"2005 - 12","132537","9.1","1","0.0","18.1","2","NaN.0","0","0","-100.0"
"2006 - 01","132541","36.2","4","300.0","27.2","3","50.0","0","0","NaN.0"
"2006 - 02","132545","18.1","2","-50.0","9.1","1","-66.7","0","0","NaN.0"
"2006 - 03","132548","9.1","1","-50.0","0","0","-100.0","0","0","NaN.0"
"2006 - 04","132552","27.2","3","200.0","0","0","NaN.0","0","0","NaN.0"
"2006 - 05","132556","18.1","2","-33.3","0","0","NaN.0","9.1","1","NaN.0"
"2006 - 06","132559","63.4","7","250.0","18.1","2","NaN.0","9.1","1","0.0"
"2006 - 07","132563","27.2","3","-57.1","9.1","1","-50.0","9.1","1","0.0"
"2006 - 08","132551","27.2","3","0.0","0","0","-100.0","0","0","-100.0"
"2006 - 09","132538","27.2","3","0.0","27.2","3","NaN.0","0","0","NaN.0"
"2006 - 10","132526","27.2","3","0.0","27.2","3","0.0","0","0","NaN.0"
"2006 - 11","132513","0","0","-100.0","0","0","-100.0","0","0","NaN.0"
"2006 - 12","132501","27.2","3","NaN.0","36.2","4","NaN.0","0","0","NaN.0"
