"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","166932","35.9","5","n/a","14.4","2","n/a","NaN","NaN","n/a"
"2003 - 02","167019","7.2","1","-80.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 03","167106","14.4","2","100.0","7.2","1","NaN.0","NaN","NaN","NaN.0"
"2003 - 04","167193","14.4","2","0.0","7.2","1","0.0","NaN","NaN","NaN.0"
"2003 - 05","167281","14.3","2","0.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 06","167368","21.5","3","50.0","7.2","1","NaN.0","NaN","NaN","NaN.0"
"2003 - 07","167455","35.8","5","66.7","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 08","167498","35.8","5","0.0","7.2","1","NaN.0","NaN","NaN","NaN.0"
"2003 - 09","167542","7.2","1","-80.0","7.2","1","0.0","NaN","NaN","NaN.0"
"2003 - 10","167585","35.8","5","400.0","7.2","1","0.0","NaN","NaN","NaN.0"
"2003 - 11","167629","28.6","4","-20.0","7.2","1","0.0","NaN","NaN","NaN.0"
"2003 - 12","167672","7.2","1","-75.0","7.2","1","0.0","NaN","NaN","NaN.0"
"2004 - 01","167716","50.1","7","600.0","21.5","3","200.0","NaN","NaN","NaN.0"
"2004 - 02","167759","14.3","2","-71.4","21.5","3","0.0","NaN","NaN","NaN.0"
"2004 - 03","167802","28.6","4","100.0","14.3","2","-33.3","NaN","NaN","NaN.0"
"2004 - 04","167846","21.4","3","-25.0","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 05","167889","21.4","3","0.0","28.6","4","NaN.0","NaN","NaN","NaN.0"
"2004 - 06","167933","42.9","6","100.0","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 07","167976","42.9","6","0.0","7.1","1","NaN.0","NaN","NaN","NaN.0"
"2004 - 08","168013","28.6","4","-33.3","7.1","1","0.0","NaN","NaN","NaN.0"
"2004 - 09","168049","64.3","9","125.0","7.1","1","0.0","NaN","NaN","NaN.0"
