"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","428527","11.2","4","n/a","11.2","4","n/a","NaN","NaN","n/a"
"2003 - 02","428806","8.4","3","-25.0","8.4","3","-25.0","NaN","NaN","NaN.0"
"2003 - 03","429086","16.8","6","100.0","16.8","6","100.0","NaN","NaN","NaN.0"
"2003 - 04","429365","19.6","7","16.7","16.8","6","0.0","NaN","NaN","NaN.0"
"2003 - 05","429644","16.8","6","-14.3","11.2","4","-33.3","NaN","NaN","NaN.0"
"2003 - 06","429924","8.4","3","-50.0","11.2","4","0.0","NaN","NaN","NaN.0"
"2003 - 07","430203","5.6","2","-33.3","8.4","3","-25.0","NaN","NaN","NaN.0"
"2003 - 08","430529","5.6","2","0.0","5.6","2","-33.3","NaN","NaN","NaN.0"
"2003 - 09","430855","5.6","2","0.0","8.4","3","50.0","NaN","NaN","NaN.0"
"2003 - 10","431181","2.8","1","-50.0","2.8","1","-66.7","NaN","NaN","NaN.0"
"2003 - 11","431507","8.3","3","200.0","13.9","5","400.0","NaN","NaN","NaN.0"
"2003 - 12","431833","16.7","6","100.0","8.3","3","-40.0","NaN","NaN","NaN.0"
"2004 - 01","432160","22.2","8","33.3","8.3","3","0.0","NaN","NaN","NaN.0"
"2004 - 02","432486","27.7","10","25.0","13.9","5","66.7","NaN","NaN","NaN.0"
"2004 - 03","432812","5.5","2","-80.0","5.5","2","-60.0","NaN","NaN","NaN.0"
"2004 - 04","433138","27.7","10","400.0","16.6","6","200.0","NaN","NaN","NaN.0"
"2004 - 05","433464","22.1","8","-20.0","8.3","3","-50.0","NaN","NaN","NaN.0"
"2004 - 06","433790","19.4","7","-12.5","13.8","5","66.7","NaN","NaN","NaN.0"
"2004 - 07","434116","13.8","5","-28.6","24.9","9","80.0","NaN","NaN","NaN.0"
"2004 - 08","434393","8.3","3","-40.0","5.5","2","-77.8","NaN","NaN","NaN.0"
"2004 - 09","434670","16.6","6","100.0","13.8","5","150.0","NaN","NaN","NaN.0"
"2004 - 10","434947","24.8","9","50.0","19.3","7","40.0","NaN","NaN","NaN.0"
"2004 - 11","435224","19.3","7","-22.2","13.8","5","-28.6","NaN","NaN","NaN.0"
"2004 - 12","435501","16.5","6","-14.3","8.3","3","-40.0","NaN","NaN","NaN.0"
"2005 - 01","435779","22","8","33.3","8.3","3","0.0","2.8","1","NaN.0"
"2005 - 02","436056","13.8","5","-37.5","11","4","33.3","0","0","-100.0"
"2005 - 03","436333","46.8","17","240.0","13.8","5","25.0","2.8","1","NaN.0"
"2005 - 04","436610","41.2","15","-11.8","13.7","5","0.0","5.5","2","100.0"
"2005 - 05","436887","24.7","9","-40.0","8.2","3","-40.0","2.7","1","-50.0"
"2005 - 06","437164","27.4","10","11.1","5.5","2","-33.3","8.2","3","200.0"
"2005 - 07","437441","27.4","10","0.0","11","4","100.0","11","4","33.3"
"2005 - 08","437711","30.2","11","10.0","5.5","2","-50.0","8.2","3","-25.0"
"2005 - 09","437982","16.4","6","-45.5","5.5","2","0.0","5.5","2","-33.3"
"2005 - 10","438252","30.1","11","83.3","8.2","3","50.0","2.7","1","-50.0"
"2005 - 11","438522","21.9","8","-27.3","5.5","2","-33.3","5.5","2","100.0"
"2005 - 12","438793","24.6","9","12.5","16.4","6","200.0","10.9","4","100.0"
"2006 - 01","439063","32.8","12","33.3","19.1","7","16.7","8.2","3","-25.0"
"2006 - 02","439333","27.3","10","-16.7","8.2","3","-57.1","10.9","4","33.3"
"2006 - 03","439604","24.6","9","-10.0","8.2","3","0.0","5.5","2","-50.0"
"2006 - 04","439874","30","11","22.2","16.4","6","100.0","2.7","1","-50.0"
"2006 - 05","440144","32.7","12","9.1","27.3","10","66.7","10.9","4","300.0"
"2006 - 06","440415","19.1","7","-41.7","8.2","3","-70.0","13.6","5","25.0"
"2006 - 07","440685","38.1","14","100.0","13.6","5","66.7","5.4","2","-60.0"
"2006 - 08","440834","32.7","12","-14.3","16.3","6","20.0","5.4","2","0.0"
"2006 - 09","440983","27.2","10","-16.7","13.6","5","-16.7","2.7","1","-50.0"
"2006 - 10","441132","35.4","13","30.0","8.2","3","-40.0","5.4","2","100.0"
