"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","432071","25","9","n/a","13.9","5","n/a","NaN","NaN","n/a"
"2003 - 02","432342","5.6","2","-77.8","5.6","2","-60.0","NaN","NaN","NaN.0"
"2003 - 03","432613","19.4","7","250.0","13.9","5","150.0","NaN","NaN","NaN.0"
"2003 - 04","432885","16.6","6","-14.3","2.8","1","-80.0","NaN","NaN","NaN.0"
"2003 - 05","433156","24.9","9","50.0","8.3","3","200.0","NaN","NaN","NaN.0"
"2003 - 06","433427","19.4","7","-22.2","5.5","2","-33.3","NaN","NaN","NaN.0"
"2003 - 07","433698","22.1","8","14.3","22.1","8","300.0","NaN","NaN","NaN.0"
"2003 - 08","434024","19.4","7","-12.5","11.1","4","-50.0","NaN","NaN","NaN.0"
"2003 - 09","434350","16.6","6","-14.3","5.5","2","-50.0","NaN","NaN","NaN.0"
"2003 - 10","434676","24.8","9","50.0","11","4","100.0","NaN","NaN","NaN.0"
"2003 - 11","435002","16.6","6","-33.3","13.8","5","25.0","NaN","NaN","NaN.0"
"2003 - 12","435328","16.5","6","0.0","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 01","435654","11","4","-33.3","8.3","3","NaN.0","NaN","NaN","NaN.0"
"2004 - 02","435980","16.5","6","50.0","13.8","5","66.7","NaN","NaN","NaN.0"
"2004 - 03","436306","16.5","6","0.0","19.3","7","40.0","NaN","NaN","NaN.0"
"2004 - 04","436632","16.5","6","0.0","11","4","-42.9","NaN","NaN","NaN.0"
"2004 - 05","436958","19.2","7","16.7","8.2","3","-25.0","NaN","NaN","NaN.0"
"2004 - 06","437284","27.4","10","42.9","16.5","6","100.0","NaN","NaN","NaN.0"
"2004 - 07","437610","19.2","7","-30.0","16.5","6","0.0","NaN","NaN","NaN.0"
"2004 - 08","437866","16.4","6","-14.3","8.2","3","-50.0","NaN","NaN","NaN.0"
"2004 - 09","438123","35.6","13","116.7","16.4","6","100.0","NaN","NaN","NaN.0"
"2004 - 10","438379","27.4","10","-23.1","10.9","4","-33.3","NaN","NaN","NaN.0"
"2004 - 11","438636","13.7","5","-50.0","10.9","4","0.0","NaN","NaN","NaN.0"
"2004 - 12","438892","10.9","4","-20.0","10.9","4","0.0","NaN","NaN","NaN.0"
"2005 - 01","439149","13.7","5","25.0","8.2","3","-25.0","5.5","2","NaN.0"
"2005 - 02","439405","21.8","8","60.0","10.9","4","33.3","2.7","1","-50.0"
"2005 - 03","439661","19.1","7","-12.5","19.1","7","75.0","2.7","1","0.0"
"2005 - 04","439918","27.3","10","42.9","16.4","6","-14.3","5.5","2","100.0"
"2005 - 05","440174","24.5","9","-10.0","13.6","5","-16.7","5.5","2","0.0"
"2005 - 06","440431","32.7","12","33.3","8.2","3","-40.0","2.7","1","-50.0"
"2005 - 07","440687","30","11","-8.3","16.3","6","100.0","8.2","3","200.0"
"2005 - 08","440830","19.1","7","-36.4","19.1","7","16.7","5.4","2","-33.3"
"2005 - 09","440974","21.8","8","14.3","5.4","2","-71.4","0","0","-100.0"
"2005 - 10","441117","38.1","14","75.0","13.6","5","150.0","8.2","3","NaN.0"
"2005 - 11","441260","16.3","6","-57.1","16.3","6","20.0","5.4","2","-33.3"
"2005 - 12","441404","21.7","8","33.3","13.6","5","-16.7","5.4","2","0.0"
"2006 - 01","441547","13.6","5","-37.5","21.7","8","60.0","2.7","1","-50.0"
"2006 - 02","441690","19","7","40.0","8.2","3","-62.5","8.2","3","200.0"
"2006 - 03","441834","2.7","1","-85.7","8.1","3","0.0","2.7","1","-66.7"
"2006 - 04","441977","24.4","9","800.0","16.3","6","100.0","8.1","3","200.0"
"2006 - 05","442120","13.6","5","-44.4","2.7","1","-83.3","5.4","2","-33.3"
"2006 - 06","442264","16.3","6","20.0","10.9","4","300.0","8.1","3","50.0"
"2006 - 07","442407","16.3","6","0.0","10.8","4","0.0","2.7","1","-66.7"
"2006 - 08","442316","24.4","9","50.0","21.7","8","100.0","2.7","1","0.0"
"2006 - 09","442225","19","7","-22.2","8.1","3","-62.5","2.7","1","0.0"
"2006 - 10","442133","13.6","5","-28.6","19","7","133.3","0","0","-100.0"
"2006 - 11","442042","8.1","3","-40.0","0","0","-100.0","0","0","NaN.0"
"2006 - 12","441951","21.7","8","166.7","21.7","8","NaN.0","10.9","4","NaN.0"
"2007 - 01","441860","19","7","-12.5","13.6","5","-37.5","2.7","1","-75.0"
"2007 - 02","441768","13.6","5","-28.6","8.1","3","-40.0","2.7","1","0.0"
"2007 - 03","441677","13.6","5","0.0","16.3","6","100.0","5.4","2","100.0"
"2007 - 04","441586","27.2","10","100.0","10.9","4","-33.3","5.4","2","0.0"
"2007 - 05","441495","24.5","9","-10.0","19","7","75.0","19","7","250.0"
"2007 - 06","441403","10.9","4","-55.6","16.3","6","-14.3","13.6","5","-28.6"
"2007 - 07","441312","24.5","9","125.0","13.6","5","-16.7","16.3","6","20.0"
"2007 - 08","441261","5.4","2","-77.8","5.4","2","-60.0","2.7","1","-83.3"
"2007 - 09","441210","24.5","9","350.0","13.6","5","150.0","5.4","2","100.0"
"2007 - 10","441160","27.2","10","11.1","19","7","40.0","2.7","1","-50.0"
"2007 - 11","441109","13.6","5","-50.0","10.9","4","-42.9","2.7","1","0.0"
"2007 - 12","441058","21.8","8","60.0","10.9","4","0.0","8.2","3","200.0"
"2008 - 01","441007","16.3","6","-25.0","13.6","5","25.0","8.2","3","0.0"
"2008 - 02","440956","10.9","4","-33.3","16.3","6","20.0","8.2","3","0.0"
"2008 - 03","440905","19.1","7","75.0","16.3","6","0.0","5.4","2","-33.3"
"2008 - 04","440855","32.7","12","71.4","5.4","2","-66.7","0","0","-100.0"
"2008 - 05","440804","13.6","5","-58.3","13.6","5","150.0","10.9","4","NaN.0"
"2008 - 06","440753","32.7","12","140.0","24.5","9","80.0","5.4","2","-50.0"
"2008 - 07","440702","24.5","9","-25.0","13.6","5","-44.4","2.7","1","-50.0"
"2008 - 08","440710","19.1","7","-22.2","2.7","1","-80.0","0","0","-100.0"
"2008 - 09","440719","19.1","7","0.0","8.2","3","200.0","5.4","2","NaN.0"
"2008 - 10","440727","24.5","9","28.6","10.9","4","33.3","10.9","4","100.0"
"2008 - 11","440735","19.1","7","-22.2","8.2","3","-25.0","0","0","-100.0"
"2008 - 12","440744","27.2","10","42.9","16.3","6","100.0","5.4","2","NaN.0"
"2009 - 01","440752","21.8","8","-20.0","13.6","5","-16.7","8.2","3","50.0"
"2009 - 02","440760","29.9","11","37.5","10.9","4","-20.0","13.6","5","66.7"
"2009 - 03","440769","24.5","9","-18.2","8.2","3","-25.0","2.7","1","-80.0"
"2009 - 04","440777","29.9","11","22.2","21.8","8","166.7","2.7","1","0.0"
"2009 - 05","440785","29.9","11","0.0","10.9","4","-50.0","2.7","1","0.0"
"2009 - 06","440794","35.4","13","18.2","8.2","3","-25.0","8.2","3","200.0"
"2009 - 07","440802","35.4","13","0.0","10.9","4","33.3","2.7","1","-66.7"
"2009 - 08","440889","29.9","11","-15.4","10.9","4","0.0","8.2","3","200.0"
"2009 - 09","440975","43.5","16","45.5","13.6","5","25.0","2.7","1","-66.7"
"2009 - 10","441062","21.8","8","-50.0","8.2","3","-40.0","5.4","2","100.0"
"2009 - 11","441149","35.4","13","62.5","19","7","133.3","0","0","-100.0"
"2009 - 12","441235","32.6","12","-7.7","8.2","3","-57.1","5.4","2","NaN.0"
"2010 - 01","441322","29.9","11","-8.3","13.6","5","66.7","5.4","2","0.0"
"2010 - 02","441409","16.3","6","-45.5","8.2","3","-40.0","13.6","5","150.0"
"2010 - 03","441495","21.7","8","33.3","19","7","133.3","8.2","3","-40.0"
"2010 - 04","441582","29.9","11","37.5","13.6","5","-28.6","8.2","3","0.0"
"2010 - 05","441669","24.5","9","-18.2","10.9","4","-20.0","8.2","3","0.0"
"2010 - 06","441755","29.9","11","22.2","5.4","2","-50.0","8.1","3","0.0"
"2010 - 07","441842","38","14","27.3","16.3","6","200.0","0","0","-100.0"
"2010 - 08","441922","35.3","13","-7.1","10.9","4","-33.3","5.4","2","NaN.0"
"2010 - 09","442002","32.6","12","-7.7","8.1","3","-25.0","8.1","3","50.0"
"2010 - 10","442082","38","14","16.7","21.7","8","166.7","0","0","-100.0"
"2010 - 11","442162","38","14","0.0","19","7","-12.5","8.1","3","NaN.0"
"2010 - 12","442242","40.7","15","7.1","13.6","5","-28.6","8.1","3","0.0"
"2011 - 01","442323","29.8","11","-26.7","10.9","4","-20.0","2.7","1","-66.7"
"2011 - 02","442403","10.8","4","-63.6","8.1","3","-25.0","8.1","3","200.0"
"2011 - 03","442483","27.1","10","150.0","21.7","8","166.7","5.4","2","-33.3"
"2011 - 04","442563","35.2","13","30.0","24.4","9","12.5","13.6","5","150.0"
"2011 - 05","442643","35.2","13","0.0","16.3","6","-33.3","2.7","1","-80.0"
"2011 - 06","442723","24.4","9","-30.8","5.4","2","-66.7","5.4","2","100.0"
"2011 - 07","442803","46.1","17","88.9","24.4","9","350.0","21.7","8","300.0"
"2011 - 08","442954","43.3","16","-5.9","27.1","10","11.1","5.4","2","-75.0"
"2011 - 09","443104","54.2","20","25.0","21.7","8","-20.0","10.8","4","100.0"
"2011 - 10","443255","21.7","8","-60.0","13.5","5","-37.5","8.1","3","-25.0"
"2011 - 11","443405","35.2","13","62.5","8.1","3","-40.0","8.1","3","0.0"
"2011 - 12","443556","37.9","14","7.7","21.6","8","166.7","8.1","3","0.0"
"2012 - 01","443707","29.7","11","-21.4","27","10","25.0","2.7","1","-66.7"
"2012 - 02","443857","13.5","5","-54.5","8.1","3","-70.0","5.4","2","100.0"
"2012 - 03","444008","27","10","100.0","10.8","4","33.3","8.1","3","50.0"
"2012 - 04","444158","48.6","18","80.0","16.2","6","50.0","10.8","4","33.3"
"2012 - 05","444309","29.7","11","-38.9","21.6","8","33.3","8.1","3","-25.0"
"2012 - 06","444459","48.6","18","63.6","21.6","8","0.0","5.4","2","-33.3"
"2012 - 07","444610","75.6","28","55.6","32.4","12","50.0","13.5","5","150.0"
"2012 - 08","444712","45.9","17","-39.3","21.6","8","-33.3","10.8","4","-20.0"
"2012 - 09","444813","51.3","19","11.8","8.1","3","-62.5","2.7","1","-75.0"
"2012 - 10","444915","40.5","15","-21.1","18.9","7","133.3","5.4","2","100.0"
"2012 - 11","445017","32.4","12","-20.0","16.2","6","-14.3","10.8","4","100.0"
"2012 - 12","445118","27","10","-16.7","13.5","5","-16.7","8.1","3","-25.0"
"2013 - 01","445220","21.6","8","-20.0","13.5","5","0.0","5.4","2","-33.3"
"2013 - 02","445322","26.9","10","25.0","26.9","10","100.0","2.7","1","-50.0"
"2013 - 03","445423","56.6","21","110.0","24.2","9","-10.0","8.1","3","200.0"
"2013 - 04","445525","35","13","-38.1","16.2","6","-33.3","8.1","3","0.0"
"2013 - 05","445627","43.1","16","23.1","13.5","5","-16.7","8.1","3","0.0"
"2013 - 06","445728","37.7","14","-12.5","16.2","6","20.0","8.1","3","0.0"
"2013 - 07","445830","48.4","18","28.6","21.5","8","33.3","10.8","4","33.3"
"2013 - 08","445996","61.9","23","27.8","29.6","11","37.5","8.1","3","-25.0"
"2013 - 09","446163","40.3","15","-34.8","29.6","11","0.0","8.1","3","0.0"
"2013 - 10","446329","43","16","6.7","32.3","12","9.1","8.1","3","0.0"
"2013 - 11","446495","37.6","14","-12.5","8.1","3","-75.0","2.7","1","-66.7"
"2013 - 12","446661","64.5","24","71.4","18.8","7","133.3","10.7","4","300.0"
"2014 - 01","446828","37.6","14","-41.7","16.1","6","-14.3","10.7","4","0.0"
"2014 - 02","446994","48.3","18","28.6","29.5","11","83.3","2.7","1","-75.0"
"2014 - 03","447160","67.1","25","38.9","13.4","5","-54.5","2.7","1","0.0"
"2014 - 04","447326","40.2","15","-40.0","18.8","7","40.0","5.4","2","100.0"
