"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","125778","19.1","2","n/a","19.1","2","n/a","NaN","NaN","n/a"
"2003 - 02","125814","19.1","2","0.0","19.1","2","0.0","NaN","NaN","NaN.0"
"2003 - 03","125850","38.1","4","100.0","9.5","1","-50.0","NaN","NaN","NaN.0"
"2003 - 04","125887","66.7","7","75.0","9.5","1","0.0","NaN","NaN","NaN.0"
"2003 - 05","125923","19.1","2","-71.4","38.1","4","300.0","NaN","NaN","NaN.0"
"2003 - 06","125960","104.8","11","450.0","47.6","5","25.0","NaN","NaN","NaN.0"
"2003 - 07","125996","76.2","8","-27.3","47.6","5","0.0","NaN","NaN","NaN.0"
"2003 - 08","126015","9.5","1","-87.5","38.1","4","-20.0","NaN","NaN","NaN.0"
"2003 - 09","126034","38.1","4","300.0","19","2","-50.0","NaN","NaN","NaN.0"
"2003 - 10","126052","28.6","3","-25.0","38.1","4","100.0","NaN","NaN","NaN.0"
"2003 - 11","126071","38.1","4","33.3","38.1","4","0.0","NaN","NaN","NaN.0"
"2003 - 12","126090","66.6","7","75.0","47.6","5","25.0","NaN","NaN","NaN.0"
"2004 - 01","126109","28.5","3","-57.1","19","2","-60.0","NaN","NaN","NaN.0"
"2004 - 02","126127","57.1","6","100.0","57.1","6","200.0","NaN","NaN","NaN.0"
"2004 - 03","126146","28.5","3","-50.0","38.1","4","-33.3","NaN","NaN","NaN.0"
"2004 - 04","126165","47.6","5","66.7","47.6","5","25.0","NaN","NaN","NaN.0"
"2004 - 05","126184","28.5","3","-40.0","38","4","-20.0","NaN","NaN","NaN.0"
"2004 - 06","126202","38","4","33.3","9.5","1","-75.0","NaN","NaN","NaN.0"
"2004 - 07","126221","95.1","10","150.0","38","4","300.0","NaN","NaN","NaN.0"
"2004 - 08","126282","66.5","7","-30.0","38","4","0.0","NaN","NaN","NaN.0"
"2004 - 09","126344","76","8","14.3","57","6","50.0","NaN","NaN","NaN.0"
"2004 - 10","126405","19","2","-75.0","19","2","-66.7","NaN","NaN","NaN.0"
"2004 - 11","126466","66.4","7","250.0","47.4","5","150.0","NaN","NaN","NaN.0"
"2004 - 12","126528","19","2","-71.4","9.5","1","-80.0","NaN","NaN","NaN.0"
"2005 - 01","126589","19","2","0.0","19","2","100.0","0","0","NaN.0"
"2005 - 02","126650","37.9","4","100.0","28.4","3","50.0","0","0","NaN.0"
"2005 - 03","126712","37.9","4","0.0","47.4","5","66.7","18.9","2","NaN.0"
"2005 - 04","126773","56.8","6","50.0","47.3","5","0.0","9.5","1","-50.0"
"2005 - 05","126834","18.9","2","-66.7","18.9","2","-60.0","0","0","-100.0"
"2005 - 06","126896","37.8","4","100.0","37.8","4","100.0","9.5","1","NaN.0"
"2005 - 07","126957","18.9","2","-50.0","9.5","1","-75.0","9.5","1","0.0"
"2005 - 08","126982","18.9","2","0.0","9.5","1","0.0","0","0","-100.0"
"2005 - 09","127007","18.9","2","0.0","28.3","3","200.0","9.4","1","NaN.0"
"2005 - 10","127032","18.9","2","0.0","9.4","1","-66.7","0","0","-100.0"
"2005 - 11","127057","18.9","2","0.0","75.6","8","700.0","9.4","1","NaN.0"
"2005 - 12","127082","28.3","3","50.0","9.4","1","-87.5","0","0","-100.0"
"2006 - 01","127107","18.9","2","-33.3","18.9","2","100.0","0","0","NaN.0"
"2006 - 02","127131","85","9","350.0","66.1","7","250.0","0","0","NaN.0"
"2006 - 03","127156","18.9","2","-77.8","18.9","2","-71.4","9.4","1","NaN.0"
"2006 - 04","127181","28.3","3","50.0","28.3","3","50.0","9.4","1","0.0"
"2006 - 05","127206","37.7","4","33.3","28.3","3","0.0","9.4","1","0.0"
"2006 - 06","127231","9.4","1","-75.0","0","0","-100.0","0","0","-100.0"
"2006 - 07","127256","18.9","2","100.0","9.4","1","NaN.0","9.4","1","NaN.0"
