"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","83253","0","0","n/a","14.4","1","n/a","NaN","NaN","n/a"
"2003 - 02","83288","0","0","NaN.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 03","83323","28.8","2","NaN.0","100.8","7","NaN.0","NaN","NaN","NaN.0"
"2003 - 04","83358","0","0","-100.0","14.4","1","-85.7","NaN","NaN","NaN.0"
"2003 - 05","83392","14.4","1","NaN.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 06","83427","14.4","1","0.0","14.4","1","NaN.0","NaN","NaN","NaN.0"
"2003 - 07","83462","28.8","2","100.0","14.4","1","0.0","NaN","NaN","NaN.0"
"2003 - 08","83473","14.4","1","-50.0","43.1","3","200.0","NaN","NaN","NaN.0"
"2003 - 09","83484","14.4","1","0.0","14.4","1","-66.7","NaN","NaN","NaN.0"
"2003 - 10","83495","28.7","2","100.0","43.1","3","200.0","NaN","NaN","NaN.0"
"2003 - 11","83505","14.4","1","-50.0","14.4","1","-66.7","NaN","NaN","NaN.0"
"2003 - 12","83516","14.4","1","0.0","14.4","1","0.0","NaN","NaN","NaN.0"
"2004 - 01","83527","43.1","3","200.0","28.7","2","100.0","NaN","NaN","NaN.0"
"2004 - 02","83538","14.4","1","-66.7","28.7","2","0.0","NaN","NaN","NaN.0"
"2004 - 03","83549","43.1","3","200.0","14.4","1","-50.0","NaN","NaN","NaN.0"
"2004 - 04","83560","57.4","4","33.3","14.4","1","0.0","NaN","NaN","NaN.0"
"2004 - 05","83570","14.4","1","-75.0","43.1","3","200.0","NaN","NaN","NaN.0"
"2004 - 06","83581","71.8","5","400.0","43.1","3","0.0","NaN","NaN","NaN.0"
"2004 - 07","83592","14.4","1","-80.0","14.4","1","-66.7","NaN","NaN","NaN.0"
"2004 - 08","83583","14.4","1","0.0","14.4","1","0.0","NaN","NaN","NaN.0"
"2004 - 09","83575","14.4","1","0.0","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 10","83566","43.1","3","200.0","28.7","2","NaN.0","NaN","NaN","NaN.0"
"2004 - 11","83558","14.4","1","-66.7","14.4","1","-50.0","NaN","NaN","NaN.0"
"2004 - 12","83549","14.4","1","0.0","28.7","2","100.0","NaN","NaN","NaN.0"
"2005 - 01","83541","28.7","2","100.0","43.1","3","50.0","0","0","NaN.0"
"2005 - 02","83532","14.4","1","-50.0","0","0","-100.0","14.4","1","NaN.0"
"2005 - 03","83523","14.4","1","0.0","0","0","NaN.0","14.4","1","0.0"
"2005 - 04","83515","43.1","3","200.0","0","0","NaN.0","0","0","-100.0"
"2005 - 05","83506","28.7","2","-33.3","57.5","4","NaN.0","0","0","NaN.0"
"2005 - 06","83498","0","0","-100.0","14.4","1","-75.0","0","0","NaN.0"
"2005 - 07","83489","28.7","2","NaN.0","0","0","-100.0","0","0","NaN.0"
"2005 - 08","83473","28.8","2","0.0","14.4","1","NaN.0","0","0","NaN.0"
"2005 - 09","83457","43.1","3","50.0","43.1","3","200.0","0","0","NaN.0"
"2005 - 10","83441","28.8","2","-33.3","0","0","-100.0","0","0","NaN.0"
"2005 - 11","83425","14.4","1","-50.0","0","0","NaN.0","14.4","1","NaN.0"
"2005 - 12","83409","57.5","4","300.0","57.5","4","NaN.0","0","0","-100.0"
"2006 - 01","83394","28.8","2","-50.0","14.4","1","-75.0","28.8","2","NaN.0"
"2006 - 02","83378","28.8","2","0.0","14.4","1","0.0","14.4","1","-50.0"
"2006 - 03","83362","14.4","1","-50.0","28.8","2","100.0","0","0","-100.0"
"2006 - 04","83346","28.8","2","100.0","0","0","-100.0","0","0","NaN.0"
"2006 - 05","83330","14.4","1","-50.0","0","0","NaN.0","0","0","NaN.0"
"2006 - 06","83314","57.6","4","300.0","14.4","1","NaN.0","0","0","NaN.0"
"2006 - 07","83298","0","0","-100.0","14.4","1","0.0","0","0","NaN.0"
"2006 - 08","83213","14.4","1","NaN.0","14.4","1","0.0","0","0","NaN.0"
"2006 - 09","83128","0","0","-100.0","0","0","-100.0","0","0","NaN.0"
