"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","822517","10.2","7","n/a","2.9","2","n/a","NaN","NaN","n/a"
"2003 - 02","823234","4.4","3","-57.1","5.8","4","100.0","NaN","NaN","NaN.0"
"2003 - 03","823951","7.3","5","66.7","4.4","3","-25.0","NaN","NaN","NaN.0"
"2003 - 04","824669","11.6","8","60.0","4.4","3","0.0","NaN","NaN","NaN.0"
"2003 - 05","825386","7.3","5","-37.5","2.9","2","-33.3","NaN","NaN","NaN.0"
"2003 - 06","826104","11.6","8","60.0","4.4","3","50.0","NaN","NaN","NaN.0"
"2003 - 07","826821","11.6","8","0.0","11.6","8","166.7","NaN","NaN","NaN.0"
"2003 - 08","827265","11.6","8","0.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 09","827709","7.2","5","-37.5","4.3","3","NaN.0","NaN","NaN","NaN.0"
"2003 - 10","828153","8.7","6","20.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 11","828596","5.8","4","-33.3","7.2","5","NaN.0","NaN","NaN","NaN.0"
"2003 - 12","829040","15.9","11","175.0","11.6","8","60.0","NaN","NaN","NaN.0"
"2004 - 01","829484","10.1","7","-36.4","7.2","5","-37.5","NaN","NaN","NaN.0"
"2004 - 02","829928","14.5","10","42.9","7.2","5","0.0","NaN","NaN","NaN.0"
"2004 - 03","830372","11.6","8","-20.0","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 04","830816","8.7","6","-25.0","4.3","3","NaN.0","NaN","NaN","NaN.0"
"2004 - 05","831259","7.2","5","-16.7","7.2","5","66.7","NaN","NaN","NaN.0"
"2004 - 06","831703","7.2","5","0.0","7.2","5","0.0","NaN","NaN","NaN.0"
"2004 - 07","832147","13","9","80.0","2.9","2","-60.0","NaN","NaN","NaN.0"
"2004 - 08","832625","8.6","6","-33.3","8.6","6","200.0","NaN","NaN","NaN.0"
"2004 - 09","833102","13","9","50.0","2.9","2","-66.7","NaN","NaN","NaN.0"
"2004 - 10","833580","11.5","8","-11.1","4.3","3","50.0","NaN","NaN","NaN.0"
"2004 - 11","834057","7.2","5","-37.5","2.9","2","-33.3","NaN","NaN","NaN.0"
"2004 - 12","834535","12.9","9","80.0","1.4","1","-50.0","NaN","NaN","NaN.0"
"2005 - 01","835012","21.6","15","66.7","12.9","9","800.0","0","0","NaN.0"
"2005 - 02","835490","7.2","5","-66.7","5.7","4","-55.6","1.4","1","NaN.0"
"2005 - 03","835967","11.5","8","60.0","8.6","6","50.0","2.9","2","100.0"
"2005 - 04","836445","18.7","13","62.5","2.9","2","-66.7","5.7","4","100.0"
"2005 - 05","836922","17.2","12","-7.7","8.6","6","200.0","2.9","2","-50.0"
"2005 - 06","837400","12.9","9","-25.0","10","7","16.7","2.9","2","0.0"
"2005 - 07","837877","11.5","8","-11.1","5.7","4","-42.9","1.4","1","-50.0"
"2005 - 08","838547","22.9","16","100.0","11.4","8","100.0","2.9","2","100.0"
"2005 - 09","839218","11.4","8","-50.0","5.7","4","-50.0","0","0","-100.0"
"2005 - 10","839888","14.3","10","25.0","4.3","3","-25.0","4.3","3","NaN.0"
"2005 - 11","840559","11.4","8","-20.0","8.6","6","100.0","4.3","3","0.0"
"2005 - 12","841229","2.9","2","-75.0","4.3","3","-50.0","0","0","-100.0"
"2006 - 01","841900","15.7","11","450.0","4.3","3","0.0","0","0","NaN.0"
"2006 - 02","842570","17.1","12","9.1","10","7","133.3","2.8","2","NaN.0"
