"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","1091346","5.5","5","n/a","1.1","1","n/a","NaN","NaN","n/a"
"2003 - 02","1094292","6.6","6","20.0","5.5","5","400.0","NaN","NaN","NaN.0"
"2003 - 03","1097239","5.5","5","-16.7","10.9","10","100.0","NaN","NaN","NaN.0"
"2003 - 04","1100186","9.8","9","80.0","2.2","2","-80.0","NaN","NaN","NaN.0"
"2003 - 05","1103133","10.9","10","11.1","6.5","6","200.0","NaN","NaN","NaN.0"
"2003 - 06","1106080","5.4","5","-50.0","8.7","8","33.3","NaN","NaN","NaN.0"
"2003 - 07","1109027","8.7","8","60.0","8.7","8","0.0","NaN","NaN","NaN.0"
"2003 - 08","1112010","9.7","9","12.5","8.6","8","0.0","NaN","NaN","NaN.0"
"2003 - 09","1114993","5.4","5","-44.4","5.4","5","-37.5","NaN","NaN","NaN.0"
"2003 - 10","1117976","8.6","8","60.0","3.2","3","-40.0","NaN","NaN","NaN.0"
"2003 - 11","1120959","5.4","5","-37.5","5.4","5","66.7","NaN","NaN","NaN.0"
"2003 - 12","1123942","5.3","5","0.0","8.5","8","60.0","NaN","NaN","NaN.0"
"2004 - 01","1126925","7.5","7","40.0","2.1","2","-75.0","NaN","NaN","NaN.0"
"2004 - 02","1129907","5.3","5","-28.6","4.2","4","100.0","NaN","NaN","NaN.0"
"2004 - 03","1132890","10.6","10","100.0","8.5","8","100.0","NaN","NaN","NaN.0"
"2004 - 04","1135873","4.2","4","-60.0","4.2","4","-50.0","NaN","NaN","NaN.0"
"2004 - 05","1138856","9.5","9","125.0","6.3","6","50.0","NaN","NaN","NaN.0"
"2004 - 06","1141839","7.4","7","-22.2","2.1","2","-66.7","NaN","NaN","NaN.0"
"2004 - 07","1144822","9.4","9","28.6","8.4","8","300.0","NaN","NaN","NaN.0"
"2004 - 08","1147733","7.3","7","-22.2","4.2","4","-50.0","NaN","NaN","NaN.0"
"2004 - 09","1150644","8.3","8","14.3","6.3","6","50.0","NaN","NaN","NaN.0"
"2004 - 10","1153555","9.4","9","12.5","2.1","2","-66.7","NaN","NaN","NaN.0"
"2004 - 11","1156465","10.4","10","11.1","5.2","5","150.0","NaN","NaN","NaN.0"
"2004 - 12","1159376","6.2","6","-40.0","2.1","2","-60.0","NaN","NaN","NaN.0"
"2005 - 01","1162287","9.3","9","50.0","5.2","5","150.0","2.1","2","NaN.0"
"2005 - 02","1165198","2.1","2","-77.8","4.1","4","-20.0","1","1","-50.0"
"2005 - 03","1168109","7.2","7","250.0","3.1","3","-25.0","1","1","0.0"
"2005 - 04","1171020","8.2","8","14.3","5.1","5","66.7","0","0","-100.0"
"2005 - 05","1173930","8.2","8","0.0","4.1","4","-20.0","1","1","NaN.0"
"2005 - 06","1176841","7.1","7","-12.5","6.1","6","50.0","4.1","4","300.0"
"2005 - 07","1179752","13.2","13","85.7","3.1","3","-50.0","2","2","-50.0"
"2005 - 08","1182507","10.1","10","-23.1","6.1","6","100.0","1","1","-50.0"
"2005 - 09","1185262","7.1","7","-30.0","3","3","-50.0","2","2","100.0"
"2005 - 10","1188017","6.1","6","-14.3","5.1","5","66.7","3","3","50.0"
"2005 - 11","1190772","16.1","16","166.7","6","6","20.0","4","4","33.3"
"2005 - 12","1193527","8","8","-50.0","6","6","0.0","2","2","-50.0"
"2006 - 01","1196282","9","9","12.5","3","3","-50.0","2","2","0.0"
"2006 - 02","1199036","5","5","-44.4","1","1","-66.7","1","1","-50.0"
"2006 - 03","1201791","20","20","300.0","6","6","500.0","3","3","200.0"
"2006 - 04","1204546","5","5","-75.0","2","2","-66.7","2","2","-33.3"
"2006 - 05","1207301","7","7","40.0","8.9","9","350.0","1","1","-50.0"
"2006 - 06","1210056","6.9","7","0.0","5","5","-44.4","1","1","0.0"
"2006 - 07","1212811","9.9","10","42.9","6.9","7","40.0","2","2","100.0"
"2006 - 08","1215420","10.9","11","10.0","3.9","4","-42.9","1","1","-50.0"
"2006 - 09","1218029","6.9","7","-36.4","4.9","5","25.0","0","0","-100.0"
"2006 - 10","1220638","9.8","10","42.9","7.9","8","60.0","2.9","3","NaN.0"
"2006 - 11","1223247","7.8","8","-20.0","4.9","5","-37.5","4.9","5","66.7"
"2006 - 12","1225856","2.9","3","-62.5","4.9","5","0.0","4.9","5","0.0"
"2007 - 01","1228465","5.9","6","100.0","2","2","-60.0","1","1","-80.0"
"2007 - 02","1231073","3.9","4","-33.3","3.9","4","100.0","3.9","4","300.0"
"2007 - 03","1233682","8.8","9","125.0","1.9","2","-50.0","0","0","-100.0"
"2007 - 04","1236291","6.8","7","-22.2","1.9","2","0.0","1.9","2","NaN.0"
"2007 - 05","1238900","9.7","10","42.9","8.7","9","350.0","1.9","2","0.0"
"2007 - 06","1241509","5.8","6","-40.0","7.7","8","-11.1","1","1","-50.0"
"2007 - 07","1244118","12.5","13","116.7","4.8","5","-37.5","1","1","0.0"
"2007 - 08","1246443","6.7","7","-46.2","5.8","6","20.0","2.9","3","200.0"
"2007 - 09","1248769","2.9","3","-57.1","2.9","3","-50.0","3.8","4","33.3"
"2007 - 10","1251094","6.7","7","133.3","5.8","6","100.0","1.9","2","-50.0"
"2007 - 11","1253419","9.6","10","42.9","4.8","5","-16.7","1.9","2","0.0"
"2007 - 12","1255744","11.5","12","20.0","6.7","7","40.0","1","1","-50.0"
"2008 - 01","1258070","7.6","8","-33.3","3.8","4","-42.9","1","1","0.0"
"2008 - 02","1260395","6.7","7","-12.5","9.5","10","150.0","1.9","2","100.0"
