"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","133451","45","5","n/a","27","3","n/a","NaN","NaN","n/a"
"2003 - 02","133578","27","3","-40.0","27","3","0.0","NaN","NaN","NaN.0"
"2003 - 03","133706","35.9","4","33.3","17.9","2","-33.3","NaN","NaN","NaN.0"
"2003 - 04","133833","35.9","4","0.0","26.9","3","50.0","NaN","NaN","NaN.0"
"2003 - 05","133961","17.9","2","-50.0","17.9","2","-33.3","NaN","NaN","NaN.0"
"2003 - 06","134088","8.9","1","-50.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 07","134216","17.9","2","100.0","8.9","1","NaN.0","NaN","NaN","NaN.0"
"2003 - 08","134323","17.9","2","0.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 09","134429","26.8","3","50.0","17.9","2","NaN.0","NaN","NaN","NaN.0"
"2003 - 10","134536","8.9","1","-66.7","17.8","2","0.0","NaN","NaN","NaN.0"
"2003 - 11","134642","26.7","3","200.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 12","134749","17.8","2","-33.3","8.9","1","NaN.0","NaN","NaN","NaN.0"
"2004 - 01","134855","26.7","3","50.0","26.7","3","200.0","NaN","NaN","NaN.0"
"2004 - 02","134962","35.6","4","33.3","26.7","3","0.0","NaN","NaN","NaN.0"
"2004 - 03","135068","8.9","1","-75.0","17.8","2","-33.3","NaN","NaN","NaN.0"
"2004 - 04","135175","26.6","3","200.0","17.8","2","0.0","NaN","NaN","NaN.0"
"2004 - 05","135281","26.6","3","0.0","17.7","2","0.0","NaN","NaN","NaN.0"
"2004 - 06","135388","70.9","8","166.7","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 07","135494","35.4","4","-50.0","17.7","2","NaN.0","NaN","NaN","NaN.0"
"2004 - 08","135611","44.2","5","25.0","8.8","1","-50.0","NaN","NaN","NaN.0"
"2004 - 09","135728","44.2","5","0.0","35.4","4","300.0","NaN","NaN","NaN.0"
"2004 - 10","135845","35.3","4","-20.0","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 11","135962","44.1","5","25.0","35.3","4","NaN.0","NaN","NaN","NaN.0"
"2004 - 12","136079","35.3","4","-20.0","8.8","1","-75.0","NaN","NaN","NaN.0"
"2005 - 01","136196","8.8","1","-75.0","17.6","2","100.0","17.6","2","NaN.0"
"2005 - 02","136312","35.2","4","300.0","17.6","2","0.0","8.8","1","-50.0"
"2005 - 03","136429","0","0","-100.0","8.8","1","-50.0","17.6","2","100.0"
"2005 - 04","136546","43.9","5","NaN.0","0","0","-100.0","0","0","-100.0"
"2005 - 05","136663","26.3","3","-40.0","17.6","2","NaN.0","0","0","NaN.0"
"2005 - 06","136780","35.1","4","33.3","17.5","2","0.0","0","0","NaN.0"
"2005 - 07","136897","114","13","225.0","35.1","4","100.0","0","0","NaN.0"
"2005 - 08","136952","26.3","3","-76.9","8.8","1","-75.0","8.8","1","NaN.0"
"2005 - 09","137008","17.5","2","-33.3","0","0","-100.0","0","0","-100.0"
"2005 - 10","137063","26.3","3","50.0","0","0","NaN.0","17.5","2","NaN.0"
"2005 - 11","137118","43.8","5","66.7","26.3","3","NaN.0","0","0","-100.0"
"2005 - 12","137173","8.7","1","-80.0","0","0","-100.0","8.7","1","NaN.0"
"2006 - 01","137229","52.5","6","500.0","35","4","NaN.0","0","0","-100.0"
"2006 - 02","137284","17.5","2","-66.7","35","4","0.0","0","0","NaN.0"
"2006 - 03","137339","26.2","3","50.0","8.7","1","-75.0","0","0","NaN.0"
"2006 - 04","137394","26.2","3","0.0","17.5","2","100.0","8.7","1","NaN.0"
"2006 - 05","137450","52.4","6","100.0","8.7","1","-50.0","8.7","1","0.0"
"2006 - 06","137505","43.6","5","-16.7","17.5","2","100.0","8.7","1","0.0"
"2006 - 07","137560","69.8","8","60.0","43.6","5","150.0","8.7","1","0.0"
"2006 - 08","137544","52.3","6","-25.0","17.4","2","-60.0","0","0","-100.0"
"2006 - 09","137527","26.2","3","-50.0","17.5","2","0.0","0","0","NaN.0"
"2006 - 10","137511","8.7","1","-66.7","0","0","-100.0","0","0","NaN.0"
"2006 - 11","137494","8.7","1","0.0","8.7","1","NaN.0","0","0","NaN.0"
"2006 - 12","137478","8.7","1","0.0","0","0","-100.0","8.7","1","NaN.0"
"2007 - 01","137462","26.2","3","200.0","17.5","2","NaN.0","0","0","-100.0"
"2007 - 02","137445","8.7","1","-66.7","0","0","-100.0","0","0","NaN.0"
"2007 - 03","137429","43.7","5","400.0","17.5","2","NaN.0","0","0","NaN.0"
"2007 - 04","137412","26.2","3","-40.0","43.7","5","150.0","8.7","1","NaN.0"
"2007 - 05","137396","61.1","7","133.3","17.5","2","-60.0","26.2","3","200.0"
"2007 - 06","137379","26.2","3","-57.1","17.5","2","0.0","0","0","-100.0"
"2007 - 07","137363","69.9","8","166.7","26.2","3","50.0","17.5","2","NaN.0"
"2007 - 08","137383","43.7","5","-37.5","8.7","1","-66.7","17.5","2","0.0"
"2007 - 09","137404","17.5","2","-60.0","8.7","1","0.0","8.7","1","-50.0"
"2007 - 10","137424","17.5","2","0.0","0","0","-100.0","0","0","-100.0"
"2007 - 11","137444","17.5","2","0.0","8.7","1","NaN.0","0","0","NaN.0"
"2007 - 12","137464","17.5","2","0.0","0","0","-100.0","0","0","NaN.0"
"2008 - 01","137485","43.6","5","150.0","26.2","3","NaN.0","17.5","2","NaN.0"
"2008 - 02","137505","43.6","5","0.0","17.5","2","-33.3","0","0","-100.0"
"2008 - 03","137525","34.9","4","-20.0","0","0","-100.0","17.5","2","NaN.0"
"2008 - 04","137545","61.1","7","75.0","34.9","4","NaN.0","8.7","1","-50.0"
"2008 - 05","137566","26.2","3","-57.1","17.4","2","-50.0","0","0","-100.0"
"2008 - 06","137586","87.2","10","233.3","8.7","1","-50.0","0","0","NaN.0"
"2008 - 07","137606","26.2","3","-70.0","8.7","1","0.0","8.7","1","NaN.0"
"2008 - 08","137599","52.3","6","100.0","43.6","5","400.0","0","0","-100.0"
"2008 - 09","137591","34.9","4","-33.3","17.4","2","-60.0","0","0","NaN.0"
"2008 - 10","137584","8.7","1","-75.0","8.7","1","-50.0","17.4","2","NaN.0"
"2008 - 11","137576","34.9","4","300.0","26.2","3","200.0","17.4","2","0.0"
"2008 - 12","137569","34.9","4","0.0","34.9","4","33.3","0","0","-100.0"
"2009 - 01","137562","43.6","5","25.0","26.2","3","-25.0","0","0","NaN.0"
"2009 - 02","137554","17.4","2","-60.0","0","0","-100.0","0","0","NaN.0"
"2009 - 03","137547","43.6","5","150.0","17.4","2","NaN.0","0","0","NaN.0"
"2009 - 04","137539","61.1","7","40.0","0","0","-100.0","8.7","1","NaN.0"
"2009 - 05","137532","17.5","2","-71.4","0","0","NaN.0","8.7","1","0.0"
"2009 - 06","137524","43.6","5","150.0","43.6","5","NaN.0","0","0","-100.0"
"2009 - 07","137517","43.6","5","0.0","17.5","2","-60.0","0","0","NaN.0"
"2009 - 08","137584","17.4","2","-60.0","0","0","-100.0","17.4","2","NaN.0"
"2009 - 09","137650","34.9","4","100.0","26.2","3","NaN.0","0","0","-100.0"
"2009 - 10","137717","26.1","3","-25.0","8.7","1","-66.7","0","0","NaN.0"
"2009 - 11","137783","26.1","3","0.0","0","0","-100.0","0","0","NaN.0"
"2009 - 12","137850","34.8","4","33.3","26.1","3","NaN.0","8.7","1","NaN.0"
"2010 - 01","137916","34.8","4","0.0","0","0","-100.0","8.7","1","0.0"
"2010 - 02","137983","17.4","2","-50.0","0","0","NaN.0","0","0","-100.0"
"2010 - 03","138049","52.2","6","200.0","8.7","1","NaN.0","8.7","1","NaN.0"
"2010 - 04","138116","34.8","4","-33.3","26.1","3","200.0","0","0","-100.0"
"2010 - 05","138182","34.7","4","0.0","17.4","2","-33.3","8.7","1","NaN.0"
"2010 - 06","138249","26","3","-25.0","8.7","1","-50.0","17.4","2","100.0"
"2010 - 07","138315","26","3","0.0","8.7","1","0.0","8.7","1","-50.0"
"2010 - 08","138330","60.7","7","133.3","26","3","200.0","0","0","-100.0"
"2010 - 09","138345","52","6","-14.3","17.3","2","-33.3","17.3","2","NaN.0"
"2010 - 10","138360","43.4","5","-16.7","34.7","4","100.0","0","0","-100.0"
"2010 - 11","138375","60.7","7","40.0","0","0","-100.0","0","0","NaN.0"
"2010 - 12","138390","43.4","5","-28.6","17.3","2","NaN.0","0","0","NaN.0"
"2011 - 01","138405","60.7","7","40.0","17.3","2","0.0","17.3","2","NaN.0"
"2011 - 02","138419","26","3","-57.1","26","3","50.0","0","0","-100.0"
"2011 - 03","138434","52","6","100.0","17.3","2","-33.3","8.7","1","NaN.0"
"2011 - 04","138449","34.7","4","-33.3","0","0","-100.0","8.7","1","0.0"
"2011 - 05","138464","43.3","5","25.0","26","3","NaN.0","8.7","1","0.0"
"2011 - 06","138479","26","3","-40.0","8.7","1","-66.7","0","0","-100.0"
"2011 - 07","138494","34.7","4","33.3","8.7","1","0.0","8.7","1","NaN.0"
"2011 - 08","138527","34.7","4","0.0","26","3","200.0","0","0","-100.0"
"2011 - 09","138559","52","6","50.0","8.7","1","-66.7","0","0","NaN.0"
"2011 - 10","138592","34.6","4","-33.3","17.3","2","100.0","0","0","NaN.0"
"2011 - 11","138624","26","3","-25.0","0","0","-100.0","8.7","1","NaN.0"
"2011 - 12","138657","34.6","4","33.3","17.3","2","NaN.0","17.3","2","100.0"
"2012 - 01","138689","43.3","5","25.0","8.7","1","-50.0","8.7","1","-50.0"
"2012 - 02","138722","43.3","5","0.0","8.7","1","0.0","0","0","-100.0"
"2012 - 03","138754","51.9","6","20.0","0","0","-100.0","0","0","NaN.0"
"2012 - 04","138787","43.2","5","-16.7","8.6","1","NaN.0","0","0","NaN.0"
"2012 - 05","138819","51.9","6","20.0","17.3","2","100.0","8.6","1","NaN.0"
"2012 - 06","138852","43.2","5","-16.7","17.3","2","0.0","0","0","-100.0"
"2012 - 07","138884","34.6","4","-20.0","8.6","1","-50.0","8.6","1","NaN.0"
"2012 - 08","138937","34.5","4","0.0","8.6","1","0.0","0","0","-100.0"
"2012 - 09","138991","69.1","8","100.0","8.6","1","0.0","0","0","NaN.0"
"2012 - 10","139044","77.7","9","12.5","8.6","1","0.0","0","0","NaN.0"
"2012 - 11","139097","51.8","6","-33.3","34.5","4","300.0","8.6","1","NaN.0"
"2012 - 12","139150","69","8","33.3","25.9","3","-25.0","8.6","1","0.0"
"2013 - 01","139204","25.9","3","-62.5","8.6","1","-66.7","0","0","-100.0"
"2013 - 02","139257","51.7","6","100.0","8.6","1","0.0","8.6","1","NaN.0"
"2013 - 03","139310","43.1","5","-16.7","8.6","1","0.0","8.6","1","0.0"
"2013 - 04","139363","43.1","5","0.0","17.2","2","100.0","17.2","2","100.0"
"2013 - 05","139417","51.6","6","20.0","17.2","2","0.0","0","0","-100.0"
"2013 - 06","139470","51.6","6","0.0","17.2","2","0.0","8.6","1","NaN.0"
"2013 - 07","139523","68.8","8","33.3","8.6","1","-50.0","34.4","4","300.0"
"2013 - 08","139559","43","5","-37.5","25.8","3","200.0","17.2","2","-50.0"
"2013 - 09","139595","25.8","3","-40.0","25.8","3","0.0","8.6","1","-50.0"
"2013 - 10","139631","77.3","9","200.0","17.2","2","-33.3","8.6","1","0.0"
"2013 - 11","139666","43","5","-44.4","25.8","3","50.0","17.2","2","100.0"
"2013 - 12","139702","17.2","2","-60.0","0","0","-100.0","0","0","-100.0"
"2014 - 01","139738","51.5","6","200.0","42.9","5","NaN.0","25.8","3","NaN.0"
"2014 - 02","139774","85.9","10","66.7","34.3","4","-20.0","8.6","1","-66.7"
"2014 - 03","139810","34.3","4","-60.0","34.3","4","0.0","0","0","-100.0"
"2014 - 04","139846","34.3","4","0.0","8.6","1","-75.0","8.6","1","NaN.0"
"2014 - 05","139881","42.9","5","25.0","17.2","2","100.0","0","0","-100.0"
"2014 - 06","139917","51.5","6","20.0","17.2","2","0.0","0","0","NaN.0"
"2014 - 07","139953","34.3","4","-33.3","8.6","1","-50.0","34.3","4","NaN.0"
"2014 - 08","140001","25.7","3","-25.0","8.6","1","0.0","8.6","1","-75.0"
"2014 - 09","140050","34.3","4","33.3","17.1","2","100.0","17.1","2","100.0"
"2014 - 10","140098","51.4","6","50.0","17.1","2","0.0","0","0","-100.0"
"2014 - 11","140146","34.2","4","-33.3","25.7","3","50.0","8.6","1","NaN.0"
"2014 - 12","140194","34.2","4","0.0","25.7","3","0.0","0","0","-100.0"
"2015 - 01","140243","34.2","4","0.0","8.6","1","-66.7","8.6","1","NaN.0"
"2015 - 02","140291","25.7","3","-25.0","0","0","-100.0","0","0","-100.0"
"2015 - 03","140339","59.9","7","133.3","8.6","1","NaN.0","17.1","2","NaN.0"
"2015 - 04","140387","8.5","1","-85.7","8.5","1","0.0","8.5","1","-50.0"
"2015 - 05","140436","76.9","9","800.0","25.6","3","200.0","8.5","1","0.0"
"2015 - 06","140484","59.8","7","-22.2","17.1","2","-33.3","0","0","-100.0"
"2015 - 07","140532","85.4","10","42.9","17.1","2","0.0","0","0","NaN.0"
"2015 - 08","140601","51.2","6","-40.0","17.1","2","0.0","0","0","NaN.0"
"2015 - 09","140670","51.2","6","0.0","8.5","1","-50.0","17.1","2","NaN.0"
"2015 - 10","140738","51.2","6","0.0","17.1","2","100.0","17.1","2","0.0"
"2015 - 11","140807","34.1","4","-33.3","17","2","0.0","17","2","0.0"
"2015 - 12","140876","68.1","8","100.0","17","2","0.0","0","0","-100.0"
"2016 - 01","140945","68.1","8","0.0","0","0","-100.0","0","0","NaN.0"
"2016 - 02","141013","68.1","8","0.0","25.5","3","NaN.0","0","0","NaN.0"
"2016 - 03","141082","93.6","11","37.5","34","4","33.3","17","2","NaN.0"
