"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","91230","13.2","1","n/a","13.2","1","n/a","NaN","NaN","n/a"
"2003 - 02","91170","13.2","1","0.0","39.5","3","200.0","NaN","NaN","NaN.0"
"2003 - 03","91110","13.2","1","0.0","13.2","1","-66.7","NaN","NaN","NaN.0"
"2003 - 04","91050","39.5","3","200.0","13.2","1","0.0","NaN","NaN","NaN.0"
"2003 - 05","90991","0","0","-100.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 06","90931","13.2","1","NaN.0","0","0","NaN.0","NaN","NaN","NaN.0"
"2003 - 07","90871","13.2","1","0.0","0","0","NaN.0","NaN","NaN","NaN.0"
"2003 - 08","90850","26.4","2","100.0","26.4","2","NaN.0","NaN","NaN","NaN.0"
"2003 - 09","90829","0","0","-100.0","13.2","1","-50.0","NaN","NaN","NaN.0"
"2003 - 10","90808","26.4","2","NaN.0","13.2","1","0.0","NaN","NaN","NaN.0"
"2003 - 11","90787","26.4","2","0.0","13.2","1","0.0","NaN","NaN","NaN.0"
"2003 - 12","90766","26.4","2","0.0","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 01","90745","52.9","4","100.0","26.4","2","NaN.0","NaN","NaN","NaN.0"
"2004 - 02","90724","26.5","2","-50.0","39.7","3","50.0","NaN","NaN","NaN.0"
"2004 - 03","90703","26.5","2","0.0","26.5","2","-33.3","NaN","NaN","NaN.0"
"2004 - 04","90682","13.2","1","-50.0","26.5","2","0.0","NaN","NaN","NaN.0"
"2004 - 05","90661","13.2","1","0.0","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 06","90640","0","0","-100.0","0","0","NaN.0","NaN","NaN","NaN.0"
"2004 - 07","90619","0","0","NaN.0","26.5","2","NaN.0","NaN","NaN","NaN.0"
"2004 - 08","90601","13.2","1","NaN.0","39.7","3","50.0","NaN","NaN","NaN.0"
"2004 - 09","90582","39.7","3","200.0","26.5","2","-33.3","NaN","NaN","NaN.0"
"2004 - 10","90564","132.5","10","233.3","39.8","3","50.0","NaN","NaN","NaN.0"
"2004 - 11","90546","53","4","-60.0","13.3","1","-66.7","NaN","NaN","NaN.0"
