"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","197598","12.1","2","n/a","6.1","1","n/a","NaN","NaN","n/a"
"2003 - 02","197613","30.4","5","150.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 03","197628","6.1","1","-80.0","6.1","1","NaN.0","NaN","NaN","NaN.0"
"2003 - 04","197643","30.4","5","400.0","24.3","4","300.0","NaN","NaN","NaN.0"
"2003 - 05","197658","12.1","2","-60.0","24.3","4","0.0","NaN","NaN","NaN.0"
"2003 - 06","197673","6.1","1","-50.0","18.2","3","-25.0","NaN","NaN","NaN.0"
"2003 - 07","197688","24.3","4","300.0","24.3","4","33.3","NaN","NaN","NaN.0"
"2003 - 08","197708","18.2","3","-25.0","36.4","6","50.0","NaN","NaN","NaN.0"
"2003 - 09","197727","30.3","5","66.7","30.3","5","-16.7","NaN","NaN","NaN.0"
"2003 - 10","197747","24.3","4","-20.0","18.2","3","-40.0","NaN","NaN","NaN.0"
"2003 - 11","197767","42.5","7","75.0","18.2","3","0.0","NaN","NaN","NaN.0"
"2003 - 12","197786","48.5","8","14.3","18.2","3","0.0","NaN","NaN","NaN.0"
"2004 - 01","197806","30.3","5","-37.5","18.2","3","0.0","NaN","NaN","NaN.0"
"2004 - 02","197826","24.3","4","-20.0","12.1","2","-33.3","NaN","NaN","NaN.0"
"2004 - 03","197845","18.2","3","-25.0","36.4","6","200.0","NaN","NaN","NaN.0"
"2004 - 04","197865","42.5","7","133.3","18.2","3","-50.0","NaN","NaN","NaN.0"
"2004 - 05","197885","18.2","3","-57.1","6.1","1","-66.7","NaN","NaN","NaN.0"
"2004 - 06","197904","24.3","4","33.3","18.2","3","200.0","NaN","NaN","NaN.0"
"2004 - 07","197924","30.3","5","25.0","18.2","3","0.0","NaN","NaN","NaN.0"
"2004 - 08","197951","6.1","1","-80.0","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 09","197977","24.2","4","300.0","18.2","3","NaN.0","NaN","NaN","NaN.0"
"2004 - 10","198004","36.4","6","50.0","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 11","198031","30.3","5","-16.7","30.3","5","NaN.0","NaN","NaN","NaN.0"
"2004 - 12","198057","24.2","4","-20.0","0","0","-100.0","NaN","NaN","NaN.0"
"2005 - 01","198084","36.3","6","50.0","48.5","8","NaN.0","12.1","2","NaN.0"
"2005 - 02","198111","18.2","3","-50.0","24.2","4","-50.0","6.1","1","-50.0"
"2005 - 03","198137","12.1","2","-33.3","6.1","1","-75.0","0","0","-100.0"
"2005 - 04","198164","12.1","2","0.0","12.1","2","100.0","6.1","1","NaN.0"
"2005 - 05","198191","18.2","3","50.0","12.1","2","0.0","6.1","1","0.0"
"2005 - 06","198217","42.4","7","133.3","24.2","4","100.0","0","0","-100.0"
"2005 - 07","198244","54.5","9","28.6","18.2","3","-25.0","0","0","NaN.0"
"2005 - 08","198339","18.2","3","-66.7","6.1","1","-66.7","24.2","4","NaN.0"
"2005 - 09","198434","12.1","2","-33.3","18.1","3","200.0","0","0","-100.0"
"2005 - 10","198529","12.1","2","0.0","24.2","4","33.3","6","1","NaN.0"
"2005 - 11","198623","18.1","3","50.0","12.1","2","-50.0","6","1","0.0"
"2005 - 12","198718","24.2","4","33.3","12.1","2","0.0","12.1","2","100.0"
"2006 - 01","198813","12.1","2","-50.0","12.1","2","0.0","0","0","-100.0"
"2006 - 02","198908","18.1","3","50.0","12.1","2","0.0","12.1","2","NaN.0"
"2006 - 03","199003","24.1","4","33.3","12.1","2","0.0","6","1","-50.0"
"2006 - 04","199098","18.1","3","-25.0","24.1","4","100.0","6","1","0.0"
