"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","469343","10.2","4","n/a","7.7","3","n/a","NaN","NaN","n/a"
"2003 - 02","469957","12.8","5","25.0","5.1","2","-33.3","NaN","NaN","NaN.0"
"2003 - 03","470572","33.2","13","160.0","20.4","8","300.0","NaN","NaN","NaN.0"
"2003 - 04","471187","5.1","2","-84.6","2.5","1","-87.5","NaN","NaN","NaN.0"
"2003 - 05","471802","22.9","9","350.0","28","11","1000.0","NaN","NaN","NaN.0"
"2003 - 06","472417","25.4","10","11.1","5.1","2","-81.8","NaN","NaN","NaN.0"
"2003 - 07","473032","17.8","7","-30.0","22.8","9","350.0","NaN","NaN","NaN.0"
"2003 - 08","473818","20.3","8","14.3","15.2","6","-33.3","NaN","NaN","NaN.0"
"2003 - 09","474603","12.6","5","-37.5","12.6","5","-16.7","NaN","NaN","NaN.0"
"2003 - 10","475389","7.6","3","-40.0","17.7","7","40.0","NaN","NaN","NaN.0"
"2003 - 11","476175","12.6","5","66.7","5","2","-71.4","NaN","NaN","NaN.0"
"2003 - 12","476960","12.6","5","0.0","12.6","5","150.0","NaN","NaN","NaN.0"
"2004 - 01","477746","20.1","8","60.0","10","4","-20.0","NaN","NaN","NaN.0"
"2004 - 02","478532","15","6","-25.0","7.5","3","-25.0","NaN","NaN","NaN.0"
"2004 - 03","479317","22.5","9","50.0","35","14","366.7","NaN","NaN","NaN.0"
"2004 - 04","480103","7.5","3","-66.7","12.5","5","-64.3","NaN","NaN","NaN.0"
"2004 - 05","480889","17.5","7","133.3","7.5","3","-40.0","NaN","NaN","NaN.0"
"2004 - 06","481674","22.4","9","28.6","17.4","7","133.3","NaN","NaN","NaN.0"
"2004 - 07","482460","12.4","5","-44.4","14.9","6","-14.3","NaN","NaN","NaN.0"
"2004 - 08","483167","12.4","5","0.0","12.4","5","-16.7","NaN","NaN","NaN.0"
"2004 - 09","483873","27.3","11","120.0","19.8","8","60.0","NaN","NaN","NaN.0"
"2004 - 10","484580","17.3","7","-36.4","12.4","5","-37.5","NaN","NaN","NaN.0"
"2004 - 11","485286","24.7","10","42.9","27.2","11","120.0","NaN","NaN","NaN.0"
"2004 - 12","485993","9.9","4","-60.0","9.9","4","-63.6","NaN","NaN","NaN.0"
"2005 - 01","486700","12.3","5","25.0","9.9","4","0.0","2.5","1","NaN.0"
"2005 - 02","487406","14.8","6","20.0","12.3","5","25.0","7.4","3","200.0"
"2005 - 03","488113","22.1","9","50.0","12.3","5","0.0","0","0","-100.0"
"2005 - 04","488819","12.3","5","-44.4","12.3","5","0.0","7.4","3","NaN.0"
"2005 - 05","489526","31.9","13","160.0","14.7","6","20.0","0","0","-100.0"
"2005 - 06","490232","14.7","6","-53.8","9.8","4","-33.3","7.3","3","NaN.0"
"2005 - 07","490939","9.8","4","-33.3","9.8","4","0.0","2.4","1","-66.7"
"2005 - 08","491570","29.3","12","200.0","19.5","8","100.0","9.8","4","300.0"
"2005 - 09","492201","7.3","3","-75.0","7.3","3","-62.5","0","0","-100.0"
"2005 - 10","492832","9.7","4","33.3","7.3","3","0.0","0","0","NaN.0"
"2005 - 11","493463","12.2","5","25.0","12.2","5","66.7","0","0","NaN.0"
"2005 - 12","494094","26.7","11","120.0","9.7","4","-20.0","4.9","2","NaN.0"
"2006 - 01","494725","14.6","6","-45.5","12.1","5","25.0","0","0","-100.0"
"2006 - 02","495356","26.6","11","83.3","14.5","6","20.0","4.8","2","NaN.0"
"2006 - 03","495987","36.3","15","36.4","26.6","11","83.3","2.4","1","-50.0"
"2006 - 04","496618","9.7","4","-73.3","12.1","5","-54.5","0","0","-100.0"
"2006 - 05","497249","16.9","7","75.0","16.9","7","40.0","0","0","NaN.0"
"2006 - 06","497880","21.7","9","28.6","12.1","5","-28.6","4.8","2","NaN.0"
"2006 - 07","498511","9.6","4","-55.6","7.2","3","-40.0","2.4","1","-50.0"
"2006 - 08","498875","12","5","25.0","4.8","2","-33.3","12","5","400.0"
"2006 - 09","499239","19.2","8","60.0","24","10","400.0","0","0","-100.0"
"2006 - 10","499602","26.4","11","37.5","12","5","-50.0","0","0","NaN.0"
"2006 - 11","499966","21.6","9","-18.2","14.4","6","20.0","2.4","1","NaN.0"
"2006 - 12","500330","16.8","7","-22.2","4.8","2","-66.7","2.4","1","0.0"
"2007 - 01","500694","7.2","3","-57.1","7.2","3","50.0","4.8","2","100.0"
"2007 - 02","501057","9.6","4","33.3","2.4","1","-66.7","0","0","-100.0"
"2007 - 03","501421","16.8","7","75.0","7.2","3","200.0","0","0","NaN.0"
"2007 - 04","501785","28.7","12","71.4","14.3","6","100.0","0","0","NaN.0"
"2007 - 05","502149","19.1","8","-33.3","19.1","8","33.3","2.4","1","NaN.0"
"2007 - 06","502512","28.7","12","50.0","11.9","5","-37.5","2.4","1","0.0"
"2007 - 07","502876","33.4","14","16.7","9.5","4","-20.0","4.8","2","100.0"
"2007 - 08","503330","28.6","12","-14.3","9.5","4","0.0","0","0","-100.0"
"2007 - 09","503784","31","13","8.3","16.7","7","75.0","7.1","3","NaN.0"
"2007 - 10","504238","14.3","6","-53.8","4.8","2","-71.4","2.4","1","-66.7"
"2007 - 11","504692","23.8","10","66.7","7.1","3","50.0","4.8","2","100.0"
"2007 - 12","505146","23.8","10","0.0","14.3","6","100.0","2.4","1","-50.0"
"2008 - 01","505601","30.9","13","30.0","21.4","9","50.0","4.7","2","100.0"
"2008 - 02","506055","28.5","12","-7.7","7.1","3","-66.7","2.4","1","-50.0"
"2008 - 03","506509","11.8","5","-58.3","4.7","2","-33.3","0","0","-100.0"
"2008 - 04","506963","18.9","8","60.0","9.5","4","100.0","2.4","1","NaN.0"
"2008 - 05","507417","23.6","10","25.0","9.5","4","0.0","4.7","2","100.0"
"2008 - 06","507871","21.3","9","-10.0","14.2","6","50.0","2.4","1","-50.0"
"2008 - 07","508325","23.6","10","11.1","26","11","83.3","0","0","-100.0"
"2008 - 08","508668","16.5","7","-30.0","4.7","2","-81.8","7.1","3","NaN.0"
"2008 - 09","509011","28.3","12","71.4","9.4","4","100.0","2.4","1","-66.7"
"2008 - 10","509353","18.8","8","-33.3","7.1","3","-25.0","2.4","1","0.0"
"2008 - 11","509696","35.3","15","87.5","16.5","7","133.3","0","0","-100.0"
"2008 - 12","510039","25.9","11","-26.7","9.4","4","-42.9","2.4","1","NaN.0"
"2009 - 01","510382","7.1","3","-72.7","7.1","3","-25.0","0","0","-100.0"
"2009 - 02","510724","30.5","13","333.3","16.4","7","133.3","0","0","NaN.0"
"2009 - 03","511067","23.5","10","-23.1","14.1","6","-14.3","0","0","NaN.0"
"2009 - 04","511410","16.4","7","-30.0","4.7","2","-66.7","4.7","2","NaN.0"
"2009 - 05","511753","25.8","11","57.1","4.7","2","0.0","2.3","1","-50.0"
"2009 - 06","512095","11.7","5","-54.5","7","3","50.0","2.3","1","0.0"
"2009 - 07","512438","23.4","10","100.0","11.7","5","66.7","0","0","-100.0"
"2009 - 08","512878","28.1","12","20.0","9.4","4","-20.0","4.7","2","NaN.0"
"2009 - 09","513318","14","6","-50.0","9.4","4","0.0","2.3","1","-50.0"
"2009 - 10","513759","28","12","100.0","11.7","5","25.0","4.7","2","100.0"
"2009 - 11","514199","25.7","11","-8.3","7","3","-40.0","2.3","1","-50.0"
"2009 - 12","514639","32.6","14","27.3","16.3","7","133.3","2.3","1","0.0"
"2010 - 01","515079","25.6","11","-21.4","7","3","-57.1","4.7","2","100.0"
"2010 - 02","515519","7","3","-72.7","4.7","2","-33.3","7","3","50.0"
"2010 - 03","515959","30.2","13","333.3","14","6","200.0","2.3","1","-66.7"
"2010 - 04","516400","25.6","11","-15.4","7","3","-50.0","0","0","-100.0"
"2010 - 05","516840","27.9","12","9.1","16.3","7","133.3","4.6","2","NaN.0"
"2010 - 06","517280","23.2","10","-16.7","4.6","2","-71.4","4.6","2","0.0"
