"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","100888","59.5","5","n/a","0","0","n/a","NaN","NaN","n/a"
"2003 - 02","100943","23.8","2","-60.0","0","0","NaN.0","NaN","NaN","NaN.0"
"2003 - 03","100999","11.9","1","-50.0","0","0","NaN.0","NaN","NaN","NaN.0"
"2003 - 04","101054","0","0","-100.0","23.7","2","NaN.0","NaN","NaN","NaN.0"
"2003 - 05","101109","23.7","2","NaN.0","23.7","2","0.0","NaN","NaN","NaN.0"
"2003 - 06","101165","47.4","4","100.0","23.7","2","0.0","NaN","NaN","NaN.0"
"2003 - 07","101220","23.7","2","-50.0","47.4","4","100.0","NaN","NaN","NaN.0"
"2003 - 08","101270","47.4","4","100.0","11.8","1","-75.0","NaN","NaN","NaN.0"
"2003 - 09","101320","23.7","2","-50.0","11.8","1","0.0","NaN","NaN","NaN.0"
"2003 - 10","101370","59.2","5","150.0","23.7","2","100.0","NaN","NaN","NaN.0"
"2003 - 11","101419","35.5","3","-40.0","11.8","1","-50.0","NaN","NaN","NaN.0"
"2003 - 12","101469","11.8","1","-66.7","23.7","2","100.0","NaN","NaN","NaN.0"
"2004 - 01","101519","23.6","2","100.0","47.3","4","100.0","NaN","NaN","NaN.0"
"2004 - 02","101569","35.4","3","50.0","23.6","2","-50.0","NaN","NaN","NaN.0"
"2004 - 03","101619","35.4","3","0.0","23.6","2","0.0","NaN","NaN","NaN.0"
"2004 - 04","101669","23.6","2","-33.3","11.8","1","-50.0","NaN","NaN","NaN.0"
"2004 - 05","101718","47.2","4","100.0","23.6","2","100.0","NaN","NaN","NaN.0"
"2004 - 06","101768","23.6","2","-50.0","11.8","1","-50.0","NaN","NaN","NaN.0"
"2004 - 07","101818","11.8","1","-50.0","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 08","101830","11.8","1","0.0","23.6","2","NaN.0","NaN","NaN","NaN.0"
"2004 - 09","101841","23.6","2","100.0","23.6","2","0.0","NaN","NaN","NaN.0"
"2004 - 10","101853","70.7","6","200.0","11.8","1","-50.0","NaN","NaN","NaN.0"
"2004 - 11","101865","35.3","3","-50.0","35.3","3","200.0","NaN","NaN","NaN.0"
"2004 - 12","101876","70.7","6","100.0","23.6","2","-33.3","NaN","NaN","NaN.0"
"2005 - 01","101888","35.3","3","-50.0","0","0","-100.0","0","0","NaN.0"
"2005 - 02","101900","23.6","2","-33.3","0","0","NaN.0","0","0","NaN.0"
"2005 - 03","101911","35.3","3","50.0","23.5","2","NaN.0","0","0","NaN.0"
"2005 - 04","101923","58.9","5","66.7","47.1","4","100.0","0","0","NaN.0"
"2005 - 05","101935","23.5","2","-60.0","23.5","2","-50.0","0","0","NaN.0"
"2005 - 06","101946","23.5","2","0.0","23.5","2","0.0","0","0","NaN.0"
"2005 - 07","101958","70.6","6","200.0","70.6","6","200.0","35.3","3","NaN.0"
"2005 - 08","101998","23.5","2","-66.7","11.8","1","-83.3","0","0","-100.0"
"2005 - 09","102038","58.8","5","150.0","58.8","5","400.0","11.8","1","NaN.0"
"2005 - 10","102078","11.8","1","-80.0","11.8","1","-80.0","23.5","2","100.0"
"2005 - 11","102118","35.3","3","200.0","58.8","5","400.0","11.8","1","-50.0"
"2005 - 12","102158","23.5","2","-33.3","11.7","1","-80.0","23.5","2","100.0"
"2006 - 01","102198","23.5","2","0.0","35.2","3","200.0","0","0","-100.0"
"2006 - 02","102238","11.7","1","-50.0","11.7","1","-66.7","0","0","NaN.0"
"2006 - 03","102278","23.5","2","100.0","0","0","-100.0","0","0","NaN.0"
"2006 - 04","102318","23.5","2","0.0","23.5","2","NaN.0","0","0","NaN.0"
"2006 - 05","102358","11.7","1","-50.0","46.9","4","100.0","0","0","NaN.0"
"2006 - 06","102398","11.7","1","0.0","0","0","-100.0","0","0","NaN.0"
"2006 - 07","102438","23.4","2","100.0","23.4","2","NaN.0","11.7","1","NaN.0"
"2006 - 08","102504","11.7","1","-50.0","23.4","2","0.0","11.7","1","0.0"
"2006 - 09","102570","11.7","1","0.0","11.7","1","-50.0","0","0","-100.0"
"2006 - 10","102637","23.4","2","100.0","23.4","2","100.0","0","0","NaN.0"
"2006 - 11","102703","23.4","2","0.0","0","0","-100.0","0","0","NaN.0"
