"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","465813","10.3","4","n/a","10.3","4","n/a","NaN","NaN","n/a"
"2003 - 02","466786","7.7","3","-25.0","5.1","2","-50.0","NaN","NaN","NaN.0"
"2003 - 03","467759","12.8","5","66.7","2.6","1","-50.0","NaN","NaN","NaN.0"
"2003 - 04","468732","10.2","4","-20.0","7.7","3","200.0","NaN","NaN","NaN.0"
"2003 - 05","469705","23","9","125.0","15.3","6","100.0","NaN","NaN","NaN.0"
"2003 - 06","470678","17.8","7","-22.2","22.9","9","50.0","NaN","NaN","NaN.0"
"2003 - 07","471651","15.3","6","-14.3","12.7","5","-44.4","NaN","NaN","NaN.0"
"2003 - 08","472492","30.5","12","100.0","22.9","9","80.0","NaN","NaN","NaN.0"
"2003 - 09","473333","17.7","7","-41.7","20.3","8","-11.1","NaN","NaN","NaN.0"
"2003 - 10","474174","20.2","8","14.3","17.7","7","-12.5","NaN","NaN","NaN.0"
"2003 - 11","475015","17.7","7","-12.5","15.2","6","-14.3","NaN","NaN","NaN.0"
"2003 - 12","475856","17.7","7","0.0","12.6","5","-16.7","NaN","NaN","NaN.0"
"2004 - 01","476697","25.2","10","42.9","20.1","8","60.0","NaN","NaN","NaN.0"
"2004 - 02","477538","17.6","7","-30.0","5","2","-75.0","NaN","NaN","NaN.0"
"2004 - 03","478379","30.1","12","71.4","20.1","8","300.0","NaN","NaN","NaN.0"
"2004 - 04","479220","22.5","9","-25.0","22.5","9","12.5","NaN","NaN","NaN.0"
"2004 - 05","480061","10","4","-55.6","17.5","7","-22.2","NaN","NaN","NaN.0"
"2004 - 06","480902","17.5","7","75.0","12.5","5","-28.6","NaN","NaN","NaN.0"
"2004 - 07","481743","10","4","-42.9","10","4","-20.0","NaN","NaN","NaN.0"
"2004 - 08","482518","12.4","5","25.0","17.4","7","75.0","NaN","NaN","NaN.0"
"2004 - 09","483293","32.3","13","160.0","17.4","7","0.0","NaN","NaN","NaN.0"
"2004 - 10","484068","32.2","13","0.0","17.4","7","0.0","NaN","NaN","NaN.0"
"2004 - 11","484842","17.3","7","-46.2","5","2","-71.4","NaN","NaN","NaN.0"
"2004 - 12","485617","29.7","12","71.4","29.7","12","500.0","NaN","NaN","NaN.0"
"2005 - 01","486392","17.3","7","-41.7","9.9","4","-66.7","2.5","1","NaN.0"
"2005 - 02","487167","24.6","10","42.9","4.9","2","-50.0","7.4","3","200.0"
"2005 - 03","487942","17.2","7","-30.0","24.6","10","400.0","4.9","2","-33.3"
"2005 - 04","488717","24.6","10","42.9","31.9","13","30.0","2.5","1","-50.0"
"2005 - 05","489491","17.2","7","-30.0","17.2","7","-46.2","4.9","2","100.0"
"2005 - 06","490266","19.6","8","14.3","12.2","5","-28.6","2.4","1","-50.0"
"2005 - 07","491041","39.1","16","100.0","29.3","12","140.0","2.4","1","0.0"
"2005 - 08","491619","22","9","-43.7","14.6","6","-50.0","0","0","-100.0"
"2005 - 09","492197","24.4","10","11.1","9.8","4","-33.3","0","0","NaN.0"
"2005 - 10","492774","21.9","9","-10.0","21.9","9","125.0","0","0","NaN.0"
"2005 - 11","493352","26.8","11","22.2","29.2","12","33.3","4.9","2","NaN.0"
"2005 - 12","493930","17","7","-36.4","17","7","-41.7","4.9","2","0.0"
"2006 - 01","494508","29.1","12","71.4","31.5","13","85.7","12.1","5","150.0"
"2006 - 02","495085","14.5","6","-50.0","24.2","10","-23.1","0","0","-100.0"
"2006 - 03","495663","31.5","13","116.7","26.6","11","10.0","7.3","3","NaN.0"
"2006 - 04","496241","16.9","7","-46.2","21.8","9","-18.2","2.4","1","-66.7"
"2006 - 05","496819","29","12","71.4","14.5","6","-33.3","7.2","3","200.0"
"2006 - 06","497396","29","12","0.0","16.9","7","16.7","4.8","2","-33.3"
"2006 - 07","497974","24.1","10","-16.7","33.7","14","100.0","4.8","2","0.0"
"2006 - 08","498290","19.3","8","-20.0","9.6","4","-71.4","2.4","1","-50.0"
"2006 - 09","498606","24.1","10","25.0","16.8","7","75.0","2.4","1","0.0"
"2006 - 10","498921","24.1","10","0.0","19.2","8","14.3","2.4","1","0.0"
"2006 - 11","499237","26.4","11","10.0","9.6","4","-50.0","4.8","2","100.0"
"2006 - 12","499553","26.4","11","0.0","14.4","6","50.0","7.2","3","50.0"
"2007 - 01","499869","28.8","12","9.1","9.6","4","-33.3","0","0","-100.0"
"2007 - 02","500184","16.8","7","-41.7","26.4","11","175.0","4.8","2","NaN.0"
"2007 - 03","500500","31.2","13","85.7","12","5","-54.5","4.8","2","0.0"
"2007 - 04","500816","19.2","8","-38.5","12","5","0.0","4.8","2","0.0"
"2007 - 05","501132","28.7","12","50.0","19.2","8","60.0","4.8","2","0.0"
"2007 - 06","501447","26.3","11","-8.3","21.5","9","12.5","0","0","-100.0"
"2007 - 07","501763","12","5","-54.5","12","5","-44.4","2.4","1","NaN.0"
"2007 - 08","502138","21.5","9","80.0","9.6","4","-20.0","2.4","1","0.0"
"2007 - 09","502513","14.3","6","-33.3","11.9","5","25.0","2.4","1","0.0"
"2007 - 10","502888","23.9","10","66.7","23.9","10","100.0","2.4","1","0.0"
"2007 - 11","503263","28.6","12","20.0","16.7","7","-30.0","9.5","4","300.0"
"2007 - 12","503638","28.6","12","0.0","19.1","8","14.3","0","0","-100.0"
"2008 - 01","504013","31","13","8.3","19","8","0.0","7.1","3","NaN.0"
"2008 - 02","504387","16.7","7","-46.2","14.3","6","-25.0","2.4","1","-66.7"
"2008 - 03","504762","19","8","14.3","16.6","7","16.7","2.4","1","0.0"
"2008 - 04","505137","14.3","6","-25.0","16.6","7","0.0","7.1","3","200.0"
"2008 - 05","505512","30.9","13","116.7","7.1","3","-57.1","7.1","3","0.0"
"2008 - 06","505887","26.1","11","-15.4","21.3","9","200.0","0","0","-100.0"
"2008 - 07","506262","30.8","13","18.2","21.3","9","0.0","2.4","1","NaN.0"
"2008 - 08","506577","33.2","14","7.7","21.3","9","0.0","4.7","2","100.0"
"2008 - 09","506891","18.9","8","-42.9","18.9","8","-11.1","4.7","2","0.0"
"2008 - 10","507206","23.7","10","25.0","9.5","4","-50.0","0","0","-100.0"
"2008 - 11","507520","16.6","7","-30.0","16.6","7","75.0","2.4","1","NaN.0"
"2008 - 12","507835","26","11","57.1","21.3","9","28.6","4.7","2","100.0"
"2009 - 01","508150","35.4","15","36.4","14.2","6","-33.3","7.1","3","50.0"
"2009 - 02","508464","18.9","8","-46.7","11.8","5","-16.7","4.7","2","-33.3"
"2009 - 03","508779","23.6","10","25.0","11.8","5","0.0","4.7","2","0.0"
"2009 - 04","509093","25.9","11","10.0","18.9","8","60.0","9.4","4","100.0"
"2009 - 05","509408","35.3","15","36.4","18.8","8","0.0","0","0","-100.0"
"2009 - 06","509722","42.4","18","20.0","18.8","8","0.0","4.7","2","NaN.0"
"2009 - 07","510037","30.6","13","-27.8","23.5","10","25.0","7.1","3","50.0"
"2009 - 08","510454","23.5","10","-23.1","9.4","4","-60.0","2.4","1","-66.7"
"2009 - 09","510870","23.5","10","0.0","9.4","4","0.0","2.3","1","0.0"
"2009 - 10","511287","28.2","12","20.0","14.1","6","50.0","7","3","200.0"
"2009 - 11","511703","35.2","15","25.0","16.4","7","16.7","9.4","4","33.3"
"2009 - 12","512120","23.4","10","-33.3","30.5","13","85.7","7","3","-25.0"
"2010 - 01","512537","35.1","15","50.0","11.7","5","-61.5","2.3","1","-66.7"
"2010 - 02","512953","42.1","18","20.0","30.4","13","160.0","7","3","200.0"
"2010 - 03","513370","39.7","17","-5.6","18.7","8","-38.5","2.3","1","-66.7"
"2010 - 04","513786","42","18","5.9","25.7","11","37.5","4.7","2","100.0"
"2010 - 05","514203","42","18","0.0","21","9","-18.2","7","3","50.0"
"2010 - 06","514619","35","15","-16.7","18.7","8","-11.1","4.7","2","-33.3"
"2010 - 07","515036","30.3","13","-13.3","16.3","7","-12.5","9.3","4","100.0"
"2010 - 08","515452","34.9","15","15.4","14","6","-14.3","0","0","-100.0"
"2010 - 09","515868","39.5","17","13.3","14","6","0.0","7","3","NaN.0"
"2010 - 10","516283","30.2","13","-23.5","11.6","5","-16.7","7","3","0.0"
"2010 - 11","516699","30.2","13","0.0","27.9","12","140.0","4.6","2","-33.3"
"2010 - 12","517115","37.1","16","23.1","23.2","10","-16.7","7","3","50.0"
"2011 - 01","517531","34.8","15","-6.2","23.2","10","0.0","7","3","0.0"
"2011 - 02","517946","32.4","14","-6.7","20.9","9","-10.0","9.3","4","33.3"
"2011 - 03","518362","23.1","10","-28.6","23.1","10","11.1","6.9","3","-25.0"
"2011 - 04","518778","41.6","18","80.0","25.4","11","10.0","4.6","2","-33.3"
"2011 - 05","519194","32.4","14","-22.2","20.8","9","-18.2","6.9","3","50.0"
"2011 - 06","519609","30","13","-7.1","27.7","12","33.3","2.3","1","-66.7"
"2011 - 07","520025","32.3","14","7.7","13.8","6","-50.0","4.6","2","100.0"
"2011 - 08","520650","43.8","19","35.7","13.8","6","0.0","0","0","-100.0"
"2011 - 09","521274","46","20","5.3","16.1","7","16.7","13.8","6","NaN.0"
"2011 - 10","521899","34.5","15","-25.0","20.7","9","28.6","4.6","2","-66.7"
"2011 - 11","522523","25.3","11","-26.7","25.3","11","22.2","4.6","2","0.0"
"2011 - 12","523148","32.1","14","27.3","18.4","8","-27.3","4.6","2","0.0"
"2012 - 01","523772","38.9","17","21.4","29.8","13","62.5","0","0","-100.0"
"2012 - 02","524397","34.3","15","-11.8","25.2","11","-15.4","4.6","2","NaN.0"
"2012 - 03","525021","20.6","9","-40.0","6.9","3","-72.7","2.3","1","-50.0"
"2012 - 04","525646","52.5","23","155.6","27.4","12","300.0","6.8","3","200.0"
"2012 - 05","526270","31.9","14","-39.1","25.1","11","-8.3","4.6","2","-33.3"
"2012 - 06","526895","27.3","12","-14.3","18.2","8","-27.3","13.7","6","200.0"
"2012 - 07","527519","22.7","10","-16.7","22.7","10","25.0","6.8","3","-50.0"
