"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","189533","6.3","1","n/a","6.3","1","n/a","NaN","NaN","n/a"
"2003 - 02","189647","19","3","200.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 03","189761","25.3","4","33.3","0","0","NaN.0","NaN","NaN","NaN.0"
"2003 - 04","189875","25.3","4","0.0","25.3","4","NaN.0","NaN","NaN","NaN.0"
"2003 - 05","189989","31.6","5","25.0","12.6","2","-50.0","NaN","NaN","NaN.0"
"2003 - 06","190103","18.9","3","-40.0","18.9","3","50.0","NaN","NaN","NaN.0"
"2003 - 07","190217","25.2","4","33.3","6.3","1","-66.7","NaN","NaN","NaN.0"
"2003 - 08","190349","31.5","5","25.0","12.6","2","100.0","NaN","NaN","NaN.0"
"2003 - 09","190481","31.5","5","0.0","18.9","3","50.0","NaN","NaN","NaN.0"
"2003 - 10","190613","6.3","1","-80.0","6.3","1","-66.7","NaN","NaN","NaN.0"
"2003 - 11","190744","12.6","2","100.0","6.3","1","0.0","NaN","NaN","NaN.0"
"2003 - 12","190876","12.6","2","0.0","12.6","2","100.0","NaN","NaN","NaN.0"
"2004 - 01","191008","25.1","4","100.0","18.8","3","50.0","NaN","NaN","NaN.0"
"2004 - 02","191140","18.8","3","-25.0","12.6","2","-33.3","NaN","NaN","NaN.0"
"2004 - 03","191272","12.5","2","-33.3","43.9","7","250.0","NaN","NaN","NaN.0"
"2004 - 04","191404","6.3","1","-50.0","6.3","1","-85.7","NaN","NaN","NaN.0"
"2004 - 05","191535","25.1","4","300.0","12.5","2","100.0","NaN","NaN","NaN.0"
"2004 - 06","191667","31.3","5","25.0","12.5","2","0.0","NaN","NaN","NaN.0"
"2004 - 07","191799","18.8","3","-40.0","18.8","3","50.0","NaN","NaN","NaN.0"
"2004 - 08","191940","12.5","2","-33.3","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 09","192082","6.2","1","-50.0","0","0","NaN.0","NaN","NaN","NaN.0"
"2004 - 10","192223","12.5","2","100.0","0","0","NaN.0","NaN","NaN","NaN.0"
"2004 - 11","192364","25","4","100.0","18.7","3","NaN.0","NaN","NaN","NaN.0"
"2004 - 12","192506","18.7","3","-25.0","12.5","2","-33.3","NaN","NaN","NaN.0"
"2005 - 01","192647","37.4","6","100.0","12.5","2","0.0","6.2","1","NaN.0"
"2005 - 02","192788","18.7","3","-50.0","18.7","3","50.0","0","0","-100.0"
"2005 - 03","192930","62.2","10","233.3","18.7","3","0.0","0","0","NaN.0"
"2005 - 04","193071","6.2","1","-90.0","6.2","1","-66.7","0","0","NaN.0"
"2005 - 05","193212","18.6","3","200.0","6.2","1","0.0","0","0","NaN.0"
"2005 - 06","193354","43.4","7","133.3","6.2","1","0.0","0","0","NaN.0"
"2005 - 07","193495","37.2","6","-14.3","24.8","4","300.0","0","0","NaN.0"
"2005 - 08","193634","24.8","4","-33.3","24.8","4","0.0","6.2","1","NaN.0"
"2005 - 09","193773","18.6","3","-25.0","18.6","3","-25.0","0","0","-100.0"
"2005 - 10","193912","18.6","3","0.0","0","0","-100.0","0","0","NaN.0"
"2005 - 11","194051","24.7","4","33.3","24.7","4","NaN.0","6.2","1","NaN.0"
"2005 - 12","194190","30.9","5","25.0","24.7","4","0.0","0","0","-100.0"
"2006 - 01","194329","18.5","3","-40.0","18.5","3","-25.0","6.2","1","NaN.0"
"2006 - 02","194467","24.7","4","33.3","6.2","1","-66.7","6.2","1","0.0"
"2006 - 03","194606","24.7","4","0.0","12.3","2","100.0","6.2","1","0.0"
"2006 - 04","194745","24.6","4","0.0","12.3","2","0.0","6.2","1","0.0"
"2006 - 05","194884","6.2","1","-75.0","0","0","-100.0","0","0","-100.0"
"2006 - 06","195023","12.3","2","100.0","12.3","2","NaN.0","0","0","NaN.0"
"2006 - 07","195162","12.3","2","0.0","18.4","3","50.0","6.1","1","NaN.0"
"2006 - 08","195190","6.1","1","-50.0","0","0","-100.0","0","0","-100.0"
"2006 - 09","195218","36.9","6","500.0","18.4","3","NaN.0","0","0","NaN.0"
"2006 - 10","195246","12.3","2","-66.7","12.3","2","-33.3","0","0","NaN.0"
"2006 - 11","195273","36.9","6","200.0","6.1","1","-50.0","0","0","NaN.0"
"2006 - 12","195301","0","0","-100.0","18.4","3","200.0","0","0","NaN.0"
"2007 - 01","195329","12.3","2","NaN.0","6.1","1","-66.7","0","0","NaN.0"
"2007 - 02","195357","12.3","2","0.0","30.7","5","400.0","6.1","1","NaN.0"
"2007 - 03","195385","18.4","3","50.0","6.1","1","-80.0","0","0","-100.0"
"2007 - 04","195413","18.4","3","0.0","6.1","1","0.0","6.1","1","NaN.0"
"2007 - 05","195440","49.1","8","166.7","24.6","4","300.0","0","0","-100.0"
"2007 - 06","195468","30.7","5","-37.5","18.4","3","-25.0","0","0","NaN.0"
"2007 - 07","195496","43","7","40.0","30.7","5","66.7","6.1","1","NaN.0"
"2007 - 08","195541","49.1","8","14.3","18.4","3","-40.0","12.3","2","100.0"
"2007 - 09","195585","42.9","7","-12.5","0","0","-100.0","0","0","-100.0"
"2007 - 10","195630","49.1","8","14.3","12.3","2","NaN.0","0","0","NaN.0"
"2007 - 11","195674","12.3","2","-75.0","0","0","-100.0","12.3","2","NaN.0"
"2007 - 12","195719","6.1","1","-50.0","12.3","2","NaN.0","0","0","-100.0"
"2008 - 01","195764","6.1","1","0.0","6.1","1","-50.0","6.1","1","NaN.0"
"2008 - 02","195808","55.2","9","800.0","36.8","6","500.0","6.1","1","0.0"
"2008 - 03","195853","12.3","2","-77.8","6.1","1","-83.3","6.1","1","0.0"
"2008 - 04","195897","18.4","3","50.0","0","0","-100.0","0","0","-100.0"
"2008 - 05","195942","24.5","4","33.3","30.6","5","NaN.0","12.2","2","NaN.0"
"2008 - 06","195986","6.1","1","-75.0","12.2","2","-60.0","6.1","1","-50.0"
"2008 - 07","196031","42.9","7","600.0","18.4","3","50.0","6.1","1","0.0"
"2008 - 08","196048","49","8","14.3","24.5","4","33.3","0","0","-100.0"
