"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","161448","14.9","2","n/a","22.3","3","n/a","NaN","NaN","n/a"
"2003 - 02","161470","7.4","1","-50.0","14.9","2","-33.3","NaN","NaN","NaN.0"
"2003 - 03","161491","29.7","4","300.0","7.4","1","-50.0","NaN","NaN","NaN.0"
"2003 - 04","161513","37.1","5","25.0","7.4","1","0.0","NaN","NaN","NaN.0"
"2003 - 05","161534","29.7","4","-20.0","37.1","5","400.0","NaN","NaN","NaN.0"
"2003 - 06","161556","0","0","-100.0","7.4","1","-80.0","NaN","NaN","NaN.0"
"2003 - 07","161577","22.3","3","NaN.0","14.9","2","100.0","NaN","NaN","NaN.0"
"2003 - 08","161566","14.9","2","-33.3","29.7","4","100.0","NaN","NaN","NaN.0"
"2003 - 09","161555","22.3","3","50.0","14.9","2","-50.0","NaN","NaN","NaN.0"
"2003 - 10","161543","22.3","3","0.0","29.7","4","100.0","NaN","NaN","NaN.0"
"2003 - 11","161532","29.7","4","33.3","14.9","2","-50.0","NaN","NaN","NaN.0"
"2003 - 12","161521","0","0","-100.0","14.9","2","0.0","NaN","NaN","NaN.0"
"2004 - 01","161510","7.4","1","NaN.0","7.4","1","-50.0","NaN","NaN","NaN.0"
"2004 - 02","161498","29.7","4","300.0","22.3","3","200.0","NaN","NaN","NaN.0"
"2004 - 03","161487","44.6","6","50.0","22.3","3","0.0","NaN","NaN","NaN.0"
"2004 - 04","161476","14.9","2","-66.7","29.7","4","33.3","NaN","NaN","NaN.0"
"2004 - 05","161465","7.4","1","-50.0","22.3","3","-25.0","NaN","NaN","NaN.0"
"2004 - 06","161453","52","7","600.0","52","7","133.3","NaN","NaN","NaN.0"
"2004 - 07","161442","29.7","4","-42.9","22.3","3","-57.1","NaN","NaN","NaN.0"
"2004 - 08","161404","59.5","8","100.0","44.6","6","100.0","NaN","NaN","NaN.0"
"2004 - 09","161367","14.9","2","-75.0","7.4","1","-83.3","NaN","NaN","NaN.0"
"2004 - 10","161329","52.1","7","250.0","7.4","1","0.0","NaN","NaN","NaN.0"
"2004 - 11","161292","37.2","5","-28.6","22.3","3","200.0","NaN","NaN","NaN.0"
"2004 - 12","161254","22.3","3","-40.0","29.8","4","33.3","NaN","NaN","NaN.0"
"2005 - 01","161217","29.8","4","33.3","22.3","3","-25.0","22.3","3","NaN.0"
"2005 - 02","161179","14.9","2","-50.0","14.9","2","-33.3","7.4","1","-66.7"
"2005 - 03","161141","22.3","3","50.0","0","0","-100.0","14.9","2","100.0"
"2005 - 04","161104","14.9","2","-33.3","7.4","1","NaN.0","0","0","-100.0"
"2005 - 05","161066","22.4","3","50.0","14.9","2","100.0","22.4","3","NaN.0"
"2005 - 06","161029","82","11","266.7","59.6","8","300.0","7.5","1","-66.7"
"2005 - 07","160991","29.8","4","-63.6","37.3","5","-37.5","0","0","-100.0"
"2005 - 08","160891","14.9","2","-50.0","7.5","1","-80.0","7.5","1","NaN.0"
"2005 - 09","160791","29.9","4","100.0","37.3","5","400.0","0","0","-100.0"
"2005 - 10","160691","59.7","8","100.0","44.8","6","20.0","7.5","1","NaN.0"
"2005 - 11","160590","29.9","4","-50.0","44.8","6","0.0","0","0","-100.0"
"2005 - 12","160490","44.9","6","50.0","22.4","3","-50.0","7.5","1","NaN.0"
"2006 - 01","160390","59.9","8","33.3","44.9","6","100.0","0","0","-100.0"
"2006 - 02","160290","29.9","4","-50.0","29.9","4","-33.3","0","0","NaN.0"
"2006 - 03","160190","37.5","5","25.0","15","2","-50.0","7.5","1","NaN.0"
"2006 - 04","160090","45","6","20.0","22.5","3","50.0","7.5","1","0.0"
"2006 - 05","159989","22.5","3","-50.0","7.5","1","-66.7","15","2","100.0"
"2006 - 06","159889","30","4","33.3","15","2","100.0","0","0","-100.0"
"2006 - 07","159789","30","4","0.0","52.6","7","250.0","0","0","NaN.0"
"2006 - 08","159628","52.6","7","75.0","22.6","3","-57.1","15","2","NaN.0"
"2006 - 09","159467","22.6","3","-57.1","22.6","3","0.0","7.5","1","-50.0"
"2006 - 10","159306","52.7","7","133.3","30.1","4","33.3","15.1","2","100.0"
"2006 - 11","159145","22.6","3","-57.1","15.1","2","-50.0","7.5","1","-50.0"
"2006 - 12","158984","45.3","6","100.0","15.1","2","0.0","0","0","-100.0"
"2007 - 01","158823","22.7","3","-50.0","15.1","2","0.0","7.6","1","NaN.0"
"2007 - 02","158661","15.1","2","-33.3","7.6","1","-50.0","7.6","1","0.0"
"2007 - 03","158500","22.7","3","50.0","37.9","5","400.0","7.6","1","0.0"
"2007 - 04","158339","15.2","2","-33.3","22.7","3","-40.0","37.9","5","400.0"
"2007 - 05","158178","22.8","3","50.0","15.2","2","-33.3","7.6","1","-80.0"
"2007 - 06","158017","38","5","66.7","38","5","150.0","22.8","3","200.0"
"2007 - 07","157856","38","5","0.0","38","5","0.0","22.8","3","0.0"
"2007 - 08","157772","15.2","2","-60.0","15.2","2","-60.0","7.6","1","-66.7"
"2007 - 09","157689","15.2","2","0.0","22.8","3","50.0","15.2","2","100.0"
"2007 - 10","157605","60.9","8","300.0","30.5","4","33.3","7.6","1","-50.0"
"2007 - 11","157521","45.7","6","-25.0","22.9","3","-25.0","7.6","1","0.0"
"2007 - 12","157437","22.9","3","-50.0","15.2","2","-33.3","7.6","1","0.0"
"2008 - 01","157354","30.5","4","33.3","22.9","3","50.0","15.3","2","100.0"
"2008 - 02","157270","38.2","5","25.0","7.6","1","-66.7","15.3","2","0.0"
"2008 - 03","157186","38.2","5","0.0","45.8","6","500.0","22.9","3","50.0"
"2008 - 04","157102","15.3","2","-60.0","68.7","9","50.0","7.6","1","-66.7"
"2008 - 05","157019","38.2","5","150.0","22.9","3","-66.7","7.6","1","0.0"
"2008 - 06","156935","30.6","4","-20.0","7.6","1","-66.7","7.6","1","0.0"
"2008 - 07","156851","23","3","-25.0","15.3","2","100.0","0","0","-100.0"
"2008 - 08","156795","38.3","5","66.7","38.3","5","150.0","7.7","1","NaN.0"
"2008 - 09","156738","30.6","4","-20.0","15.3","2","-60.0","7.7","1","0.0"
"2008 - 10","156682","30.6","4","0.0","23","3","50.0","7.7","1","0.0"
"2008 - 11","156626","15.3","2","-50.0","15.3","2","-33.3","23","3","200.0"
"2008 - 12","156569","38.3","5","150.0","38.3","5","150.0","0","0","-100.0"
"2009 - 01","156513","30.7","4","-20.0","23","3","-40.0","7.7","1","NaN.0"
