"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","36067","0","0","n/a","33.3","1","n/a","NaN","NaN","n/a"
"2003 - 02","36037","0","0","NaN.0","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 03","36007","0","0","NaN.0","0","0","NaN.0","NaN","NaN","NaN.0"
"2003 - 04","35977","0","0","NaN.0","0","0","NaN.0","NaN","NaN","NaN.0"
"2003 - 05","35947","0","0","NaN.0","0","0","NaN.0","NaN","NaN","NaN.0"
"2003 - 06","35917","66.8","2","NaN.0","0","0","NaN.0","NaN","NaN","NaN.0"
"2003 - 07","35887","0","0","-100.0","33.4","1","NaN.0","NaN","NaN","NaN.0"
"2003 - 08","35889","100.3","3","NaN.0","33.4","1","0.0","NaN","NaN","NaN.0"
"2003 - 09","35892","0","0","-100.0","33.4","1","0.0","NaN","NaN","NaN.0"
"2003 - 10","35894","33.4","1","NaN.0","33.4","1","0.0","NaN","NaN","NaN.0"
"2003 - 11","35896","66.9","2","100.0","167.1","5","400.0","NaN","NaN","NaN.0"
"2003 - 12","35898","0","0","-100.0","33.4","1","-80.0","NaN","NaN","NaN.0"
"2004 - 01","35901","33.4","1","NaN.0","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 02","35903","0","0","-100.0","0","0","NaN.0","NaN","NaN","NaN.0"
"2004 - 03","35905","66.8","2","NaN.0","33.4","1","NaN.0","NaN","NaN","NaN.0"
"2004 - 04","35907","33.4","1","-50.0","66.8","2","100.0","NaN","NaN","NaN.0"
"2004 - 05","35910","0","0","-100.0","33.4","1","-50.0","NaN","NaN","NaN.0"
"2004 - 06","35912","0","0","NaN.0","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 07","35914","33.4","1","NaN.0","66.8","2","NaN.0","NaN","NaN","NaN.0"
"2004 - 08","35897","66.9","2","100.0","66.9","2","0.0","NaN","NaN","NaN.0"
