"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","2600854","11.5","25","n/a","6.9","15","n/a","NaN","NaN","n/a"
"2003 - 02","2600228","6","13","-48.0","3.7","8","-46.7","NaN","NaN","NaN.0"
"2003 - 03","2599602","10.2","22","69.2","5.5","12","50.0","NaN","NaN","NaN.0"
"2003 - 04","2598977","10.2","22","0.0","6.9","15","25.0","NaN","NaN","NaN.0"
"2003 - 05","2598351","12.9","28","27.3","6.9","15","0.0","NaN","NaN","NaN.0"
"2003 - 06","2597725","9.2","20","-28.6","6.5","14","-6.7","NaN","NaN","NaN.0"
"2003 - 07","2597099","12.9","28","40.0","5.5","12","-14.3","NaN","NaN","NaN.0"
"2003 - 08","2596801","11.1","24","-14.3","8.3","18","50.0","NaN","NaN","NaN.0"
"2003 - 09","2596503","13.9","30","25.0","5.1","11","-38.9","NaN","NaN","NaN.0"
"2003 - 10","2596205","12.5","27","-10.0","7.4","16","45.5","NaN","NaN","NaN.0"
"2003 - 11","2595907","9.7","21","-22.2","5.1","11","-31.2","NaN","NaN","NaN.0"
"2003 - 12","2595609","10.2","22","4.8","5.5","12","9.1","NaN","NaN","NaN.0"
"2004 - 01","2595311","4.6","10","-54.5","5.1","11","-8.3","NaN","NaN","NaN.0"
"2004 - 02","2595013","14.3","31","210.0","6","13","18.2","NaN","NaN","NaN.0"
"2004 - 03","2594715","10.2","22","-29.0","7.9","17","30.8","NaN","NaN","NaN.0"
"2004 - 04","2594417","10.2","22","0.0","2.8","6","-64.7","NaN","NaN","NaN.0"
"2004 - 05","2594119","7.9","17","-22.7","4.2","9","50.0","NaN","NaN","NaN.0"
"2004 - 06","2593821","13","28","64.7","5.6","12","33.3","NaN","NaN","NaN.0"
"2004 - 07","2593523","13.9","30","7.1","7.9","17","41.7","NaN","NaN","NaN.0"
"2004 - 08","2593837","11.1","24","-20.0","6","13","-23.5","NaN","NaN","NaN.0"
