"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","253268","23.7","5","n/a","9.5","2","n/a","NaN","NaN","n/a"
"2003 - 02","253552","14.2","3","-40.0","9.5","2","0.0","NaN","NaN","NaN.0"
"2003 - 03","253836","18.9","4","33.3","9.5","2","0.0","NaN","NaN","NaN.0"
"2003 - 04","254121","18.9","4","0.0","4.7","1","-50.0","NaN","NaN","NaN.0"
"2003 - 05","254405","14.2","3","-25.0","14.2","3","200.0","NaN","NaN","NaN.0"
"2003 - 06","254689","23.6","5","66.7","14.1","3","0.0","NaN","NaN","NaN.0"
"2003 - 07","254973","28.2","6","20.0","14.1","3","0.0","NaN","NaN","NaN.0"
"2003 - 08","255295","18.8","4","-33.3","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 09","255617","9.4","2","-50.0","18.8","4","NaN.0","NaN","NaN","NaN.0"
"2003 - 10","255938","23.4","5","150.0","4.7","1","-75.0","NaN","NaN","NaN.0"
"2003 - 11","256260","9.4","2","-60.0","4.7","1","0.0","NaN","NaN","NaN.0"
"2003 - 12","256582","9.4","2","0.0","9.4","2","100.0","NaN","NaN","NaN.0"
"2004 - 01","256904","14","3","50.0","18.7","4","100.0","NaN","NaN","NaN.0"
"2004 - 02","257225","9.3","2","-33.3","4.7","1","-75.0","NaN","NaN","NaN.0"
"2004 - 03","257547","32.6","7","250.0","14","3","200.0","NaN","NaN","NaN.0"
"2004 - 04","257869","4.7","1","-85.7","14","3","0.0","NaN","NaN","NaN.0"
"2004 - 05","258191","13.9","3","200.0","4.6","1","-66.7","NaN","NaN","NaN.0"
"2004 - 06","258512","9.3","2","-33.3","4.6","1","0.0","NaN","NaN","NaN.0"
"2004 - 07","258834","27.8","6","200.0","18.5","4","300.0","NaN","NaN","NaN.0"
"2004 - 08","259158","13.9","3","-50.0","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 09","259482","13.9","3","0.0","13.9","3","NaN.0","NaN","NaN","NaN.0"
"2004 - 10","259806","23.1","5","66.7","18.5","4","33.3","NaN","NaN","NaN.0"
"2004 - 11","260130","23.1","5","0.0","18.5","4","0.0","NaN","NaN","NaN.0"
