"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","399813","12","4","n/a","9","3","n/a","NaN","NaN","n/a"
"2003 - 02","400172","15","5","25.0","6","2","-33.3","NaN","NaN","NaN.0"
"2003 - 03","400531","18","6","20.0","9","3","50.0","NaN","NaN","NaN.0"
"2003 - 04","400890","6","2","-66.7","3","1","-66.7","NaN","NaN","NaN.0"
"2003 - 05","401250","20.9","7","250.0","3","1","0.0","NaN","NaN","NaN.0"
"2003 - 06","401609","12","4","-42.9","9","3","200.0","NaN","NaN","NaN.0"
"2003 - 07","401968","20.9","7","75.0","9","3","0.0","NaN","NaN","NaN.0"
"2003 - 08","402259","11.9","4","-42.9","8.9","3","0.0","NaN","NaN","NaN.0"
"2003 - 09","402551","11.9","4","0.0","8.9","3","0.0","NaN","NaN","NaN.0"
"2003 - 10","402842","8.9","3","-25.0","11.9","4","33.3","NaN","NaN","NaN.0"
"2003 - 11","403134","11.9","4","33.3","14.9","5","25.0","NaN","NaN","NaN.0"
"2003 - 12","403425","20.8","7","75.0","11.9","4","-20.0","NaN","NaN","NaN.0"
"2004 - 01","403717","17.8","6","-14.3","5.9","2","-50.0","NaN","NaN","NaN.0"
"2004 - 02","404008","17.8","6","0.0","17.8","6","200.0","NaN","NaN","NaN.0"
"2004 - 03","404299","14.8","5","-16.7","3","1","-83.3","NaN","NaN","NaN.0"
"2004 - 04","404591","11.9","4","-20.0","0","0","-100.0","NaN","NaN","NaN.0"
"2004 - 05","404882","23.7","8","100.0","14.8","5","NaN.0","NaN","NaN","NaN.0"
"2004 - 06","405174","20.7","7","-12.5","3","1","-80.0","NaN","NaN","NaN.0"
"2004 - 07","405465","23.7","8","14.3","8.9","3","200.0","NaN","NaN","NaN.0"
