"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","825832","7.3","5","n/a","0","0","n/a","NaN","NaN","n/a"
"2003 - 02","828910","4.3","3","-40.0","2.9","2","NaN.0","NaN","NaN","NaN.0"
"2003 - 03","831989","13","9","200.0","2.9","2","0.0","NaN","NaN","NaN.0"
"2003 - 04","835068","7.2","5","-44.4","0","0","-100.0","NaN","NaN","NaN.0"
"2003 - 05","838147","5.7","4","-20.0","0","0","NaN.0","NaN","NaN","NaN.0"
"2003 - 06","841226","7.1","5","25.0","4.3","3","NaN.0","NaN","NaN","NaN.0"
"2003 - 07","844305","2.8","2","-60.0","1.4","1","-66.7","NaN","NaN","NaN.0"
"2003 - 08","847090","5.7","4","100.0","5.7","4","300.0","NaN","NaN","NaN.0"
"2003 - 09","849874","15.5","11","175.0","2.8","2","-50.0","NaN","NaN","NaN.0"
"2003 - 10","852659","9.9","7","-36.4","8.4","6","200.0","NaN","NaN","NaN.0"
"2003 - 11","855443","8.4","6","-14.3","2.8","2","-66.7","NaN","NaN","NaN.0"
"2003 - 12","858228","8.4","6","0.0","5.6","4","100.0","NaN","NaN","NaN.0"
"2004 - 01","861012","15.3","11","83.3","2.8","2","-50.0","NaN","NaN","NaN.0"
"2004 - 02","863797","5.6","4","-63.6","2.8","2","0.0","NaN","NaN","NaN.0"
"2004 - 03","866581","8.3","6","50.0","2.8","2","0.0","NaN","NaN","NaN.0"
"2004 - 04","869366","6.9","5","-16.7","4.1","3","50.0","NaN","NaN","NaN.0"
"2004 - 05","872150","8.3","6","20.0","4.1","3","0.0","NaN","NaN","NaN.0"
"2004 - 06","874935","4.1","3","-50.0","8.2","6","100.0","NaN","NaN","NaN.0"
"2004 - 07","877719","5.5","4","33.3","6.8","5","-16.7","NaN","NaN","NaN.0"
"2004 - 08","879972","2.7","2","-50.0","1.4","1","-80.0","NaN","NaN","NaN.0"
"2004 - 09","882225","4.1","3","50.0","2.7","2","100.0","NaN","NaN","NaN.0"
"2004 - 10","884478","6.8","5","66.7","4.1","3","50.0","NaN","NaN","NaN.0"
"2004 - 11","886731","5.4","4","-20.0","5.4","4","33.3","NaN","NaN","NaN.0"
"2004 - 12","888984","4","3","-25.0","6.7","5","25.0","NaN","NaN","NaN.0"
"2005 - 01","891238","6.7","5","66.7","2.7","2","-60.0","0","0","NaN.0"
"2005 - 02","893491","10.7","8","60.0","4","3","50.0","1.3","1","NaN.0"
"2005 - 03","895744","4","3","-62.5","1.3","1","-66.7","0","0","-100.0"
"2005 - 04","897997","8","6","100.0","5.3","4","300.0","0","0","NaN.0"
"2005 - 05","900250","2.7","2","-66.7","1.3","1","-75.0","0","0","NaN.0"
"2005 - 06","902503","9.3","7","250.0","4","3","200.0","2.7","2","NaN.0"
"2005 - 07","904756","9.3","7","0.0","2.7","2","-33.3","1.3","1","-50.0"
"2005 - 08","907012","2.6","2","-71.4","1.3","1","-50.0","4","3","200.0"
"2005 - 09","909269","6.6","5","150.0","5.3","4","300.0","2.6","2","-33.3"
"2005 - 10","911525","10.5","8","60.0","6.6","5","25.0","0","0","-100.0"
"2005 - 11","913782","7.9","6","-25.0","5.3","4","-20.0","0","0","NaN.0"
"2005 - 12","916038","6.5","5","-16.7","2.6","2","-50.0","2.6","2","NaN.0"
"2006 - 01","918295","7.8","6","20.0","1.3","1","-50.0","0","0","-100.0"
"2006 - 02","920551","10.4","8","33.3","2.6","2","100.0","0","0","NaN.0"
"2006 - 03","922807","6.5","5","-37.5","1.3","1","-50.0","3.9","3","NaN.0"
"2006 - 04","925064","10.4","8","60.0","6.5","5","400.0","1.3","1","-66.7"
"2006 - 05","927320","9.1","7","-12.5","3.9","3","-40.0","0","0","-100.0"
"2006 - 06","929577","6.5","5","-28.6","5.2","4","33.3","1.3","1","NaN.0"
"2006 - 07","931833","12.9","10","100.0","6.4","5","25.0","1.3","1","0.0"
"2006 - 08","934243","7.7","6","-40.0","3.9","3","-40.0","1.3","1","0.0"
"2006 - 09","936653","9","7","16.7","2.6","2","-33.3","2.6","2","100.0"
"2006 - 10","939063","8.9","7","0.0","2.6","2","0.0","1.3","1","-50.0"
"2006 - 11","941473","11.5","9","28.6","5.1","4","100.0","0","0","-100.0"
"2006 - 12","943883","7.6","6","-33.3","2.5","2","-50.0","1.3","1","NaN.0"
"2007 - 01","946294","10.1","8","33.3","5.1","4","100.0","1.3","1","0.0"
"2007 - 02","948704","13.9","11","37.5","2.5","2","-50.0","2.5","2","100.0"
"2007 - 03","951114","6.3","5","-54.5","5","4","100.0","2.5","2","0.0"
"2007 - 04","953524","6.3","5","0.0","3.8","3","-25.0","5","4","100.0"
"2007 - 05","955934","7.5","6","20.0","2.5","2","-33.3","3.8","3","-25.0"
"2007 - 06","958344","8.8","7","16.7","3.8","3","50.0","1.3","1","-66.7"
"2007 - 07","960754","8.7","7","0.0","6.2","5","66.7","3.7","3","200.0"
"2007 - 08","963088","12.5","10","42.9","8.7","7","40.0","3.7","3","0.0"
"2007 - 09","965421","6.2","5","-50.0","3.7","3","-57.1","1.2","1","-66.7"
"2007 - 10","967755","7.4","6","20.0","1.2","1","-66.7","3.7","3","200.0"
"2007 - 11","970088","12.4","10","66.7","0","0","-100.0","2.5","2","-33.3"
"2007 - 12","972422","6.2","5","-50.0","3.7","3","NaN.0","2.5","2","0.0"
"2008 - 01","974756","11.1","9","80.0","2.5","2","-33.3","0","0","-100.0"
"2008 - 02","977089","4.9","4","-55.6","4.9","4","100.0","1.2","1","NaN.0"
"2008 - 03","979423","11","9","125.0","4.9","4","0.0","0","0","-100.0"
"2008 - 04","981756","11","9","0.0","3.7","3","-25.0","1.2","1","NaN.0"
"2008 - 05","984090","7.3","6","-33.3","4.9","4","33.3","1.2","1","0.0"
"2008 - 06","986423","3.6","3","-50.0","4.9","4","0.0","1.2","1","0.0"
"2008 - 07","988757","8.5","7","133.3","4.9","4","0.0","0","0","-100.0"
"2008 - 08","990923","8.5","7","0.0","7.3","6","50.0","1.2","1","NaN.0"
"2008 - 09","993090","14.5","12","71.4","4.8","4","-33.3","1.2","1","0.0"
"2008 - 10","995256","6","5","-58.3","3.6","3","-25.0","2.4","2","100.0"
"2008 - 11","997423","4.8","4","-20.0","3.6","3","0.0","2.4","2","0.0"
"2008 - 12","999589","6","5","25.0","3.6","3","0.0","3.6","3","50.0"
"2009 - 01","1001756","2.4","2","-60.0","3.6","3","0.0","0","0","-100.0"
"2009 - 02","1003922","13.1","11","450.0","6","5","66.7","1.2","1","NaN.0"
"2009 - 03","1006088","6","5","-54.5","7.2","6","20.0","0","0","-100.0"
"2009 - 04","1008255","10.7","9","80.0","2.4","2","-66.7","1.2","1","NaN.0"
"2009 - 05","1010421","13.1","11","22.2","3.6","3","50.0","1.2","1","0.0"
"2009 - 06","1012588","9.5","8","-27.3","7.1","6","100.0","1.2","1","0.0"
"2009 - 07","1014754","13","11","37.5","4.7","4","-33.3","1.2","1","0.0"
"2009 - 08","1017157","11.8","10","-9.1","7.1","6","50.0","0","0","-100.0"
"2009 - 09","1019559","11.8","10","0.0","7.1","6","0.0","1.2","1","NaN.0"
"2009 - 10","1021962","4.7","4","-60.0","1.2","1","-83.3","1.2","1","0.0"
"2009 - 11","1024364","9.4","8","100.0","2.3","2","100.0","0","0","-100.0"
"2009 - 12","1026767","8.2","7","-12.5","3.5","3","50.0","1.2","1","NaN.0"
"2010 - 01","1029170","5.8","5","-28.6","2.3","2","-33.3","1.2","1","0.0"
"2010 - 02","1031572","7","6","20.0","4.7","4","100.0","1.2","1","0.0"
"2010 - 03","1033975","9.3","8","33.3","3.5","3","-25.0","1.2","1","0.0"
"2010 - 04","1036377","6.9","6","-25.0","2.3","2","-33.3","4.6","4","300.0"
"2010 - 05","1038780","11.6","10","66.7","1.2","1","-50.0","2.3","2","-50.0"
"2010 - 06","1041182","10.4","9","-10.0","4.6","4","300.0","0","0","-100.0"
"2010 - 07","1043585","6.9","6","-33.3","2.3","2","-50.0","2.3","2","NaN.0"
"2010 - 08","1045412","6.9","6","0.0","4.6","4","100.0","0","0","-100.0"
"2010 - 09","1047238","16","14","133.3","8","7","75.0","2.3","2","NaN.0"
"2010 - 10","1049065","14.9","13","-7.1","4.6","4","-42.9","1.1","1","-50.0"
"2010 - 11","1050891","6.9","6","-53.8","2.3","2","-50.0","1.1","1","0.0"
"2010 - 12","1052718","10.3","9","50.0","4.6","4","100.0","1.1","1","0.0"
"2011 - 01","1054545","9.1","8","-11.1","3.4","3","-25.0","2.3","2","100.0"
"2011 - 02","1056371","5.7","5","-37.5","1.1","1","-66.7","1.1","1","-50.0"
"2011 - 03","1058198","12.5","11","120.0","3.4","3","200.0","3.4","3","200.0"
"2011 - 04","1060024","11.3","10","-9.1","4.5","4","33.3","3.4","3","0.0"
"2011 - 05","1061851","5.7","5","-50.0","2.3","2","-50.0","5.7","5","66.7"
"2011 - 06","1063677","10.2","9","80.0","4.5","4","100.0","1.1","1","-80.0"
"2011 - 07","1065504","5.6","5","-44.4","5.6","5","25.0","2.3","2","100.0"
"2011 - 08","1067254","16.9","15","200.0","4.5","4","-20.0","1.1","1","-50.0"
"2011 - 09","1069004","4.5","4","-73.3","2.2","2","-50.0","2.2","2","100.0"
"2011 - 10","1070754","5.6","5","25.0","3.4","3","50.0","1.1","1","-50.0"
"2011 - 11","1072504","6.7","6","20.0","5.6","5","66.7","2.2","2","100.0"
"2011 - 12","1074254","3.4","3","-50.0","3.4","3","-40.0","2.2","2","0.0"
"2012 - 01","1076004","7.8","7","133.3","5.6","5","66.7","2.2","2","0.0"
"2012 - 02","1077753","7.8","7","0.0","4.5","4","-20.0","0","0","-100.0"
"2012 - 03","1079503","6.7","6","-14.3","1.1","1","-75.0","2.2","2","NaN.0"
"2012 - 04","1081253","8.9","8","33.3","2.2","2","100.0","1.1","1","-50.0"
"2012 - 05","1083003","15.5","14","75.0","6.6","6","200.0","0","0","-100.0"
"2012 - 06","1084753","6.6","6","-57.1","4.4","4","-33.3","0","0","NaN.0"
"2012 - 07","1086503","13.3","12","100.0","3.3","3","-25.0","2.2","2","NaN.0"
"2012 - 08","1088069","12.1","11","-8.3","5.5","5","66.7","0","0","-100.0"
"2012 - 09","1089635","11","10","-9.1","5.5","5","0.0","0","0","NaN.0"
"2012 - 10","1091201","14.3","13","30.0","6.6","6","20.0","0","0","NaN.0"
"2012 - 11","1092767","16.5","15","15.4","8.8","8","33.3","5.5","5","NaN.0"
"2012 - 12","1094333","8.8","8","-46.7","5.5","5","-37.5","4.4","4","-20.0"
"2013 - 01","1095899","9.9","9","12.5","7.7","7","40.0","0","0","-100.0"
"2013 - 02","1097464","9.8","9","0.0","3.3","3","-57.1","3.3","3","NaN.0"
"2013 - 03","1099030","3.3","3","-66.7","2.2","2","-33.3","3.3","3","0.0"
"2013 - 04","1100596","9.8","9","200.0","8.7","8","300.0","0","0","-100.0"
"2013 - 05","1102162","14.2","13","44.4","6.5","6","-25.0","1.1","1","NaN.0"
"2013 - 06","1103728","9.8","9","-30.8","6.5","6","0.0","2.2","2","100.0"
"2013 - 07","1105294","14.1","13","44.4","3.3","3","-50.0","1.1","1","-50.0"
"2013 - 08","1106890","8.7","8","-38.5","1.1","1","-66.7","2.2","2","100.0"
"2013 - 09","1108486","14.1","13","62.5","9.7","9","800.0","2.2","2","0.0"
"2013 - 10","1110081","13","12","-7.7","7.6","7","-22.2","2.2","2","0.0"
"2013 - 11","1111677","8.6","8","-33.3","2.2","2","-71.4","6.5","6","200.0"
"2013 - 12","1113273","14","13","62.5","7.5","7","250.0","2.2","2","-66.7"
"2014 - 01","1114869","7.5","7","-46.2","4.3","4","-42.9","2.2","2","0.0"
"2014 - 02","1116464","6.4","6","-14.3","4.3","4","0.0","0","0","-100.0"
"2014 - 03","1118060","4.3","4","-33.3","6.4","6","50.0","1.1","1","NaN.0"
"2014 - 04","1119656","9.6","9","125.0","3.2","3","-50.0","4.3","4","300.0"
"2014 - 05","1121252","8.6","8","-11.1","8.6","8","166.7","3.2","3","-25.0"
"2014 - 06","1122847","13.9","13","62.5","8.5","8","0.0","3.2","3","0.0"
"2014 - 07","1124443","18.1","17","30.8","5.3","5","-37.5","0","0","-100.0"
"2014 - 08","1125564","14.9","14","-17.6","7.5","7","40.0","1.1","1","NaN.0"
"2014 - 09","1126686","13.8","13","-7.1","5.3","5","-28.6","4.3","4","300.0"
"2014 - 10","1127807","17","16","23.1","4.3","4","-20.0","1.1","1","-75.0"
"2014 - 11","1128928","8.5","8","-50.0","6.4","6","50.0","4.3","4","300.0"
"2014 - 12","1130050","9.6","9","12.5","4.2","4","-33.3","0","0","-100.0"
"2015 - 01","1131171","9.5","9","0.0","4.2","4","0.0","1.1","1","NaN.0"
"2015 - 02","1132292","8.5","8","-11.1","2.1","2","-50.0","2.1","2","100.0"
"2015 - 03","1133414","13.8","13","62.5","4.2","4","100.0","2.1","2","0.0"
"2015 - 04","1134535","13.8","13","0.0","1.1","1","-75.0","0","0","-100.0"
"2015 - 05","1135656","13.7","13","0.0","4.2","4","300.0","2.1","2","NaN.0"
"2015 - 06","1136778","7.4","7","-46.2","6.3","6","50.0","2.1","2","0.0"
"2015 - 07","1137899","7.4","7","0.0","2.1","2","-66.7","3.2","3","50.0"
"2015 - 08","1139549","13.7","13","85.7","11.6","11","450.0","2.1","2","-33.3"
"2015 - 09","1141200","8.4","8","-38.5","3.2","3","-72.7","4.2","4","100.0"
"2015 - 10","1142850","7.4","7","-12.5","3.2","3","0.0","5.3","5","25.0"
"2015 - 11","1144501","8.4","8","14.3","2.1","2","-33.3","3.1","3","-40.0"
"2015 - 12","1146151","16.8","16","100.0","2.1","2","0.0","4.2","4","33.3"
"2016 - 01","1147802","8.4","8","-50.0","9.4","9","350.0","1","1","-75.0"
"2016 - 02","1149452","12.5","12","50.0","3.1","3","-66.7","4.2","4","300.0"
"2016 - 03","1151102","7.3","7","-41.7","4.2","4","33.3","1","1","-75.0"
"2016 - 04","1152753","17.7","17","142.9","6.2","6","50.0","5.2","5","400.0"
"2016 - 05","1154403","15.6","15","-11.8","4.2","4","-33.3","1","1","-80.0"
"2016 - 06","1156054","13.5","13","-13.3","10.4","10","150.0","3.1","3","200.0"
"2016 - 07","1157704","17.6","17","30.8","8.3","8","-20.0","1","1","-66.7"
"2016 - 08","1159614","11.4","11","-35.3","5.2","5","-37.5","3.1","3","200.0"
"2016 - 09","1161525","13.4","13","18.2","3.1","3","-40.0","2.1","2","-33.3"
"2016 - 10","1163435","3.1","3","-76.9","1","1","-66.7","4.1","4","100.0"
"2016 - 11","1165346","12.4","12","300.0","6.2","6","500.0","2.1","2","-50.0"
"2016 - 12","1167256","11.3","11","-8.3","4.1","4","-33.3","2.1","2","0.0"
"2017 - 01","1169167","14.4","14","27.3","7.2","7","75.0","2.1","2","0.0"
"2017 - 02","1171077","13.3","13","-7.1","2","2","-71.4","1","1","-50.0"
"2017 - 03","1172987","13.3","13","0.0","6.1","6","200.0","1","1","0.0"
"2017 - 04","1174898","18.4","18","38.5","7.1","7","16.7","3.1","3","200.0"
"2017 - 05","1176808","22.4","22","22.2","8.2","8","14.3","2","2","-33.3"
"2017 - 06","1178719","34.6","34","54.5","8.1","8","0.0","7.1","7","250.0"
"2017 - 07","1180629","11.2","11","-67.6","3","3","-62.5","4.1","4","-42.9"
"2017 - 08","1182399","37.6","37","236.4","10.1","10","233.3","2","2","-50.0"
"2017 - 09","1184169","21.3","21","-43.2","7.1","7","-30.0","2","2","0.0"
"2017 - 10","1185938","18.2","18","-14.3","6.1","6","-14.3","2","2","0.0"
"2017 - 11","1187708","14.1","14","-22.2","8.1","8","33.3","4","4","100.0"
"2017 - 12","1189478","18.2","18","28.6","2","2","-75.0","4","4","0.0"
"2018 - 01","1191248","14.1","14","-22.2","7.1","7","250.0","4","4","0.0"
"2018 - 02","1193017","17.1","17","21.4","2","2","-71.4","3","3","-25.0"
"2018 - 03","1194787","19.1","19","11.8","11","11","450.0","4","4","33.3"
"2018 - 04","1196557","21.1","21","10.5","4","4","-63.6","4","4","0.0"
"2018 - 05","1198327","18","18","-14.3","6","6","50.0","3","3","-25.0"
"2018 - 06","1200096","25","25","38.9","5","5","-16.7","3","3","0.0"
"2018 - 07","1201866","34.9","35","40.0","12","12","140.0","2","2","-33.3"
"2018 - 08","1203628","29.9","30","-14.3","5","5","-58.3","4","4","100.0"
"2018 - 09","1205390","18.9","19","-36.7","6","6","20.0","4","4","0.0"
"2018 - 10","1207151","22.9","23","21.1","5","5","-16.7","2","2","-50.0"
"2018 - 11","1208913","16.9","17","-26.1","5","5","0.0","6","6","200.0"
"2018 - 12","1210675","34.7","35","105.9","8.9","9","80.0","3","3","-50.0"
"2019 - 01","1212437","27.7","28","-20.0","7.9","8","-11.1","4","4","33.3"
"2019 - 02","1214198","22.7","23","-17.9","4.9","5","-37.5","7.9","8","100.0"
"2019 - 03","1215960","29.6","30","30.4","3.9","4","-20.0","5.9","6","-25.0"
"2019 - 04","1217722","23.7","24","-20.0","6.9","7","75.0","4.9","5","-16.7"
"2019 - 05","1219484","26.6","27","12.5","4.9","5","-28.6","6.9","7","40.0"
"2019 - 06","1221245","20.6","21","-22.2","8.8","9","80.0","3.9","4","-42.9"
"2019 - 07","1223007","23.5","24","14.3","5.9","6","-33.3","2","2","-50.0"
"2019 - 08","1224759","17.6","18","-25.0","9.8","10","66.7","5.9","6","200.0"
"2019 - 09","1226512","14.7","15","-16.7","4.9","5","-50.0","1","1","-83.3"
"2019 - 10","1228264","21.5","22","46.7","3.9","4","-20.0","3.9","4","300.0"
"2019 - 11","1230016","13.7","14","-36.4","7.8","8","100.0","6.8","7","75.0"
"2019 - 12","1231769","19.5","20","42.9","5.8","6","-25.0","7.8","8","14.3"
"2020 - 01","1233521","16.5","17","-15.0","3.9","4","-33.3","3.9","4","-50.0"
"2020 - 02","1235273","35","36","111.8","3.9","4","0.0","3.9","4","0.0"
"2020 - 03","1237026","25.2","26","-27.8","1.9","2","-50.0","4.9","5","25.0"
"2020 - 04","1238778","23.2","24","-7.7","5.8","6","200.0","NaN","NaN","NaN.0"
"2020 - 05","1240530","17.4","18","-25.0","9.7","10","66.7","NaN","NaN","NaN.0"
"2020 - 06","1242283","26.1","27","50.0","6.8","7","-30.0","NaN","NaN","NaN.0"
