PHU,date,population,rate_ED,count_ED,rate_hosp,count_hosp,rate_death,count_death
Algoma,2003-01-01,120976,29.8,3,49.6,5,,
Algoma,2003-02-01,120931,19.8,2,39.7,4,,
Algoma,2003-03-01,120887,29.8,3,19.9,2,,
Algoma,2003-04-01,120842,9.9,1,9.9,1,,
Algoma,2003-05-01,120797,29.8,3,49.7,5,,
Algoma,2003-06-01,120753,29.8,3,0.0,0,,
Algoma,2003-07-01,120708,49.7,5,39.8,4,,
Algoma,2003-08-01,120678,39.8,4,39.8,4,,
Algoma,2003-09-01,120649,9.9,1,9.9,1,,
Algoma,2003-10-01,120619,79.6,8,79.6,8,,
Algoma,2003-11-01,120590,39.8,4,29.9,3,,
Algoma,2003-12-01,120560,29.9,3,39.8,4,,
Algoma,2004-01-01,120531,0.0,0,10.0,1,,
Algoma,2004-02-01,120501,39.8,4,49.8,5,,
Algoma,2004-03-01,120471,10.0,1,29.9,3,,
Algoma,2004-04-01,120442,19.9,2,29.9,3,,
Algoma,2004-05-01,120412,19.9,2,39.9,4,,
Algoma,2004-06-01,120383,19.9,2,19.9,2,,
Algoma,2004-07-01,120353,69.8,7,59.8,6,,
Algoma,2004-08-01,120347,29.9,3,79.8,8,,
Algoma,2004-09-01,120341,39.9,4,19.9,2,,
Algoma,2004-10-01,120335,19.9,2,59.8,6,,
Algoma,2004-11-01,120329,10.0,1,49.9,5,,
Algoma,2004-12-01,120323,10.0,1,69.8,7,,
Algoma,2005-01-01,120318,10.0,1,19.9,2,10.0,1.0
Algoma,2005-02-01,120312,49.9,5,39.9,4,10.0,1.0
Algoma,2005-03-01,120306,39.9,4,29.9,3,10.0,1.0
Algoma,2005-04-01,120300,20.0,2,59.9,6,10.0,1.0
Algoma,2005-05-01,120294,20.0,2,69.8,7,0.0,0.0
Algoma,2005-06-01,120288,69.8,7,29.9,3,0.0,0.0
Algoma,2005-07-01,120282,0.0,0,29.9,3,10.0,1.0
Algoma,2005-08-01,120253,39.9,4,49.9,5,0.0,0.0
Algoma,2005-09-01,120224,20.0,2,59.9,6,0.0,0.0
Algoma,2005-10-01,120196,39.9,4,69.9,7,0.0,0.0
Algoma,2005-11-01,120167,30.0,3,30.0,3,0.0,0.0
Algoma,2005-12-01,120138,30.0,3,20.0,2,0.0,0.0
Algoma,2006-01-01,120109,30.0,3,30.0,3,0.0,0.0
Algoma,2006-02-01,120080,30.0,3,30.0,3,20.0,2.0
Algoma,2006-03-01,120051,30.0,3,20.0,2,0.0,0.0
Algoma,2006-04-01,120023,20.0,2,20.0,2,10.0,1.0
